start_ver,start_hor,end_ver,end_hor,number_of_trials,total_cal_time,initial_point_ver,initial_point_hor,optimal_point_ver,optimal_point_hor
350.0,3400.0,0.0,100.0,3.0,1485.25,535.7671706956969,3055.675625409374,184.5292465617373,3041.40278685451
,,,,,,779.8923530287252,2883.2070679896487,123.83948520508937,2887.36108735079
,,,,,,627.8310424523785,2699.417393550306,66.95831946311644,2698.9589343274583
,,,,,,343.8496154338238,2625.629571781766,16.71346128249161,2525.9294402635646
,,,,,,71.25257539707262,2512.5438569821254,-26.226587318058193,2324.276674740441
,,,,,,-48.761066216548656,2248.8647144094325,-78.52668743209605,2055.115923891397
,,,,,,-111.97584905202837,1958.5028935000453,-109.23120739081598,1763.4960301840192
,,,,,,-164.7463290949081,1672.320757942827,-118.74005283453943,1500.684667966801
,,,,,,-172.13776985624511,1412.2048042775923,-117.13594304082,1266.5095461488702
,,,,,,-129.59885531803425,1190.9825226922635,-101.09632889051147,1060.1207005442532
,,,,,,-80.76820172423892,990.1197415995281,-75.10001195536508,880.5975036370967
,,,,,,-50.105158357199976,807.4270565757032,-59.78688131822831,723.8400646123042
,,,,,,-33.46652960728942,654.6660509863165,-46.26061497968085,589.2680022901862
,,,,,,-22.147768169249847,509.49792892240043,-26.395696611650862,476.329542682991
,,,,,,-14.505659487318532,388.34357881012824,-13.79242122185733,381.32497069032775
