start_ver,start_hor,end_ver,end_hor,number_of_trials,total_cal_time,initial_point_ver,initial_point_hor,optimal_point_ver,optimal_point_hor
2500.0,0.0,450.0,20.0,3.0,182.29,2238.840641012228,-148.22558212819496,2060.428234529129,-225.47903334010388
,,,,,,1991.798004131903,-288.43897062783884,1817.807927851202,-315.73993164838475
,,,,,,1765.930450412749,-416.6340686846559,1595.6297579476595,-390.6763786813462
,,,,,,1561.237979854766,-532.8108762986463,1398.0261320698164,-468.33771278253045
,,,,,,1370.662231404229,-640.9754902840862,1212.7415358942778,-526.0921086691794
,,,,,,1194.2032050611392,-741.127910640975,1040.0025643785273,-568.5644323786547
,,,,,,1051.2958957980225,-618.876889285399,881.8893730787553,-612.6113053987849
,,,,,,934.4852407093523,-494.7655682536869,802.3248387163001,-479.58822383172424
,,,,,,828.799409914841,-382.4743730345187,732.014550349889,-366.707966881444
,,,,,,739.8008155615685,-287.91336653416664,677.5085919679709,-268.1468743524753
,,,,,,667.4894576495344,-211.0825487526304,629.3062314436546,-187.35360585313683
,,,,,,606.3029240316597,-146.07185678363854,580.2058507123152,-118.52816848680615
