start_ver,start_hor,end_ver,end_hor,number_of_trials,total_cal_time,initial_point_ver,initial_point_hor,optimal_point_ver,optimal_point_hor
1350.0,2500.0,100.0,250.0,3.0,189.59,1243.8438403489458,2216.916907597189,1219.0415343591947,2157.941780060205
,,,,,,1137.6876806978917,1933.8338151943783,1132.3949814416449,1912.1836967076326
,,,,,,1031.5315210468377,1650.7507227915671,1020.91418884866,1640.9913438907636
,,,,,,935.6485381362083,1395.0627683632222,928.0811768602572,1395.2981497843853
,,,,,,850.0387319660038,1166.7699519093433,839.5454764412301,1177.7203928164508
,,,,,,774.7021025362237,965.8722734299299,775.4962073979386,979.4169828570442
,,,,,,709.6386498468681,792.3697329249818,730.8066887481054,800.1324004121494
,,,,,,651.423981651129,637.1306177363442,688.3290252479876,656.1640612951783
,,,,,,600.0580979490059,500.15492786401586,651.7053928935686,512.8663236909703
,,,,,,530.6382189663406,406.59571598776034,568.0926827406759,409.46330971168607
,,,,,,420.6522391603761,366.60081424013686,442.17002306691523,357.7168853496388
,,,,,,328.997255988739,333.2717294504506,354.12069249678575,328.93736881700045
