start_ver,start_hor,end_ver,end_hor,number_of_trials,total_cal_time,initial_point_ver,initial_point_hor,optimal_point_ver,optimal_point_hor
-2500.0,800.0,-300.0,250.0,3.0,128.0,-2208.2477191665457,743.0727256910333,-1991.5336478900604,696.6924936740444
,,,,,,-1916.4954383330908,686.1454513820665,-1714.6143859821461,635.409266299776
,,,,,,-1656.2839446167661,635.3724769983934,-1474.7526626142912,581.3860767435414
,,,,,,-1419.7280412382888,589.2152275586905,-1259.151763077565,532.5417731620892
,,,,,,-1214.7129249769416,549.2122780442813,-1077.6311211300458,491.71029491337464
,,,,,,-1033.3533990534422,513.8250534738423,-919.6765921713887,455.4343780831954
,,,,,,-875.6494634677906,483.0535538473738,-761.8082217804011,419.8968854003972
,,,,,,-741.6011182199868,456.8977791648755,-649.7427975115794,395.05502203870657
,,,,,,-623.3231665307482,433.819154445024,-548.037851749112,367.78443517123003
,,,,,,-539.3313440262533,386.7607680150019,-455.9703423807656,334.2703855682845
