start_ver,start_hor,end_ver,end_hor,number_of_trials,total_cal_time,initial_point_ver,initial_point_hor,optimal_point_ver,optimal_point_hor
1750.0,1900.0,150.0,0.0,3.0,110.04,1640.0,1505.0,1482.2142718634905,1476.764836225618
,,,,,,1460.0,1300.0,1362.1601711882736,1292.2614383821283
,,,,,,1260.0,1100.0,1231.2558089051345,1100.8482698772166
,,,,,,1095.0,915.0,1103.9789884009735,902.4158590748079
,,,,,,965.0,755.0,985.1828980421246,742.4270198652254
,,,,,,885.0,585.0,867.6843924984092,593.2484973870055
,,,,,,825.0,430.0,767.4180492974879,464.21838887831007
,,,,,,710.0,315.0,684.1877506026195,373.71266440856954
,,,,,,610.0,215.0,588.8385358709112,272.760021531372
,,,,,,525.0,130.0,512.0361394612687,182.84280057242015
,,,,,,450.0,55.0,451.56879988504403,102.59608378241262
,,,,,,390.0,-5.0,402.57516506398315,32.61070938500383
