start_ver,start_hor,end_ver,end_hor,number_of_trials,total_cal_time,initial_point_ver,initial_point_hor,optimal_point_ver,optimal_point_hor
-3000.0,-1000.0,0.0,-10.0,3.0,1960.71,-3065.0,-1020.0,-2507.122915427672,-1031.48089776919
,,,,,,-3125.0,-1040.0,-2381.7015281098043,-1056.2053348578613
,,,,,,-2845.0,-1080.0,-2301.87131946765,-1079.3134248723063
,,,,,,-2565.0,-1120.0,-2148.5830547830647,-1138.557069011747
,,,,,,-2275.0,-1130.0,-2075.4863432006046,-1173.9003104096066
,,,,,,-1980.0,-1130.0,-1788.313540782813,-1114.5778735175904
,,,,,,-1725.0,-1030.0,-1646.3089760863086,-1097.9396904603036
,,,,,,-1510.0,-835.0,-1456.7173378868838,-901.1977840368406
,,,,,,-1315.0,-645.0,-1257.158395557199,-727.3146511103847
,,,,,,-1140.0,-480.0,-1068.79159685566,-590.1115655614731
,,,,,,-980.0,-340.0,-887.3363164324181,-480.7399002796226
,,,,,,-825.0,-240.0,-721.644175599911,-396.678088988098
,,,,,,-680.0,-175.0,-589.7999352721042,-314.61964044043225
,,,,,,-550.0,-135.0,-477.6783116330914,-230.44700545829733
,,,,,,-435.0,-105.0,-391.57442445828997,-153.20612124299305
,,,,,,-335.0,-85.0,-313.1071368142032,-87.36727207477291
,,,,,,-245.0,-80.0,-248.6779314366691,-42.25537932402868
