start_ver,start_hor,end_ver,end_hor,number_of_trials,total_cal_time,initial_point_ver,initial_point_hor,optimal_point_ver,optimal_point_hor
-3000.0,-1080.0,-480.0,-80.0,3.0,295.6,-2424.6976530995553,-1190.0885091541759,-2412.64300757982,-1188.2373063262248
,,,,,,-2129.9968005329943,-1182.3533775591688,-2122.5026069790283,-1232.8965555112775
,,,,,,-1847.8133932525427,-1093.351319973123,-1834.3465042807022,-1130.620187497757
,,,,,,-1602.5877086107312,-975.2509404667335,-1614.062606445743,-976.0989212552247
,,,,,,-1396.8798067534156,-852.7110741206857,-1426.4304558466768,-823.4366975415826
,,,,,,-1221.2082668668618,-732.3998043732545,-1248.8963186739743,-702.5376754756984
,,,,,,-1073.691930864624,-620.7293100463744,-1094.0797270466198,-597.2023864008662
,,,,,,-949.0952324209068,-519.0781473218847,-966.7486242064616,-499.4436481162291
,,,,,,-844.9271056464705,-429.0570711051973,-856.5553007778398,-407.1159233251391
,,,,,,-755.4931550416698,-348.17123378849664,-769.6370883343333,-330.30528918977683
,,,,,,-683.2711960692849,-280.45685431419764,-692.3399677399036,-272.04269571742657
