start_ver,start_hor,end_ver,end_hor,number_of_trials,total_cal_time,initial_point_ver,initial_point_hor,optimal_point_ver,optimal_point_hor
1400.0,-2000.0,150.0,100.0,3.0,747.99,1063.3403922258406,-1769.7854958366283,1074.5957942092348,-1743.2522112255524
,,,,,,775.1547969802353,-1693.5505340153557,790.9043717548041,-1668.9785989385352
,,,,,,525.1444830637886,-1553.632618471297,672.0920593048521,-1324.975685710234
,,,,,,343.39040591156277,-1358.668254908383,612.203757220429,-1085.7391837037412
,,,,,,235.33443168384065,-1139.7690847536596,541.6534675156714,-879.8958014286459
,,,,,,183.05563830186532,-927.7123345516926,488.3633109763166,-694.7876124624993
,,,,,,164.59017160016188,-735.3177462020363,431.19787949560856,-539.9434721736047
,,,,,,164.94939820591216,-569.0424468068661,422.26928057331725,-396.55973560637295
,,,,,,175.25734880737954,-422.55263645327744,403.5179240789723,-271.9600703533483
,,,,,,189.79333872569464,-301.0665747592656,378.3423274176431,-166.90221299733838
,,,,,,205.48682766901706,-200.17001462284927,352.0642947070203,-85.25659822379899
,,,,,,221.32471457211741,-113.57196644785598,322.11304120186236,-14.13737856064177
,,,,,,235.80155609845124,-42.645656449546834,295.53665121906306,43.73687118411944
