start_ver,start_hor,end_ver,end_hor,number_of_trials,total_cal_time,initial_point_ver,initial_point_hor,optimal_point_ver,optimal_point_hor
-2400.0,-1600.0,0.0,0.0,1.0,2487.86,-1850.586171573075,-1350.2184791874763,-1868.2936954687038,-1346.9515030834477
,,,,,,-1555.5212063454517,-1213.2022677416176,-1610.712816408476,-1206.3055558537535
,,,,,,-1259.4991529374852,-1072.739949406296,-1343.6292906154374,-1075.8808696611363
,,,,,,-998.9592127445035,-945.9415852944304,-1107.7050170129314,-946.2472678772223
,,,,,,-771.3321651110011,-831.9756396895614,-864.8689200226378,-829.7345821066904
,,,,,,-574.137605562128,-730.032993965427,-671.3245349786232,-734.4628702469705
,,,,,,-404.9839458036877,-639.3269465859627,-508.5339704798149,-646.2941543647345
,,,,,,-261.5684137221372,-559.0932131053002,-337.4469700983047,-559.3366532209166
,,,,,,-141.67705338458836,-488.5899261677684,-196.62766758690694,-486.05909747128
,,,,,,-33.47274871658712,-420.79089863811953,-79.84131139782856,-427.3988419723459
,,,,,,58.35777547512656,-357.92350004985593,19.97898050643707,-366.77533815248313
,,,,,,134.8122713532891,-297.82434416696105,118.34310435674524,-300.3190071437437
,,,,,,194.749983041809,-233.86226790269313,190.78090910181606,-242.70834215588752
,,,,,,177.43355110577468,-167.85870368790765,145.68813318241914,-169.20790969926634
,,,,,,104.25281472671166,-160.8577520349807,78.08735091276928,-169.8950590782053
,,,,,,42.71692418735939,-165.08253634272552,1.2174148796796553,-164.94735317474652
,,,,,,-13.921013255279174,-171.87461953343458,-53.60490282967922,-165.64694627919357
,,,,,,-70.10393921344284,-179.0060354370211,-110.03614094289117,-165.3773313639097
,,,,,,-130.8103059973517,-178.18912270995617,-113.47650439999784,-67.67327306234797
