start_ver,start_hor,end_ver,end_hor,number_of_trials,total_cal_time,initial_point_ver,initial_point_hor,optimal_point_ver,optimal_point_hor
-1300.0,1500.0,-200.0,-80.0,3.0,110.1,-1203.2634606881263,1223.6098876803615,-1156.4169460423693,1035.66110486649
,,,,,,-1116.2005753074404,974.8587865926868,-1084.032628765898,805.4071242018597
,,,,,,-1038.8113438579417,753.7466967369757,-1006.8609124412911,602.9132178579193
,,,,,,-968.6773528568333,553.3638653052379,-922.9968046297073,429.0866996356992
,,,,,,-905.7986023041153,373.7102922974725,-835.8452896174673,282.06207487688545
,,,,,,-850.1750921997883,214.7859777136808,-747.8479438956342,159.21915782564622
,,,,,,-799.3884090610549,69.68116874587086,-662.4415349401419,58.286548681954635
,,,,,,-753.438552887915,-61.60413460595713,-571.0607099810268,-32.76247755882709
,,,,,,-634.716536665702,-80.0,-478.9795786602156,-57.42026041105769
,,,,,,-524.9052589238629,-80.0,-381.33240500430276,-74.63439911699675
