start_ver,start_hor,end_ver,end_hor,number_of_trials,total_cal_time,initial_point_ver,initial_point_hor,optimal_point_ver,optimal_point_hor
2050.0,2000.0,200.0,100.0,2.0,3847.52,1880.0,1460.0,1742.8835999746507,1553.2453611417288
,,,,,,1740.0,1220.0,1601.364046731727,1297.302774881929
,,,,,,1535.0,1015.0,1451.2930314798664,1059.113103713828
,,,,,,1350.0,830.0,1298.6969557885661,858.0458538400104
,,,,,,1185.0,665.0,1164.7463945522072,676.2094203107963
,,,,,,1040.0,520.0,1031.8228505827678,525.2752574888697
,,,,,,910.0,390.0,904.3226254745248,399.33098836014176
,,,,,,800.0,280.0,801.7783190532909,283.2271349063805
,,,,,,700.0,180.0,709.0389436789463,184.3109200328645
,,,,,,615.0,95.0,620.7661343108136,105.21656702793148
,,,,,,530.0,60.0,524.9831309684143,66.78517738488345
,,,,,,440.0,60.0,376.43461796606704,81.5549369392541
