polygon_id,vertex_id,x_px,y_px,lat,lon
0,0,1367,1135,40.828956139805506,140.7606746031746
0,1,1370,1175,40.82775685827297,140.76079365079366
0,2,1919,1175,40.82775685827297,140.78257936507939
0,3,1919,1038,40.831864307448036,140.78257936507939
0,4,1901,1033,40.83201420953978,140.7818650793651
0,5,1896,1039,40.83183432698902,140.7816666666667
0,6,1774,1064,40.83108481110782,140.77682539682542
0,7,1756,1049,40.83153452165327,140.77611111111113
0,8,1744,1051,40.83147456042344,140.77563492063493
0,9,1735,1047,40.83159448282886,140.7752777777778
0,10,1732,1007,40.83279369495362,140.77515873015875
0,11,1679,1007,40.83279369495362,140.77305555555557
0,12,1667,1000,40.83300355484542,140.7725793650794
0,13,1638,1000,40.83300355484542,140.7714285714286
0,14,1619,994,40.833183434223976,140.77067460317463
0,15,1614,985,40.83345325237678,140.77047619047622
0,16,1468,982,40.833543191517016,140.76468253968255
0,17,1459,975,40.83375304903645,140.7643253968254
0,18,1457,947,40.83459247247154,140.76424603174604
0,19,1440,941,40.83477234753915,140.76357142857145
0,20,1383,1081,40.830575135469,140.76130952380953
1,0,0,480,40.848591289262245,140.70646825396824
1,1,0,780,40.83959881293824,140.70646825396824
1,2,77,627,40.84418512832061,140.7095238095238
1,3,158,570,40.84589367448066,140.71273809523808
1,4,183,579,40.8456239069627,140.71373015873016
1,5,90,646,40.84361560314563,140.71003968253967
1,6,0,813,40.83860956605347,140.70646825396824
1,7,0,1175,40.82775685827297,140.70646825396824
1,8,1341,1174,40.82778684057565,140.75964285714286
1,9,1394,931,40.83507213823399,140.76174603174604
1,10,1360,959,40.83423272087223,140.76039682539684
1,11,1337,948,40.834562493246175,140.75948412698415
1,12,1259,1089,40.83033528675393,140.7563888888889
1,13,1231,1088,40.83036526789076,140.7552777777778
1,14,1228,1040,40.831804346516456,140.75515873015874
1,15,1143,1055,40.8313546378011,140.75178571428572
1,16,1131,1105,40.82985558672101,140.75130952380954
1,17,1016,1094,40.83018538086643,140.74675376088678
1,18,1025,1041,40.83177436603032,140.7471100554236
1,19,1060,1022,40.832343992948644,140.74849564528898
1,20,1046,964,40.834082823796344,140.74794140934284
1,21,1014,929,40.835132096210295,140.74667458432305
1,22,991,932,40.83504215922553,140.74576405384008
1,23,981,1102,40.82994553074152,140.74536817102137
1,24,947,1105,40.82985558672101,140.74402216943784
1,25,867,1069,40.83093490691485,140.74085510688838
1,26,795,1108,40.82976564257847,140.73800475059383
1,27,733,1100,40.83000549335408,140.735550277118
1,28,745,1049,40.83153452165327,140.7360253365004
1,29,812,967,40.83399288538817,140.7386777513856
1,30,698,1018,40.83246391378155,140.7341646872526
1,31,705,1051,40.83147456042344,140.73444180522566
1,32,669,1089,40.83033528675393,140.7330158730159
1,33,642,1010,40.832703754796626,140.73194444444445
1,34,696,985,40.83345325237678,140.73408551068886
1,35,534,871,40.836870853934194,140.72765873015874
1,36,497,878,40.83666100628392,140.72619047619048
1,37,506,833,40.838010015301826,140.72654761904764
1,38,355,663,40.84310602384059,140.72055555555556
1,39,306,666,40.843016097674166,140.7186111111111
1,40,248,589,40.84532416398814,140.7163095238095
1,41,272,523,40.847302442566345,140.7172619047619
1,42,190,571,40.84586370036624,140.71400793650793
1,43,171,555,40.84634328457028,140.71325396825398
1,44,186,525,40.847242495598294,140.7138492063492
1,45,42,423,40.85029972182499,140.7081349206349
