polygon_id,vertex_id,x_px,y_px,lat,lon
0,0,630,1082,35.01558546824137,138.49864468864467
0,1,628,1082,35.01558546824137,138.49857142857144
0,2,627,1083,35.015555434747746,138.4985347985348
0,3,626,1083,35.015555434747746,138.49849816849817
0,4,624,1085,35.01549536772737,138.4984249084249
0,5,624,1101,35.01501482997607,138.4984249084249
0,6,623,1102,35.014984796272856,138.4983882783883
0,7,623,1130,35.014143848104986,138.4983882783883
0,8,622,1131,35.01411381408192,138.49835164835164
0,9,622,1163,35.01315271952015,138.49835164835164
0,10,623,1164,35.0131226851331,138.4983882783883
0,11,624,1164,35.0131226851331,138.4984249084249
0,12,626,1166,35.01306261632593,138.49849816849817
0,13,628,1164,35.0131226851331,138.49857142857144
0,14,629,1164,35.0131226851331,138.49860805860806
0,15,630,1163,35.01315271952015,138.49864468864467
0,16,630,1161,35.01321278826113,138.49864468864467
0,17,631,1160,35.013242822615084,138.49868131868132
0,18,631,1134,35.01402371194652,138.49868131868132
0,19,632,1133,35.014053746002695,138.49871794871794
0,20,632,1105,35.01489469509707,138.49871794871794
0,21,633,1104,35.01492472883336,138.49875457875459
0,22,633,1084,35.01552540124305,138.49875457875459
1,0,633,975,35.01879898833026,138.49875457875459
1,1,631,975,35.01879898833026,138.49868131868132
1,2,628,977,35.01873892369235,138.49857142857144
1,3,628,987,35.018438599841076,138.49857142857144
1,4,627,988,35.018408567395255,138.4985347985348
1,5,627,1018,35.01750758889242,138.4985347985348
1,6,626,1019,35.01747755610468,138.49849816849817
1,7,626,1046,35.01666666666666,138.49849816849817
1,8,625,1047,35.016636633570094,138.49846153846153
1,9,625,1072,35.01588580257117,138.49846153846153
1,10,628,1074,35.015825735793456,138.49857142857144
1,11,630,1074,35.015825735793456,138.49864468864467
1,12,634,1071,35.015915835943495,138.4987912087912
1,13,634,1047,35.016636633570094,138.4987912087912
1,14,635,1046,35.01666666666666,138.49882783882785
1,15,635,1019,35.01747755610468,138.49882783882785
1,16,636,1018,35.01750758889242,138.49886446886447
1,17,636,991,35.01831846999171,138.49886446886447
1,18,637,990,35.01834850247059,138.4989010989011
1,19,637,978,35.01870889135685,138.4989010989011
2,0,1321,801,35.024024442928436,138.52399267399267
2,1,1313,799,35.024084503683554,138.52369963369964
2,2,830,911,35.020721033446854,138.5059838472834
2,3,687,1025,35.01729735914669,138.5007342143906
2,4,681,1161,35.01321278826113,138.5005139500734
2,5,690,1161,35.01321278826113,138.5008443465492
2,6,694,1031,35.017117161791596,138.5009911894273
2,7,836,918,35.02051081196278,138.5062041116006
2,8,1261,821,35.023423832950385,138.52179487179487
2,9,1270,815,35.02360401640712,138.52212454212454
2,10,1319,807,35.02384426039831,138.5239194139194
3,0,1398,785,35.02450492773394,138.52681318681317
3,1,1397,784,35.024534957940524,138.52677655677655
3,2,1396,784,35.024534957940524,138.5267399267399
3,3,1393,782,35.02459501832059,138.52663003663002
3,4,1387,782,35.02459501832059,138.52641025641026
3,5,1386,783,35.02456498813609,138.5263736263736
3,6,1384,783,35.02456498813609,138.52630036630035
3,7,1383,784,35.024534957940524,138.52626373626373
3,8,1378,784,35.024534957940524,138.52608058608058
3,9,1377,785,35.02450492773394,138.52604395604394
3,10,1374,785,35.02450492773394,138.52593406593405
3,11,1371,787,35.0244448672877,138.52582417582417
3,12,1366,787,35.0244448672877,138.52564102564102
3,13,1365,788,35.024414837048035,138.52560439560438
3,14,1362,788,35.024414837048035,138.5254945054945
3,15,1361,789,35.02438480679733,138.52545787545787
3,16,1357,789,35.02438480679733,138.52531135531135
3,17,1356,790,35.02435477653558,138.52527472527473
3,18,1352,790,35.02435477653558,138.5251282051282
3,19,1349,792,35.024294715979,138.52501831501831
3,20,1347,792,35.024294715979,138.52494505494505
3,21,1346,793,35.02426468568418,138.5249084249084
3,22,1345,793,35.02426468568418,138.52487179487179
3,23,1342,796,35.02417459473352,138.5247619047619
3,24,1341,796,35.02417459473352,138.52472527472526
3,25,1340,797,35.024144564394554,138.52468864468864
3,26,1337,795,35.02420462506143,138.52457875457876
3,27,1332,795,35.02420462506143,138.5243956043956
3,28,1331,796,35.02417459473352,138.52435897435896
3,29,1330,796,35.02417459473352,138.52432234432234
3,30,1329,797,35.024144564394554,138.5242857142857
3,31,1329,802,35.02399441253433,138.5242857142857
3,32,1332,804,35.02393435171301,138.5243956043956
3,33,1335,804,35.02393435171301,138.5245054945055
3,34,1336,803,35.02396438212918,138.5245421245421
3,35,1339,802,35.02399441253433,138.52465201465202
3,36,1342,799,35.024084503683554,138.5247619047619
3,37,1343,799,35.024084503683554,138.52479853479852
3,38,1344,798,35.024114534044585,138.52483516483517
3,39,1347,800,35.02405447331151,138.52494505494505
3,40,1350,800,35.02405447331151,138.52505494505493
3,41,1351,799,35.024084503683554,138.52509157509158
3,42,1357,799,35.024084503683554,138.52531135531135
3,43,1358,798,35.024114534044585,138.52534798534796
3,44,1360,798,35.024114534044585,138.52542124542123
3,45,1361,797,35.024144564394554,138.52545787545787
3,46,1366,797,35.024144564394554,138.52564102564102
3,47,1367,796,35.02417459473352,138.52567765567764
3,48,1370,796,35.02417459473352,138.52578754578755
3,49,1373,794,35.024234655378336,138.52589743589743
3,50,1378,794,35.024234655378336,138.52608058608058
3,51,1379,793,35.02426468568418,138.5261172161172
3,52,1382,793,35.02426468568418,138.5262271062271
3,53,1383,792,35.024294715979,138.52626373626373
3,54,1387,792,35.024294715979,138.52641025641026
3,55,1388,791,35.02432474626281,138.52644688644688
3,56,1392,791,35.02432474626281,138.5265934065934
3,57,1393,790,35.02435477653558,138.52663003663002
3,58,1394,790,35.02435477653558,138.52666666666667
4,0,1184,744,35.02573615715827,138.51897435897433
4,1,1175,742,35.02579621665585,138.51864468864468
4,2,791,831,35.023123526306755,138.50455212922174
4,3,629,959,35.019279503845034,138.49860805860806
4,4,629,966,35.019069278654776,138.49860805860806
4,5,636,967,35.01903924644063,138.49886446886447
4,6,643,958,35.01930953597097,138.49912087912088
4,7,797,838,35.022913310999854,138.5047723935389
4,8,1180,751,35.02552594856926,138.51882783882783
5,0,1540,663,35.02816853151551,138.53201465201465
5,1,1527,661,35.028228589225996,138.53153846153845
5,2,1241,728,35.0262166319034,138.52106227106225
5,3,1239,734,35.02603645420492,138.520989010989
5,4,1254,734,35.02603645420492,138.52153846153846
5,5,1527,670,35.02795832918128,138.53153846153845
5,6,1531,673,35.027868242301146,138.53168498168498
5,7,1527,748,35.02561603803076,138.53153846153845
5,8,1524,751,35.02552594856926,138.53142857142856
5,9,1405,778,35.02471513894836,138.52706959706958
5,10,1400,784,35.024534957940524,138.52688644688644
5,11,1409,787,35.0244448672877,138.5272161172161
5,12,1533,758,35.02531573943973,138.53175824175824
5,13,1536,751,35.02552594856926,138.53186813186812
6,0,1222,624,35.029339648910856,138.52036630036628
6,1,1221,625,35.0293096204693,138.52032967032966
6,2,1221,627,35.02924956355309,138.52032967032966
6,3,1220,628,35.029219535078425,138.52029304029304
6,4,1220,634,35.02903936399881,138.52029304029304
6,5,1217,637,35.02894927831009,138.52018315018313
6,6,1217,639,35.0288892211291,138.52018315018313
6,7,1216,640,35.02885919252208,138.5201465201465
6,8,1216,645,35.028709049321414,138.5201465201465
6,9,1214,647,35.02864899196392,138.52007326007325
6,10,1214,648,35.028618963268634,138.52007326007325
6,11,1213,649,35.02858893456233,138.52003663003663
6,12,1213,651,35.02852887711659,138.52003663003663
6,13,1212,652,35.02849884837716,138.51999999999998
6,14,1212,657,35.028348704514606,138.51999999999998
6,15,1209,661,35.028228589225996,138.5198901098901
6,16,1209,666,35.02807844486703,138.5198901098901
6,17,1212,669,35.02798835811925,138.51999999999998
6,18,1212,671,35.02792830023226,138.51999999999998
6,19,1215,673,35.027868242301146,138.52010989010986
6,20,1217,673,35.027868242301146,138.52018315018313
6,21,1222,670,35.02795832918128,138.52036630036628
6,22,1223,670,35.02795832918128,138.52040293040292
6,23,1224,671,35.02792830023226,138.52043956043954
6,24,1226,671,35.02792830023226,138.5205128205128
6,25,1227,670,35.02795832918128,138.52054945054942
6,26,1230,670,35.02795832918128,138.52065934065934
6,27,1235,667,35.028048415962125,138.52084249084248
6,28,1236,668,35.02801838704621,138.5208791208791
6,29,1239,668,35.02801838704621,138.520989010989
6,30,1240,667,35.028048415962125,138.52102564102563
6,31,1242,667,35.028048415962125,138.5210989010989
6,32,1247,664,35.02813850264372,138.52128205128204
6,33,1248,665,35.02810847376088,138.52131868131866
6,34,1252,665,35.02810847376088,138.5214652014652
6,35,1253,664,35.02813850264372,138.5215018315018
6,36,1256,663,35.02816853151551,138.52161172161172
6,37,1257,662,35.02819856037626,138.52164835164834
6,38,1257,658,35.028318675708995,138.52164835164834
6,39,1254,656,35.028378733309175,138.52153846153846
6,40,1252,656,35.028378733309175,138.5214652014652
