BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
7,,,1,4,,青森港航路第１号灯標,Aomori Ko Passage No 1 Lt Beacon,40.8533232,140.7522416
7,,,2,3,,青森港航路第２号灯標,Aomori Ko Passage No 2 Lt Beacon,40.8532775,140.7477568
7,,,1,4,,青森港航路第３号灯浮標,Aomori Ko Passage No 3 Lt Beacon,40.8436111,140.7463889
7,,,2,3,,青森港航路第４号灯標,Aomori Ko Passage No 4 Lt Beacon,40.8436111,140.7419444
,4,,1,4,,青森港沖館第１号浮標,Aomori Ko Okidate No.1 Lt Buoy,40.8608566,140.7383944
,4,,2,3,,青森港沖館第２灯浮標,Aomori Ko Okidate No.2 Lt Buoy,40.864356,140.7347847
,4,,2,3,,鼻繰埼沖ＥＮＥＯＳグローブガスターミナル第４号灯浮標,Hanagurisaki Offing Globe Gas Terminal No.4 Lt Buoy,40.8800933,140.8173625
,4,,2,3,,鼻繰埼沖ＥＮＥＯＳグローブガスターミナル第２号灯浮標,Hanagurisaki Offing Globe Gas Terminal No.2 Lt Buoy,40.8977309,140.793344
,4,,,2,,,,40.8775657,140.8271547
,4,,,2,,,,40.9021096,140.7944702
,1,,,3,,,,40.8865618,140.808603299999
,4,,,2,,,,40.8892382,140.8113059
,5,,,6,,,,40.92,140.7902778
7,,,2,3,,青森港航路第２号灯標,Aomori Ko Passage No 2 Lt Beacon,40.8532419,140.7478139
7,,,2,3,,青森港航路第４号灯標,Aomori Ko Passage No 4 Lt Beacon,40.8434576,140.7418002
7,,,1,4,,青森港航路第３号灯標,Aomori Ko Passage No 3 Lt Beacon,40.8434557,140.7463418
,4,,1,4,,青森港沖館第１号灯浮標,Aomori Ko Okidate No1 Lt Buoy,40.8608157,140.7384415
,4,,2,3,,青森港沖館第２号灯浮標,Aomori Ko Okidate No2 Lt Buoy,40.8643407,140.7348306
7,,,1,4,,青森港航路第１号灯標,Aomori Ko Passage No 1 Lt Beacon,40.8532429,140.7523665
,4,,2,3,,鼻繰埼沖ＥＮＥＯＳグローブガスターミナル第４号灯浮標,Hanagurisaki Offing Globe Gas Terminal No.4 Lt Buoy,40.8799873,140.8174739
,4,,2,3,,鼻繰埼沖ＥＮＥＯＳグローブガスターミナル第２号灯浮標,Hanagurisaki Offing Globe Gas Terminal No.2 Lt Buoy,40.8976976,140.7934143
,1,,2,3,,,,40.8864276,140.8087346
,4,,,2,,,,40.8775102,140.827217499999
,4,,,2,,,,40.8891787,140.811384299999
