BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
,7,,,6,,むつ小川原港石油輸送用係留灯浮標,Mutsu Ogawara Ko Oil Transportation Mooring Buoy,40.9478056,141.4198333
,4,,2,3,,,,40.9511111,141.1080556
,4,,2,3,,,,40.9244444,141.1130556
,4,,1,4,,,,40.9511111,141.1197222
,4,,1,4,,,,40.9244444,141.1197222
,1,,,6,,,,40.8405155,141.422786699999
,4,,,6,,むつ小川原港日本原燃海洋放出管灯浮標,Mutsu Ogawara Ko Nihon Gennen Kaiyohoshutsukan Light Buoy,40.9638333,141.417722199999
,5,,,6,,むつ小川原港海洋観測Ａ灯浮標,Mutsuogawara Ko Marine Observation A Lt Buoy,40.9688889,141.415
,4,,,6,,,,40.6333333,141.75
,5,,,6,,むつ小川原港海洋観測Ｂ灯浮標,Mutsuogawara Ko Marine Observation B Lt Buoy,40.9572222,141.4175
,,,,,,,,40.5399301,141.5767203
,,,,,,,,40.5302859,141.5106167
,,,,,,,,40.5319288,141.510849799999
,1,,,6,,,,40.5445618,141.5159906
,1,,,6,,,,40.5457029,141.5174788
,4,,,6,,,,40.5376085,141.5537309
,1,,,,,,,40.5608333,141.5683333
