BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
3,,,,"2,3,2",1,ゲンベイ礁灯標,Genbei Sho Lt Beacon,41.5498081,140.9132737
,,,2,3,,北電知内発電第２号灯標,Hokuden Shiriuchi Hatsuden No 2 Lt Beacon,41.5861223,140.442212
,,,1,4,,北電知内発電第１号灯標,Hokuden Shiriuchi Hatsuden No 1 Lt Beacon,41.5833407,140.4423938
,,,,,,,,41.5291706,140.9395034
,,,,,,,,41.7362476,140.9338274
,,,,,,,,41.5434889,140.9167839
,,,,,,,,41.7374968,140.5799831
,4,,2,3,,,,41.6287864,140.471628
,4,,1,4,,,,41.6264766,140.4702183
,4,,2,3,,,,41.6311058,140.4611788
,4,,1,4,,,,41.6285561,140.4600491
,4,,2,3,,,,41.6336852,140.4509596
,4,,1,4,,,,41.6311254,140.4497899
,4,,2,3,,,,41.6355146,140.4401904
,4,,1,4,,,,41.6330649,140.4390608
,4,,2,3,,,,41.6371442,140.435910799999
,4,,1,4,,,,41.5827111,140.4579824
,4,,2,3,,,,41.5869107,140.4585621
,4,,1,4,,,,41.6241172,140.480437599999
,4,,2,3,,,,41.626347,140.4830972
,4,,1,4,,函館港七重浜沖灯浮標,Hakodate Ko Nanaehama Offing Lt Buoy,41.8096823,140.6893535
,1,,,,,,,41.7555209,140.7613408
,1,,,,,,,41.76013,140.7604306
,1,,,,,,,41.7688391,140.7596806
,1,,,,,,,41.7646095,140.7595206
,4,,,6,,,,41.5962099,140.4662508
,4,,,6,,,,41.6064092,140.4744193
,4,,,6,,,,41.6162181,140.482578
,4,,,6,,,,41.6676926,140.4965469
,4,,,6,,,,41.6526743,140.5046943
,5,,,6,,川内沖陸奥湾海況自動観測システム灯浮標,Kawauchioki Mutuwan Lt Buoy,41.1041667,140.9627778
,5,,,6,,平館沖陸奥湾海況自動観測システム灯浮標,Tairadateoki Mutuwan Lt Buoy,41.1536111,140.6727778
,4,,1,4,,函館港七重浜沖灯浮標,Hakodate Ko Nanaehama Offing Lt Buoy,41.8100783,140.6892309
,4,,2,3,,函館港第２号灯浮標,Hakodate Ko No2 Lt Buoy,41.7947271,140.7065248
,4,,2,3,,函館港第４号灯浮標,Hakodate Ko No4 Lt Buoy,41.7874358,140.7138231
,4,,2,3,,,,41.7993056,140.6610833
,4,,1,4,,,,41.7963333,140.6593611
,4,,,6,,,,41.8065556,140.6539722
,4,,,6,,,,41.80775,140.6493333
,4,,,6,,,,41.8056389,140.6464444
,4,,,6,,,,41.8018333,140.6478056
,5,,,6,,,,41.7991389,140.6516111
,5,,,6,,,,41.7952222,140.6565833
,4,,,6,,,,41.8016111,140.6585278
,1,,,6,,,,41.8047222,140.67875
,4,,,6,,,,41.8037236,140.6468082
,4,,,6,,,,41.8071389,140.6516389
,4,,,6,,,,41.8041389,140.6563333
,5,,,6,,,,41.8006944,140.6593611
,4,,,6,,,,41.7990833,140.6535833
,1,,,6,,,,41.7896389,140.7260556
,1,,,6,,,,41.787048,140.710692
