BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
3,,,2,3,,広田港赤磯灯標,Hirota Ko Akaiso Lt Beacon,38.9517463,141.6844191
3,,,2,3,,鮪立中根灯標,Shibitachi Naka Ne Lt Beacon,38.883408,141.634708
3,,,1,4,,番所根灯標,Bansho Ne Lt Beacon,38.884603,141.619508
,4,3,,"6,2",1,洞掛根灯浮標,Horakakene Lt Buoy,38.3010444,141.1656944
,4,,1,4,,仙台第１号灯浮標,Sendai No.1 Lt Buoy,38.246778,141.100556
,4,,2,3,,仙台第２号灯浮標,Sendai No.2 Lt Buoy,38.25051,141.103772
,4,,1,4,,気仙沼西湾第１号灯浮標,Kesennuma Nishi-Wan No.1 Lt Buoy,38.8129444,141.6231306
,4,,2,3,,,No 4,38.2663115,141.0807163
,4,,1,4,,石巻港第１号灯浮標,Ishinomaki Ko No.1 Lt Buoy,38.397174,141.259636
,4,,2,3,,石巻漁港沖第２号灯浮標,Ishinomaki Gyoko Offing No.2 Lt Buoy,38.386591,141.348769
,4,,1,4,,石巻漁港沖第１号灯浮標,Ishinomaki Gyoko Offing No.1 Lt Buoy,38.3867028,141.344180599999
,4,,1,4,,大曲沖Ｃ灯浮標,Omagari Oki C Lt Buoy,38.377099,141.244839
,4,,1,4,,大曲沖Ｂ灯浮標,Omagari Oki B Lt Buoy,38.3675926,141.2367394
,4,,1,4,,大曲沖Ａ灯浮標,Omagari Oki A Lt Buoy,38.3576671,141.2289536
,4,,1,4,,石巻港雲雀野第１号灯浮標,Ishinomaki Ko Hibarino No.1 Lt Buoy,38.3890278,141.2641111
,4,,2,3,,石巻港雲雀野第２号灯浮標,Ishinomaki Ko Hibarino No.2 Lt Buoy,38.3890556,141.2681111
,4,,,,,,,38.2237767,141.1343706
,4,,,"3,1",2,塩釜灯浮標,Shiogama Lt Buoy,38.3044363,141.1298678
,4,,,6,,,,38.3469598,141.2550931
,5,,,6,,金華山沖ＧＰＳ波浪観測灯浮標,Kinkasan Oki Lt Buoy,38.2325,141.6836111
,4,,,6,,広田湾沖波浪観測灯浮標,Hirota Wan Lt Buoy,38.8577778,141.8944444
3,,,,1,,石巻漁港導灯（後灯）,Ishinomaki Gyoko Leading Lt (Rear),38.4152695,141.3474131
3,,,,1,,石巻漁港導灯（前灯）,Ishinomaki Gyoko Leading Lt (Front),38.4146812,141.3473992
,4,,1,4,,石巻港第３号灯浮標,No.3,38.408805,141.269739
,4,,2,3,,石巻港第４号灯浮標,No.4,38.407981,141.272347
,4,,1,4,,石巻港雲雀野第１号灯浮標,No.1,38.3890275,141.2641108
,4,,2,3,,石巻港雲雀野第２号灯浮標,No.2,38.3890556,141.2681111
,4,,2,3,,石巻港雲雀野第４号灯浮標,No.4,38.3943053,141.2773608
,4,,1,4,,石巻港雲雀野第３号灯浮標,No.3,38.395606,141.275736
,4,,1,4,,石巻港第１号灯浮標,No.1,38.397258,141.259623
,4,,1,4,,,,38.394304,141.345238
,4,,2,3,,,,38.394358,141.348681
,4,,1,4,,石巻漁港沖第１号灯浮標,No.1,38.386686,141.344164
,4,,2,3,,石巻漁港沖第２号灯浮標,No.2,38.386704,141.348554
,4,,1,4,,,,38.3927648,141.270845799999
,4,,2,3,,,,38.3911653,141.272330399999
,1,,2,3,,,,38.407709,141.31957
,4,,1,4,,女川港南仮設灯浮標,Onagawa Ko S Temp Lt Buoy,38.4357778,141.4640833
,4,,2,3,,女川港北仮設灯浮標,Onagawa Ko N Temp Lt Buoy,38.4367222,141.4651389
,4,,1,4,,,,38.4020556,141.3458056
,4,,2,3,,,,38.403,141.349027799999
,1,,,6,,,,38.40902,141.317363
,1,,,6,,,,38.408123,141.317433
,4,,,6,,,,38.4024984,141.281203299999
,4,,,6,,,,38.4012222,141.282916699999
,1,,,6,,,,38.4043056,141.2799444
,1,,,6,,,,38.4071944,141.2795556
,1,,,6,,,,38.4079116,141.282546599999
,1,,,6,,,,38.4014444,141.2669167
,1,,,6,,,,38.4037639,141.2692527
,1,,,6,,,,38.3980818,141.2631686
,5,,,6,,,,38.4408045,141.4624231
,5,,,6,,,,38.4443564,141.4579915
,5,,,6,,,,38.4444866,141.459738499999
,5,,,6,,,,38.444389,141.4609227
,5,,,6,,,,38.432554,141.4690607
,5,,,6,,,,38.4356953,141.4969003
,5,,,6,,,,38.4341214,141.4922656
,5,,,6,,,,38.4151198,141.4766664
,5,,,6,,,,38.4294928,141.476211299999
,5,,,6,,,,38.4314746,141.4709187
,1,,,6,,,,38.2887945,141.4986934
