BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
3,,,,"2,3,2",1,両石湾中根灯標,Ryoishi Wan Naka Ne Lt Beacon,39.3032944,141.9019972
3,,,,"2,3,2",1,盥島灯標,Tarai Shima Lt Beacon,39.4561962,141.9956018
3,,,,"2,3,2",1,盥島灯標,Tarai Shima Lt Bcn,39.4560437,141.9956031
,5,,,6,,,,39.2509324,141.901726
,5,,,6,,,,39.2507271,141.9018395
,5,,,6,,,,39.2521127,141.9041402
,5,,,6,,,,39.253815,141.9076385
,5,,,6,,,,39.2512032,141.9188562
,5,,,6,,,,39.2501384,141.9316133
,5,,,6,,,,39.2515766,141.9359705
,5,,,6,,,,39.2531628,141.9313675
,5,,,6,,,,39.2523149,141.9365167
,5,,,6,,,,39.2518519,141.9402844
,5,,,6,,,,39.2528254,141.9448442
,5,,,6,,,,39.2758888,141.932889
,5,,,6,,,,39.2763748,141.9368734
,,,,2,,,,39.266103,141.9179003
,5,,,6,,,,39.3451204,141.926646
,5,,,6,,,,39.3454902,141.9260366
,5,,,6,,,,39.3459743,141.9278299
,5,,,6,,,,39.3465291,141.9271154
,5,,,6,,,,39.3471165,141.9261978
,5,,,6,,,,39.346094,141.9250839
,5,,,6,,,,39.3476822,141.9254902
,5,,,6,,,,39.3440432,141.917462699999
,5,,,6,,,,39.3421505,141.9203358
