BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
7,,,1,4,,千葉港口第７号灯標,Chiba Ko Entrance No.7 Lt Beacon,35.5643641,140.011198799999
7,,,2,3,,千葉港口第８号灯標,Chiba Ko Entrance No.8 Lt Beacon,35.5614545,140.0133886
7,,,1,4,,千葉港姉崎航路第１号灯標,Chiba Ko Ane-ga-Saki Passage No.1 Lt Beacon,35.5176996,140.0057708
7,,,2,3,,千葉港姉崎航路第２号灯標,Chiba Ko Ane-ga-Saki Passage No.2 Lt Beacon,35.5156898,140.0020713
7,,,1,4,,千葉港市原航路第１号灯標,Chiba Ko Ichihara Passage No.1 Lt Beacon,35.5621351,140.0476172
7,,,2,3,,千葉港市原航路第２号灯標,Chiba Ko Ichihara Passage No.2 Lt Beacon,35.5600895,140.0462383
7,,,1,4,,千葉港千種第１号灯標,Chiba Ko Chigusa No.1 Lt Beacon,35.5207282,140.0126275
7,,,2,3,,千葉港千種第２号灯標,Chiba Ko Chigusa No.2 Lt Beacon,35.5180506,140.0124824
7,,,1,4,,千葉港椎津航路第５号灯標,Chiba Ko Shiitsu Passage No.5 Lt Beacon,35.4860278,140.0065556
7,,,2,3,,千葉港椎津航路第６号灯標,Chiba Ko Shiitsu Passage No.6 Lt Beacon,35.4849444,140.0026111
7,,,,4,,千葉港第７号灯標,Chiba Ko No.7 Lt Beacon,35.594,140.069167
7,,,,4,,千葉港第５号灯標,Chiba Ko No.5 Lt Beacon,35.589889,140.061
7,,,,,,千葉港第６号灯標,Chiba Ko No.6 Lt Beacon,35.587194,140.063111
7,,,,4,,千葉港第３号灯浮標,Chiba Ko No.3 Lt Beacon,35.581806,140.045
7,,,,4,,千葉港第４号灯標,Chiba Ko No.4 Lt Beacon,35.579083,140.047083
7,,,,4,,千葉港姉崎航路第３号灯標,Chiba Ko Anegassaki Passage No.3 Lt Beacon,35.506556,140.015361
7,,,,3,,千葉港姉崎航路第４号灯標,Chiba Ko Anegassaki Passage No.4 Lt Beacon,35.505262,140.011611
7,,,,,,千葉港第２号灯標,Chiba Ko No.2 Lt Beacon,35.571,140.031194
7,,,,,,千葉港第１号灯標,Chiba Ko No.1 Lt Beacon,35.573667,140.029139
3,,,,1,,千葉灯標,Chiba Light Beacon,35.5680278,140.04575
,7,,,6,,千葉港コスモ石油第２シーバース灯,Chiba Ko Cosmo Sekiyu Sea-Berth No.2 Lt,35.5300679,140.0029908
,1,,,,,,,35.8985651,140.7535301
,4,,1,4,,鹿島港第１号仮設灯浮標,Kashima Ko No.1 Temporally Lt Buoy,35.968613,140.7135276
,4,,2,3,,鹿島港第２号灯浮標,Kashima Ko No.2,35.9733033,140.706207
,4,,1,4,,千葉港千種第３号灯浮標,Chiba Ko Chigusa No.3 Lt Buoy,35.5202798,140.0281988
,4,,2,3,,千葉港千種第４号灯浮標,Chiba Ko Chigusa No.4 Lt Buoy,35.5177,140.0231393
,4,,1,4,,千葉港市原航路第３号灯浮標,Chiba Ko Ichihara Passage No.3 Lt Buoy,35.5583703,140.0596127
,4,,2,3,,千葉港市原航路第４号灯浮標,Chiba Ko Ichihara Passage No.4 Lt Buoy,35.5563043,140.058444
7,,,2,3,,鹿島港第８号灯標,Kashima Ko No 8 Lt Beacon,35.9301733,140.6983358
3,,,,1,,鹿島港導灯（前灯）,Kashima Ko Ldg Lt (Front),35.9242222,140.7054444
3,,,,1,,鹿島港導灯（後灯）,Kashima Ko Ldg Lt (Rear),35.9224167,140.7053056
,4,,2,3,,鹿島港第６号灯浮標,Kashima Ko No 6 Lt Buoy,35.9373948,140.7041682
,4,,2,3,,鹿島港第２号灯浮標,Kashima Ko No 2 Lt Buoy,35.9732234,140.7063892
,4,,1,4,,鹿島港第１号灯浮標,Kashima Ko No 1 Lt Buoy,35.9686111,140.7135
,4,,2,3,,鹿島港第４号灯浮標,Kashima Ko No 4 Lt Buoy,35.9619694,140.7050222
,1,,1,4,,,,35.9257836,140.655079699999
,1,,2,3,,,,35.92871,140.6557329
,1,,1,4,,,,35.9257565,140.656423
,1,,2,3,,,,35.9268922,140.657035799999
,1,,2,3,,,,35.92515,140.66129
,1,,1,4,,,,35.92482,140.6584609
,1,,2,3,,,,35.9247149,140.6626633
,1,,2,3,,,,35.9251328,140.6631358
,4,,1,4,,鹿島港北海浜航路第１号灯浮標,Kashima Ko Kitakaihin Passage No 1 Lt Buoy,35.9565167,140.7023556
,4,,2,3,,鹿島港北海浜航路第２号灯浮標,Kashima Ko Kitakaihin Passage No 2 Lt Buoy,35.9609767,140.7015333
,4,,1,4,,鹿島港北海浜航路第７号灯浮標,Kashima Ko Kitakaihin Passage No 7 Lt Buoy,35.9653333,140.6911667
,4,,1,4,,鹿島港北海浜航路第５号灯浮標,Kashima Ko Kitakaihin Passage No 5 Lt Buoy,35.9636389,140.6913333
,1,,,6,,,,35.9626121,140.704204299999
,1,,,6,,,,35.9614022,140.7022708
,4,,,6,,,,35.9733175,140.705905
,4,,,6,,,,35.9685833,140.7033333
,1,,,6,,海底波高計,Wave Meter,35.9681311,140.715485699999
,4,,,6,,,,35.9623373,140.7050893
,1,,,6,,,,35.9637564,140.7002539
,1,,,6,,,,35.9646284,140.702853
,1,,,6,,,,35.9671873,140.7030028
,4,,,6,,,,35.9645295,140.711768
,4,,,6,,,,35.9643275,140.7153068
