BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
,,3,,"6,2",1,鷹島南方灯標,Takashima Southward Lt Beacon,34.0131201,135.1251683
7,,4,,"6,2,6",1,浜寺航路第１号灯標,Hamadera Passage No.1 Lt Beacon,34.55775,135.334611099999
3,,3,,"6,2",1,平磯灯標,Hira Iso Lt Beacon,34.6215953,135.0652014
7,,,2,3,,浜寺航路第２号灯標,Hamadera Passage No.2 Lt Beacon,34.5550555,135.334611099999
7,,,1,4,,浜寺航路第５号灯標,Hamadera Passage No.5 Lt Beacon,34.55775,135.36925
7,,,2,3,,浜寺航路第６号灯標,Hamadera Passage No.6 Lt Beacon,34.555194,135.3713177
7,,,1,4,,浜寺航路第３号灯標,Hamadera Passage No.3 Lt Beacon,34.5576505,135.3525552
7,,,2,3,,浜寺航路第４号灯標,Hamadera Passage No.4 Lt Beacon,34.5550556,135.3519306
1,,,,"3,1",2,関空泉州沖連絡橋北東方灯標,Kanku Senshu Offing Connection Bridge Northeastward Lt Beacon,34.4290021,135.2824841
1,,,,"3,1",2,関空泉州沖連絡橋南西方灯標,Kanku Senshu Offing Connection Bridge Southwestward Lt Beacon,34.4229111,135.2757382
,,,,"3,1",2,関空泉州港北泊地沖灯標,Kanku Senshu Ko,34.4462281,135.2608191
1,,,,"3,1",2,大阪灯標,Osaka,34.6072222,135.3383334
,4,,,"2,3,2",1,有田鍋磯灯浮標,Arida Nabe Iso Lt Buoy,34.1023316,135.0999464
,4,,2,3,,尼崎第２号灯浮標,Amagasaki No.2 Lt Buoy,34.6568636,135.3458967
,4,,2,3,,泉北大津南第２号灯浮標,Senboku Otsu S No.2 Lt Buoy,34.5434085,135.3686772
,4,,2,3,,泉佐野航路第２号灯浮標,Izumi-Sano Passage No.2 Lt Buoy,34.4555478,135.317974
,4,,1,4,,海南第１号灯浮標,Kainan No.1 Lt Buoy,34.1470752,135.1619454
,4,,2,3,,海南第２号灯浮標,Kainan No.2 Lt Buoy,34.1448568,135.1612256
,4,,1,4,,有田第１号灯浮標,Arita No.1 Lt Buoy,34.117613,135.1098562
,4,,2,3,,有田第２号灯浮標,Arida No.2 Lt Buoy,34.1185438,135.105573
,4,,1,4,,尼崎第１号灯浮標,Amagasaki No.1 Lt Buoy,34.6582134,135.3443568
,4,,2,3,,大阪南港第２号灯浮標,Osaka Nanko No.2 Lt Buoy,34.628758,135.3771856
,4,,1,4,,泉北大津南第１号灯浮標,Senboku Otsu S No.1 Lt Buoy,34.5455082,135.3708069
,4,,1,4,,泉佐野航路第１号灯浮標,Izumi-Sano Passage No.1 Lt Buoy,34.4555278,135.3204638
,4,,1,4,,和歌山北区航路第１号灯浮標,Wakayama Kita-Ku Passage No.1 Lt Buoy,34.2405681,135.1036642
,4,,2,3,,和歌山北区航路第２号灯浮標,Wakayama Kita-Ku Passage No.2 Lt Buoy,34.2377785,135.1033346
,4,,1,4,,神戸中央航路第１号灯浮標,Kobe Central Traffic Route No.1 Lt Buoy,34.6426726,135.2656577
,4,,2,3,,神戸中央航路第２号灯浮標,Kobe Central Traffic Route No.2 Lt Buoy,34.6450556,135.2702778
,4,,1,4,,阪南港岸和田航路第１号灯浮標,Hannan Ko Kishiwada Koro No.1 Lt Buoy,34.5137373,135.362334
,4,,2,3,,阪南港岸和田航路第２号灯浮標,Hannan Ko Kishiwada Koro No.2 Lt Buoy,34.5126075,135.359873599999
,4,,1,4,,境航路第１号灯浮標,Sakai Koro No.1 Lt Buoy,34.6086214,135.37252
,4,,2,3,,堺航路第２号灯浮標,Sakai Koro No.2 Lt Buoy,34.6058437,135.37252
,4,,2,3,,,,34.615345,135.355082
,4,,2,3,,,,34.6220526,135.3661337
,4,,1,4,,,,34.6416667,135.304722199999
,4,,2,3,,,,34.6422222,135.3108333
,4,,,"3,1",2,明石海峡航路中央第２号灯浮標,Akashi Kaikyo Traffic Route Center No.2 Lt Buoy,34.6234542,135.0089164
,4,,,"3,1",2,,,34.6293611,135.3089722
,4,,,"3,1",2,洲本沖灯浮標,Sumoto Offing Lt Buoy,34.3554724,135.0082315
