BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
3,,1,,"2,6",1,屋形石灯標,Yakataishi Lt Beacon,34.2982139,132.4791222
1,,4,,"6,2,6",1,西五番之砠灯標,Nishi Goban-no-Bae Lt Beacon,34.0655048,132.4408244
3,,2,,"2,6,2",1,安芸センガイ灯標,Aki-Sengai Lt Beacon,34.0722472,132.5631333
,,,,"2,3,2",1,下碇磯灯標,Shimo-Ikari Iso Lt Beacon,34.2540833,132.793
1,,,,"2,3,2",1,安芸爼礁灯標,Aki-Manaita Sho Lt Beacon,34.2512197,132.3600211
1,,,,"2,3,2",1,安芸白石灯標,Aki-Shira Ishi Lt Beacon,34.1779,132.3480417
1,,,,"2,3,2",1,笠磯灯標,Kasa Iso Lt Beacon,34.2624275,132.4134563
1,,,,"2,3,2",1,安芸爼岩灯標,Aki-Manaita Iwa Lt Beacon,34.0391198,132.5330384
3,,,,"2,3,2",1,波方港広瀬灯標,Namikata Ko Hiro Se Lt Beacon,34.1245364,132.9573023
1,,,,"2,3,2",1,牛ゾノ立標,Ushizono Beacon,34.1691824,132.485565799999
1,,,,"2,3,2",1,浜田港シャックリ灯標,Hamada Ko Shakkuri Lt Beacon,34.8898386,132.0389471
3,,,2,3,,津久賀島北方灯標,Tsukuga Shima Northward Lt Beacon,34.2601889,132.83575
3,,,1,4,,中ノ瀬灯標,Naka-no Se Lt Beacon,34.270386,132.3743395
3,,,1,4,,ドウゲン石灯標,Dogenishi Lt Beacon,34.3007611,132.4468056
,,,1,4,,亀石灯標,Kameishi Lt Beacon,34.2936515,132.2949755
3,,,2,3,,来島白石灯標,Kurushima-Shiroishi Lt Beacon,34.1068371,132.9831802
3,,,2,3,,来島海士瀬灯標,Kurushima-Ama Se Lt Beacon,34.1115417,132.9811306
3,,,2,3,,小島東灯標,O Shima E Lt Beacon,34.1288194,132.9839361
3,,,2,3,,桴磯灯標,Ikada Iso Lt Beacon,34.1456578,132.9345856
3,,,2,3,,来島西浦沖灯標,Kurushima-Nishiura Offing Lt Beacon,34.1349265,132.9354818
,,,2,3,,汐出磯灯標,Shiode Iso Lt Beacon,34.0147024,132.7896283
,,,1,4,,来島中磯灯標,Kurushima-Naka Iso Lt Beacon,34.1213194,132.9729639
1,,,1,4,,,,34.1791581,132.4787929
3,,,1,4,,,,34.299075,132.8749111
3,,,,1,,王子マテリア呉港広導灯（前灯）,Ojimateria Kure Ko Hiro Leading Lt(Front),34.2246759,132.6152802
3,,,,1,,王子マテリア呉港広導灯（後灯）,Ojimateria Kure Ko Hiro Leading Lt(Rear),34.2256758,132.616110099999
,4,,2,3,,馬ヶ瀬灯浮標,Uma-ga Se Lt Buoy,34.1716069,132.3703327
,4,,2,3,,安芸長島南西方灯浮標,Aki-Nagashima Southwestward Lt Buoy,34.1225038,132.4036718
,4,,2,3,,鹿川港第２号灯浮標,Kanokawa Ko No.2 Lt Buoy,34.1662994,132.4327373
,4,,2,3,,洲ノ石灯浮標,Su-no-Ishi Lt Buoy,34.2945638,132.4584476
