BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
,1,,,,,海底波高計,Wave Meter,36.9179787,140.9217556
,4,,,,,海底波高計,Wave Meter,36.3949847,140.6563116
,1,,,,,海底波高計,Wave Meter,36.2846832,140.6172862
,4,,,,,,,36.449314,140.6471836
,1,,1,4,,,,36.9370773,140.9093245
,1,,2,3,,,,36.9378081,140.910235
,5,,1,4,,,,36.9379956,140.9095192
,1,,,6,,,,36.9179311,140.921631
,4,,,6,,,,36.9091389,140.87525
,1,,,6,,,,36.9158333,140.8883333
,1,,,6,,,,36.9147222,140.8880556
,1,,,6,,,,36.9563889,140.9508333
,1,,,6,,,,36.9566667,140.9502778
,1,,,6,,,,36.9572222,140.9519444
