BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
3,,,2,3,,牛島灯標,Ushi Shima Light Beacon,34.3666444,133.7795972
,4,3,,"6,2",,水島航路第２号灯浮標,Mizushima Traffic Route No.2 Lt Buoy,34.3678639,133.8242694
,4,1,,"2,6",,坂出港第１号灯浮標,Sakaide Ko No.1 Lt Buoy,34.3549049,133.871760099999
,4,,2,3,,備讃瀬戸南航路第８号灯浮標,Bisan Seto S Traffic Route No.8 Lt Buoy,34.3329747,133.757918499999
,4,,1,4,,備讃瀬戸南航路第７号灯浮標,Bisan Seto S Traffic Route No.7 Lt Buoy,34.3379765,133.7543288
,4,,1,4,,丸亀港灯浮標,Marugame Ko Lt Buoy,34.3053103,133.7715139
,4,,1,4,,水島航路第３号灯浮標,Mizushima Traffic Route No.3 Lt Buoy,34.3663083,133.8021056
,4,,2,3,,水島航路第４号灯浮標,Mizushima Traffic Route No.4 Lt Buoy,34.3700146,133.8115928
,4,,2,3,,備讃瀬戸南航路第１０号灯浮標,Bisan Seto South Traffic Route No.10 Lt Buoy,34.3549254,133.8126145
,4,,2,3,,宇多津港灯浮標,Utazu Ko Lt Buoy,34.3237145,133.816260199999
,4,,1,4,,坂出番の州泊地第１号灯浮標,Sakaide Bannosu Hakuchi No.1 Lt Buoy,34.3619962,133.8473189
,4,,2,3,,坂出番の州泊地第２号灯浮標,Sakaide Bannosu Hakuchi No.2 Buoy,34.361466,133.8413289
,4,,2,3,,坂出港第２号灯浮標,Sakaide Ko No.2 Lt Buoy,34.3455149,133.859685899999
,4,,1,4,,備讃瀬戸北航路第９号灯浮標,Bisan Seto North Traffic Route No.9 Light Bouy,34.3682528,133.764691699999
,1,,2,3,,,,34.3575618,133.8332311
,2,,2,3,,,,34.3035133,133.776254599999
,2,,2,3,,,,34.3029493,133.7767337
,1,,2,3,,,,34.2865788,133.7546092
,6,,,11,,,,34.3032097,133.7764905
,4,,,6,,放水口,Outlet,34.3571486,133.826236
,1,,,6,,取水口,Intake,34.3423032,133.8704175
3,,1,,"2,6",,六口島灯標,Mukuchi Shima Lt Beacon,34.4315833,133.7606667
3,,1,,"2,6",,長太夫礁灯標,Chodayu Sho Lt Beacon,34.3732171,133.1387867
1,,2,,"2,6,2",,六ツ瀬灯標,Mutsu Se Lt Beacon,34.1946146,133.1298073
3,,1,,"2,6",,海獺磯灯標,Ashika Iso,34.0669389,133.1315528
