BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
,4,,2,3,,沖爼岩北灯浮標,Oki Manaita Iwa N Lt Buoy,35.4390559,133.27782
,4,,2,3,,松江港第４号灯浮標,Matsue Ko No.4,35.4546694,133.1408806
,4,,2,3,,松江港第２号灯浮標,Matsue Ko No.2,35.4635,133.1536556
,4,,2,3,,中海大グリ灯浮標,Naka Umi O-Guri Lt Buoy,35.4754842,133.173430599999
,4,,2,3,,境港中浦水道南口第２号灯浮標,Sakai Ko Nakaurasuido S Entrance No.2 Lt Buoy,35.4902222,133.206
,4,,1,4,,境港中浦水道南口第１号灯浮標,Sakai Ko Nakaurasuido S Entrance No.1 Lt Buoy,35.4905,133.2093056
,4,,2,3,,中海丸グリ灯浮標,Naka Umi Maru-Guri Lt Buoy,35.4845556,133.1922083
,4,,1,4,,境港第１号灯浮標,Sakai Ko No.1,35.5512373,133.2813982
,4,,2,3,,境港第２号灯浮標,Sakai Ko No.2,35.55474,133.2827342
,4,,2,3,,安来港灯浮標,Yasugi Ko Lt Buoy,35.439214,133.2564414
,2,,,3,,,,35.5766667,133.5422622
,,,,,,,,35.5084122,133.1891242
,,,,,,,,35.5837023,133.245403
,1,,2,3,,,,35.5178056,133.198861099999
,1,,1,4,,,,35.5190833,133.2014167
,4,,1,4,,境港外江灯浮標,Sakai Ko Tonoe,35.5290778,133.1976222
,4,,2,3,,境港出船鼻東方灯浮標,Sakai Ko Defune Hana E,35.5369111,133.2028722
,4,,2,3,,境港入道礁灯浮標,Sakai Ko Nyudo Sho,35.5405222,133.2088694
,4,,2,3,,境港北国倒シ灯浮標,Sakai Ko Hokkokutaoshi,35.5453556,133.2167583
,4,,2,3,,境港坂浦鼻沖灯浮標,Sakai Ko Sakaura Hana Offing,35.5486306,133.2220639
,4,,2,3,,境港境水道第６号灯浮標,Sakai Ko Sakai Suido No 6,35.5504944,133.2492833
,1,,,3,,,,35.5272041,133.1825997
,4,,2,3,,境港第２号灯浮標,Sakai Ko No 2,35.5547722,133.2827806
,4,,1,4,,境港第１号灯浮標,Sakai Ko No 1,35.5513556,133.2816417
,4,,2,3,,境港境水道第４号灯浮標,Sakai Ko Sakai Suido No 4,35.5534389,133.2632556
,4,,2,3,,,,35.551624,133.2727089
,4,,2,3,,境港境水道第２号灯浮標,Sakai Ko Sakai Suido No 2,35.5548,133.2729472
,4,,1,4,,,,35.5340402,133.2570765
,1,,,6,,海底波高計,Submarine Wave Meter,35.5323333,133.279
