BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
1,,,,"2,3,2",1,,,34.6146834,138.1401859
,,,,,,,,34.9842364,138.5139704
,,,,,,,,34.9986349,138.525769
3,,,,1,,御前岩灯標,Gozen Iwa Lt Beacon,34.5975568,138.2604152
,4,,,6,,,,34.4033333,138.275
3,,,,1,,清水港導灯（前灯）,Shimizu Ko Ldg Lt(Front),34.9942672,138.498897
3,,,,1,,清水港導灯（後灯）,Shimizu Ko Ldg Lt(Rear),34.9934895,138.4988739
,4,,2,3,,大井川港第４号灯浮標,No.4,34.7786119,138.3030364
,4,,1,4,,大井川港第３号灯浮標,No.3,34.7777441,138.3032693
,4,,2,3,,大井川港第２号灯浮標,No.2,34.7793669,138.3069779
,4,,1,4,,大井川港第１号灯浮標,No.1,34.7784091,138.3072599
,4,,,6,,,,34.8682207,138.3295965
,4,,,6,,,,34.864745,138.330633
,1,,,6,,,,34.8551061,138.326783299999
1,,,,,,,,34.9988307,138.5262257
1,,,,,,,,34.98433,138.5140726
3,,,,1,,田子の浦港導灯（後灯）,Tagonoura Ko Leading Lt,35.1457778,138.6886667
3,,,,1,,田子の浦港導灯（前灯）,Tagonoura Ko Leading Lt,35.1440556,138.6901944
,1,,,6,,,,35.0384722,138.5166945
,1,,,6,,,,35.0414639,138.5264095
