BCNSHP,BOYSHP,CATCAM,CATLAM,COLOUR,COLPAT,NOBJNAM,OBJNAM,latitude,longitude
1,,,,6,,開発局苫小牧元町沖人工リーフＢ灯標,Kaihatsukyoku Tomakomai Motomachi Offing Artificial Reef B Lt Beacon,42.6185,141.5742778
1,,,,6,,開発局苫小牧元町沖人工リーフＡ灯標,Kaihatsukyoku Tomakomai Motomachi Offing Artificial Reef A Lt Beacon,42.6210624,141.5880394
1,,,,6,,開発局白老高砂沖人工リーフＢ灯標,Kaihatsukyoku Shiraoi takasago Offing Artificial Reef B Lt Beacon,42.5391667,141.3516667
1,,,,6,,開発局白老高砂沖人工リーフＡ灯標,Kaihatsukyoku Shiraoi takasago Offing Artificial Reef A Lt Beacon,42.5475092,141.3680852
1,,,,"1,3,1,3,1",1,苫小牧港東港区弁天導灯（後灯）,Tomakomai Ko E Ko Benten Leading Lt(Rear),42.6196111,141.7826944
1,,,,"1,3,1,3,1",1,苫小牧港東港区弁天導灯（前灯）,Tomakomai Ko E Ko Benten Leading Lt(Front),42.6174167,141.7820278
,4,,1,4,,苫小牧港石油共同備蓄第１号灯浮標,Tomakomai Ko Sekiyu Kyodo Bichiku Lt Buoy No.1 Lt Buoy,42.5827529,141.7646214
,4,,2,3,,,No 4,42.5838671,141.7764654
1,,,,6,,開発局苫小牧元町沖人工リーフＡ灯標,A,42.6210211,141.5880283
,4,,1,4,,苫小牧港第１号灯浮標,Tomakomai Ko No.1 Lt Buoy,42.6247722,141.622422199999
,4,,2,3,,苫小牧港第４号灯浮標,Tomakomai Ko No.4 Lt Buoy,42.6270694,141.628969399999
,1,,2,3,,,,42.6469132,141.674191799999
,5,,,3,,,,42.6283005,141.6234684
,5,,,,,,,42.638333,141.639556
,5,,,,,,,42.6382294,141.6394237
,,,,,,,,42.6021097,141.7992398
,,,,,,,,42.5932258,141.8078259
1,,,,1,,苫小牧港石油共同備蓄導標（前標）,Sekiyu Kyodobichiku Leading Bcn(Front),42.5881293,141.8020108
1,,,,1,,苫小牧港石油共同備蓄導標（後標）,Sekiyu Kyodobichiku Leading Bcn(Rear),42.5881992,141.8027502
1,,,,"3,1",1,苫小牧港北海道電力導標（前標）,Hokkaidodenryoku Leading Bcn(Front),42.6023258,141.8138118
1,,,,"3,1",1,苫小牧港北海道電力導標（後標）,Hokkaidodenryoku Leading Bcn(Rear),42.6056326,141.8212718
1,,,,"1,3,1,3,1",1,苫小牧港東港区弁天導灯（前灯）,Tomakomai Ko E Ko Benten Leading Lt(Front),42.6174167,141.7820278
1,,,,"1,3,1,3,1",1,苫小牧港東港区弁天導灯（後灯）,Tomakomai Ko E Ko Benten Leading Lt(Rear),42.6196111,141.7826944
,,,,6,,,,42.6016659,141.7987256
,4,3,,"6,2",1,Ｎｏ　５,No 5,42.587498,141.7762092
,4,,2,3,,,No8,42.5885999,141.7870397
,4,,2,3,,,No10,42.5975047,141.8073852
,4,,2,3,,,No4,42.5838671,141.7764654
,4,,1,4,,,No7,42.5913911,141.7848486
,4,,1,4,,,No9,42.5986382,141.800878899999
,4,,1,4,,苫小牧港石油共同備蓄第１号灯浮標,Tomakomai Ko Sekiyu Kyodobichiku No1 Lt Buoy,42.5827529,141.7646215
,4,,1,4,,Ｎｏ　３,No 3,42.6001667,141.7750278
,4,,2,3,,Ｎｏ　４,No 4,42.5995833,141.7786111
,4,,1,4,,Ｎｏ　１,No 1,42.5902778,141.7719722
,4,,,6,,,A,42.5997555,141.8019308
,4,,,6,,,C,42.6058495,141.8096232
,4,,,6,,,B,42.6068419,141.8094219
,4,,,6,,,,42.601,141.8007778
,4,,,6,,,,42.6012999,141.8009458
,4,,,6,,,,42.6011551,141.8002816
,4,,,6,,,,42.6014964,141.7994351
,4,,,6,,,,42.6013252,141.7997519
,4,,,6,,Ａ,A,42.6062222,141.7763056
,4,,,6,,Ｂ,B,42.611303,141.7773611
,4,,,6,,Ｃ,C,42.614,141.7784722
,5,,,6,,,,42.6146071,141.7797687
,5,,,6,,,,42.613889,141.7829991
,5,,,6,,,,42.6065263,141.780637899999
,2,,,6,,,,42.6086389,141.8170278
,2,,,6,,,,42.6108317,141.819437
,1,,,6,,,,42.6125556,141.8149722
,1,,,6,,,,42.6071125,141.810229
,4,,,6,,,,42.6019405,141.798865299999
