x [m],y [m]
-3789.182335,2358.913251
-3789.182335,3292.834673
-703.3563229,3292.834673
-604.1674897,3084.614463
-773.2680975,3011.264055
-863.1095312,3165.662489
-1018.602132,3007.209264
-882.5387188,2832.042704
-914.5842561,2776.950567
-797.9834298,2678.221346
-1138.042264,2471.518687
-1266.188958,2627.84363
-2318.288619,2211.398023
-2087.80903,1764.944378
-1964.025098,1771.110424
-1875.999041,1604.000479
-2136.583379,1465.260696
-2041.700318,1303.387248
-1072.105814,1815.098624
-1052.022185,1767.937815
-1295.333764,1640.151676
-1108.358183,1271.210156
-613.351996,1507.318209
-407.210019,1746.95522
828.2649056,1660.002436
1357.777816,1134.594707
1427.536144,1133.478421
1476.899899,1042.824303
1482.688883,969.7866857
1528.883363,877.6910002
1490.607208,813.0869471
1504.953598,724.9127749
1583.259332,671.1813991
1465.671338,518.3254357
1479.850636,487.2087258
1530.340702,469.0009329
1510.692991,307.7481801
1477.815094,223.0783188
1481.160452,143.4208036
1424.755228,104.6800652
1327.628895,97.20006459
1248.374771,36.53613623
1167.87578,-36.40362106
1012.742646,63.51945258
888.539057,79.40361174
868.6245783,86.286545
851.0523846,152.9821801
876.7230439,182.0936709
848.9330854,235.1139858
779.5022491,289.6107463
683.8227542,348.2504594
632.6466526,303.7158774
654.6615625,352.1266287
627.4015336,368.7798214
456.9149362,616.2292108
400.9496543,577.9642603
548.5479688,365.3272202
539.5488524,311.056962
605.6797311,279.6265899
621.3839509,262.5375628
644.7854403,254.2628733
646.8012671,242.1002578
532.8886179,297.8613576
-789.9089895,492.2001986
-1560.709118,413.4739651
-1554.000241,357.0779577
-1160.750814,-48.68344721
-981.1458754,-28.41111634
-987.5461755,-10.50870685
-1040.143174,-17.81858852
-1041.406658,-6.339781232
-922.6455942,7.595237187
-921.6719183,-5.922506357
-976.6293908,-10.14142684
-971.8386011,-29.41279029
-809.9561894,-7.854067948
-813.2904281,8.754568617
-841.5109342,7.616624578
-842.5573834,15.48612185
-793.945383,22.2694761
-791.4151492,12.4571335
-803.0809629,9.140956069
-800.5760707,-8.80011271
-655.6767744,-28.0344508
-651.7671757,-14.56254304
-705.8967883,-4.447205715
-705.4595461,7.072046452
-585.7990426,-9.34538506
-587.5978607,-23.16278491
-640.9507788,-14.97101026
-644.373614,-32.40551099
-447.3913659,-59.6829264
-443.9885464,-44.6405965
-497.2208871,-33.2807711
-495.5696411,-23.35112103
-377.0767817,-40.66024896
-380.9863621,-54.13214278
-433.8065698,-44.97428529
-436.527626,-62.57194126
-229.9685521,-93.02206723
-226.1082859,-75.25351299
-280.6743454,-65.47147764
-278.2211026,-54.92936556
-160.267056,-73.34905339
-162.0385422,-86.44649668
-215.5600054,-77.1250841
-219.1578188,-93.57467631
52.61310853,-134.9048565
54.48482095,-121.0317894
11.31517888,-113.1727111
12.57445309,-98.64881128
112.3799599,-115.8278079
109.879397,-129.4820264
66.70985956,-121.6228682
61.99834237,-135.7071782
232.5251185,-160.3977462
536.570938,-559.8988694
530.4856007,-580.3453644
-1198.502089,-769.466285
-1315.503953,-509.2753061
-1506.416236,-543.9152207
-1577.482269,-491.226481
-1551.358969,-565.9328261
-1452.665215,-565.9244714
-1397.418876,-669.8429596
-1539.985279,-863.4458218
-1553.686303,-989.537384
-1510.52332,-1119.04215
-1714.129422,-874.0950446
-1740.039222,-674.2294499
-1668.703638,-647.016775
-1707.309791,-403.0175603
-2638.601589,536.178814
-3135.421407,1526.416929
-2729.506773,1734.895357
-2789.156994,2078.592116
-2982.395159,2100.619407
-3001.021821,2119.111885
-3091.136158,2130.828607
-3172.589214,2154.332923
-3103.763654,2227.026655
-3170.606716,2258.612237
-3243.383424,2260.779075
-3243.012988,2184.861819
-3181.483656,2110.349227
-3182.408376,2050.640362
-3134.282756,1997.909781
-3036.185213,1991.310888
-3020.866237,1893.253376
-3162.599333,1832.273932
-3681.619462,1720.160604
-3789.182335,2358.913251
