,x [m],y [m]
0,3476.318861,176.8710161
1,3404.0348,217.8848148
2,3260.529297,303.2433877
3,3123.371097,384.4412253
4,2986.115401,464.3675029
5,2933.504919,448.9375857
6,2930.407359,448.0450998
7,2792.564492,410.6156657
8,2854.636103,172.7031792
9,2899.665871,-1.739644088
10,2792.411926,-29.89729426
11,2659.733396,-66.74155471
12,2629.504151,51.87423534
13,2624.078809,72.63767666
14,2599.352227,167.4514745
15,2579.720381,245.3758841
16,2459.395434,368.6774389
17,2422.472593,406.0268248
18,2255.595606,363.569832
19,2309.275055,142.0786195
20,2244.296293,122.9703389
21,2266.048241,41.01664705
22,2272.130817,18.07777955
23,2296.847965,-77.69846975
24,2317.597949,-157.2555335
25,2187.090975,-192.4350012
26,2083.513579,-222.371363
27,2061.724154,-140.2901692
28,2033.222988,-34.2737606
29,2004.413568,74.09345471
30,1980.164224,159.1806849
31,1954.32034,151.8544998
32,1945.140571,228.8356049
33,1943.714942,242.0971741
34,1935.908526,314.2231888
35,1831.107165,288.8981449
36,1630.450396,238.9817805
37,1527.651017,216.0712524
38,1560.834344,100.3039774
39,1606.591635,-57.73464952
40,1645.705674,-192.7928578
41,1656.969904,-238.1451407
42,1575.691481,-256.6374478
43,1544.102933,-261.9669267
44,1528.614127,-273.0533782
45,1511.604223,-282.0512888
46,1497.000542,-283.7492028
47,1472.332097,-286.3564988
48,1453.535453,-293.5250611
49,1440.513973,-291.4507233
50,1421.28554,-276.6517623
51,1404.766378,-258.7518291
52,1386.896453,-234.5625703
53,1379.74352,-232.137834
54,1332.568481,-244.254933
55,1290.167039,-255.1207505
56,1281.504815,-229.582969
57,1233.121388,-66.46510378
58,1220.142391,-27.31078648
59,1218.997785,-23.83882556
60,1166.294325,78.65029654
61,1109.961338,183.8882054
62,1068.057515,261.1233095
63,864.0393226,261.629881
64,722.0851266,263.1536326
65,677.6102688,262.7208845
66,677.0023679,145.3418668
67,675.3959135,21.12005032
68,675.030374,-7.851924546
69,663.2246007,-10.42658214
70,662.3553298,7.082506162
71,646.3104439,3.945090568
72,646.4502514,-8.439563909
73,600.9725744,10.27556114
74,583.5490319,12.97079017
75,504.72556,13.92697729
76,383.958288,13.31731115
77,251.8905313,10.63027633
78,249.7315379,-26.84398505
79,153.668836,-24.35356047
80,3.509379008,-22.73151775
81,-144.1644586,-23.17291051
82,-193.7663451,-22.77008864
83,-251.0472409,-22.32139044
84,-345.2832113,-20.73076763
85,-344.1569868,61.82085126
86,-374.8688739,60.49976229
87,-375.1766333,53.48048454
88,-379.7615217,-64.24304526
89,-381.3955851,-136.5069263
90,-383.9461466,-209.7329182
91,-386.9165385,-296.3165641
92,-364.4168104,-358.0444786
93,-353.178658,-378.841122
94,-293.3071574,-416.1962156
95,-216.1066129,-468.4356392
96,-167.1205005,-503.4312775
97,-169.8661798,-512.3722085
98,-157.4026151,-519.0902268
99,-123.4943028,-537.3972475
100,-47.33123432,-581.6350461
101,96.80349468,-660.3021694
102,201.6156288,-717.3239919
103,260.6098904,-748.386552
104,270.9662401,-741.8525624
105,321.7873568,-782.6616268
106,442.6675381,-878.6445688
107,577.1037496,-985.5579832
108,623.8053936,-1022.454327
109,664.7591263,-1054.830445
110,661.770443,-1064.009215
111,688.8308271,-1086.833874
112,696.3937214,-1079.911377
113,776.2057491,-1142.120171
114,820.4737773,-1177.229113
115,812.3864632,-1190.465195
116,885.8691164,-1248.132276
117,997.5131294,-1335.622685
118,1111.210946,-1425.174746
119,1159.587314,-1462.991728
120,1168.834296,-1454.391766
121,1227.631507,-1499.969432
122,1288.612779,-1548.7589
123,1330.595556,-1580.555529
124,1389.140138,-1631.002209
125,1406.936349,-1645.922956
126,1411.299883,-1771.976211
127,1296.854542,-1903.166168
128,1300.542824,-1917.59605
129,1299.494246,-1923.504565
130,1295.563783,-1928.095482
131,1292.716888,-1929.728507
132,1287.043002,-1929.661062
133,1272.558469,-1928.784275
134,1265.988629,-1931.066688
135,1249.756756,-1938.255769
136,1245.03864,-1938.370632
137,1233.470706,-1933.499562
138,1222.446838,-1925.870311
139,1212.999435,-1921.978957
140,1204.603071,-1921.551189
141,1197.238821,-1923.461846
142,1190.030243,-1927.123057
143,1185.991183,-1925.459723
144,1179.600752,-1918.911204
145,1176.510288,-1913.666402
146,1175.387867,-1908.008826
147,1178.407664,-1901.291441
148,1191.675106,-1876.702363
149,1199.563079,-1854.380877
150,1203.052827,-1841.957553
151,1204.438945,-1828.573422
152,1204.134119,-1796.219292
153,1203.556811,-1778.390479
154,1203.967904,-1773.464288
155,1227.139094,-1751.600209
156,1233.14479,-1744.230716
157,1233.992845,-1738.912232
158,1232.671887,-1733.447373
159,1230.134117,-1728.417321
160,1211.696114,-1696.616758
161,1189.385902,-1679.67804
162,1148.538095,-1722.895319
163,1131.058595,-1707.50201
164,1128.93592,-1702.852773
165,1162.393896,-1666.160974
166,1165.197069,-1655.818393
167,1161.475524,-1650.502852
168,1153.413553,-1642.241443
169,1138.657317,-1632.025313
170,1122.530458,-1621.376773
171,1103.391549,-1614.979503
172,1087.324013,-1623.48412
173,1080.479105,-1624.822792
174,1073.80306,-1622.356928
175,1061.418908,-1611.168349
176,1074.293657,-1595.94579
177,1077.452313,-1587.911725
178,1071.930792,-1575.402636
179,1049.361416,-1558.551551
180,997.786594,-1520.020142
181,838.9422293,-1394.414337
182,753.1436902,-1324.834707
