,x [m],y [m]
0,2186.8329,-3995.17776
1,2168.237681,-3889.017298
2,2023.621007,-3739.656226
3,2037.19823,-3724.873705
4,2159.881635,-3852.483479
5,2248.773531,-3763.392797
6,2233.041322,-3736.192676
7,2186.139386,-3669.664478
8,2216.731603,-3646.219879
9,2239.293192,-3677.595585
10,2292.72144,-3635.372421
11,2207.094586,-3511.604931
12,2175.712032,-3531.663748
13,2168.685073,-3533.637392
14,2159.945275,-3526.804842
15,2136.31524,-3543.495036
16,2119.249714,-3519.762517
17,2133.444686,-3213.196605
18,2053.263185,-2999.247959
19,2026.271101,-2927.261804
20,1530.076015,-2424.663184
21,1653.828701,-2304.496495
22,1673.678227,-2325.084153
23,1996.859806,-2660.075587
24,2190.693314,-2432.672825
25,2233.502326,-2469.258961
26,2142.973842,-2578.878339
27,2017.112489,-2731.319804
28,2033.738951,-2746.281376
29,2025.495292,-2755.66953
30,2040.20748,-2769.30864
31,2048.348095,-2759.423845
32,2060.795258,-2770.622671
33,2396.019381,-2362.350687
34,2429.628392,-2388.786304
35,2380.859882,-2448.871802
36,2200.266156,-2671.316849
37,2250.259737,-2712.733324
38,2481.535854,-2428.447357
39,2530.186921,-2466.534326
40,2434.969461,-2585.951574
41,2297.018223,-2758.911086
42,2315.59234,-2794.713166
43,2121.919319,-2934.061291
44,2144.358077,-2966.209668
45,2337.430758,-2826.418667
46,2343.272312,-2834.345825
47,2263.662473,-2891.59432
48,2288.481134,-2929.101892
49,2322.094677,-2979.865322
50,2187.109991,-3079.975819
51,2175.505187,-3094.898877
52,2183.951137,-3106.998651
53,2206.959958,-3101.667687
54,2341.369427,-3010.37181
55,2359.004825,-3036.355245
56,2277.950293,-3108.938529
57,2259.29886,-3135.505431
58,2264.573864,-3140.989037
59,2291.843231,-3130.465957
60,2382.334622,-3058.625626
61,2415.138284,-3071.723614
62,2454.421918,-3130.804396
63,2483.805069,-3167.957195
64,2494.355631,-3177.820849
65,2502.877755,-3176.938637
66,2516.427999,-3178.714678
67,2531.906954,-3185.299784
68,2537.943915,-3189.437514
69,2579.03885,-3187.259252
70,2589.82266,-2948.767842
71,2605.93867,-2935.467752
72,2690.97462,-2865.344185
73,2876.12185,-2871.160592
74,2872.061988,-3020.378582
75,2878.503794,-3118.929811
76,3027.131392,-3157.090397
77,3007.438796,-3266.756912
78,3032.367169,-3280.727737
79,3042.4266,-3223.803842
80,3044.737307,-3220.354683
81,3049.062412,-3219.905161
82,3097.308733,-3235.472723
83,3099.615274,-3236.551424
84,3112.850973,-3242.658338
85,3123.853279,-3252.045213
86,3140.441414,-3268.289429
87,3171.098349,-3286.124294
88,3264.876541,-3339.853886
89,3245.36467,-3377.761801
90,3256.359968,-3383.236547
91,3287.245247,-3325.707676
92,3355.990999,-3368.162307
93,3347.716559,-3411.524139
94,3438.094456,-3418.388029
95,3438.603903,-3403.764112
96,3552.610026,-3411.354228
97,3555.406466,-3400.06634
98,3570.217522,-3403.671711
99,3603.412222,-3324.560928
100,3604.500498,-3306.327631
101,3619.640174,-3286.544051
102,3626.473439,-3290.526596
103,3620.67516,-3306.822744
104,3651.183922,-3318.379259
105,3669.78192,-3262.766275
106,3674.700096,-3246.150417
107,3682.744511,-3250.517091
108,3700.386426,-3260.108603
109,3755.521809,-3279.770509
110,3769.86987,-3282.41679
111,3774.161589,-3267.887002
112,3678.804709,-3233.923173
113,3683.307734,-3222.054075
114,3685.235709,-3214.052799
115,3588.400831,-3183.393721
116,3692.577985,-2691.105609
117,3694.676107,-2565.655764
118,3695.039093,-2543.419167
119,3677.337253,-2536.189296
120,3666.750676,-2554.144011
121,3630.159721,-2533.579673
122,3606.844814,-2561.939843
123,3596.559487,-2555.954548
124,3671.479182,-2447.368446
125,3653.941123,-2430.553621
126,3725.506248,-2348.636998
127,3620.050462,-2061.999322
128,3641.002676,-2056.209237
129,3582.406306,-1943.533603
130,3505.09182,-1990.653858
131,3316.152442,-2105.76387
132,3171.376572,-1867.398243
133,3203.160012,-1845.45526
134,3315.263838,-2026.22134
135,3491.618862,-1916.433982
136,3549.645898,-1880.2943
137,3460.318135,-1717.329761
138,3409.051766,-1620.560652
139,3425.401686,-1610.779585
140,3498.309704,-1563.369418
141,3460.120971,-1499.204984
142,3402.467429,-1513.594607
143,3376.544508,-1529.537082
144,3379.347623,-1567.441692
145,3372.583249,-1568.009749
146,3357.465467,-1512.234514
147,3220.229753,-1586.742026
148,3188.134126,-1531.046519
149,3184.213246,-1532.649317
150,3166.523838,-1539.819997
151,3145.599515,-1600.108762
152,3039.961039,-1667.8627
153,2956.606742,-1539.800266
154,3090.860112,-1446.451386
155,3195.30796,-1187.138761
156,3194.003097,-1182.525729
157,3191.707239,-1174.36873
158,3188.896431,-1167.151412
159,3183.617113,-1162.925991
160,3117.741387,-1063.620487
161,3093.636389,-1027.310564
162,2870.095961,-1172.396889
163,2769.364723,-1024.589755
164,2991.209422,-871.6361681
165,2964.253332,-833.6509483
166,2856.290922,-733.0925158
167,2776.62767,-658.8722846
168,2595.777727,-558.5294268
169,2651.282034,-468.6955783
170,2651.158363,-460.8009861
171,2643.955971,-456.855315
172,2635.44986,-464.4175015
173,2583.36426,-550.6897536
174,2546.702279,-530.0231985
175,2534.177978,-555.7589987
176,2456.450641,-507.5955556
177,2506.592746,-417.361135
178,2504.586167,-412.7202981
179,2500.307467,-410.4743613
180,2491.010261,-417.8827701
181,2442.959152,-496.9561034
182,2437.790105,-497.1379268
183,2429.767323,-490.4371481
184,2435.593223,-477.7700452
185,2373.926466,-444.2893978
186,2296.07696,-403.4007611
187,2236.987999,-521.6257367
188,2202.559001,-506.4650894
189,2184.032197,-545.4124375
190,2100.933316,-719.9859996
191,1922.413277,-629.5262028
192,1977.783274,-507.6262641
193,1923.576412,-446.9971536
194,1863.717622,-384.5402408
195,1812.877392,-333.0472967
196,1755.871163,-274.279324
197,1655.026603,-248.9755022
198,1654.969293,-265.2889828
199,1654.582248,-336.62521
200,1626.160539,-339.2324415
201,1615.445183,-333.5550175
202,1601.376535,-332.9894011
203,1587.831458,-192.6688484
204,1505.005027,-192.7296959
205,1502.572259,-303.898467
206,1510.331512,-305.4276221
207,1506.669032,-368.6638915
208,1493.671774,-369.1139552
209,1493.252753,-496.2853178
210,1438.431377,-495.4455612
211,1435.101689,-315.5382976
212,1432.48789,-307.6482583
213,1427.420197,-299.6956557
214,1424.05981,-298.7287708
215,1420.027167,-336.1126576
216,1418.619798,-349.32789
217,1404.935932,-350.0814566
218,1392.653786,-345.3788082
219,1380.883146,-334.5680742
220,1388.726118,-200.4621655
221,1363.491991,-194.7330616
222,1368.04572,-165.7956144
223,1108.799631,-103.0829916
224,1132.071294,240.0827853
225,1025.715845,253.5523591
226,767.1290203,286.3611564
227,727.867456,143.6140708
228,708.7644305,145.3511571
229,705.2376228,84.60764658
230,672.1911074,85.51806854
231,671.9496756,45.42408457
232,562.8682742,42.90713017
233,555.7528393,67.02538785
234,533.6095484,65.70159064
235,519.9728002,118.5507783
236,507.3285992,120.3323488
237,493.1344151,120.9979372
238,483.0376402,120.6942259
248,483.0376402,120.6942259
249,470.3384579,120.381866
250,468.2814292,127.3816183
251,338.5076683,112.226415
252,336.5530684,103.7118984
253,189.8954466,91.54744155
254,189.7726241,67.05003169
255,171.7590507,65.53978705
256,168.7270211,88.94556787
257,71.12711724,79.02190683
258,-4.910691335,190.8259281
259,-122.1968004,177.5035006
260,-131.9242151,176.1350416
261,-131.6866094,170.6422982
262,-148.5263276,173.0174013
263,-150.8910494,238.7245194
264,-215.190067,268.6370059
265,-265.8369305,290.0060602
266,-326.3757827,321.939559
267,-353.0367568,331.4713104
268,-361.4535202,334.4670649
269,-386.946574,340.0482941
270,-448.796746,355.6411254
271,-489.9621555,363.8292285
272,-549.7738693,372.3719989
273,-632.6090403,379.8695752
274,-679.8423548,375.1782235
275,-770.4913153,364.7003328
276,-774.7421156,363.1641322
277,-848.2589522,353.4107003
278,-897.581696,344.1372762
279,-940.3101417,334.2447696
280,-965.8724625,328.1807085
