,x [m],y [m]
0,-3169.000367,-3687.0395
1,-3329.751399,-3631.258849
2,-3264.788382,-3539.279558
3,-3156.549335,-3572.442134
4,-3151.870205,-3575.044168
5,-3147.435545,-3575.185981
6,-3144.754835,-3574.376861
7,-3140.963256,-3572.721796
8,-3137.296437,-3571.243902
9,-3135.310858,-3568.376147
10,-3133.190132,-3563.424565
11,-3126.113639,-3561.640958
12,-3123.43471,-3560.080474
13,-3120.960426,-3555.373706
14,-3119.176704,-3550.488824
15,-3115.397807,-3550.40228
16,-3111.801419,-3548.649903
17,-3108.953077,-3545.291525
18,-3104.445848,-3541.466668
19,-3102.163562,-3537.41493
20,-3100.095338,-3532.539176
21,-3094.340969,-3530.817285
22,-3090.760673,-3527.326436
23,-3088.275322,-3523.904582
24,-3089.403163,-3519.406761
25,-3092.841868,-3515.936309
26,-3097.10296,-3514.075169
27,-3103.373376,-3514.276014
28,-3105.207184,-3510.040841
29,-3107.052081,-3507.711839
30,-3110.224222,-3504.989576
31,-3113.12265,-3504.559912
32,-3118.400993,-3504.921934
33,-3122.495237,-3505.841656
34,-3122.918062,-3496.462153
35,-3124.416026,-3492.497374
36,-3131.023438,-3491.675545
37,-3129.535194,-3478.026456
38,-3131.460586,-3473.503504
39,-3134.519944,-3472.17308
40,-3139.570144,-3468.638311
41,-3140.369529,-3462.490568
42,-3143.640627,-3456.470841
43,-3149.778395,-3453.835997
44,-3155.797483,-3453.421543
45,-3157.77173,-3449.389178
46,-3159.958405,-3444.909668
47,-3165.5652,-3442.641135
48,-3169.697205,-3443.234658
49,-3175.239982,-3443.939345
50,-3180.101392,-3437.907813
51,-3187.055935,-3434.142444
52,-3191.416733,-3434.313983
53,-3201.29133,-3438.964985
54,-3204.925165,-3435.398615
55,-3210.774057,-3429.997062
56,-3218.096807,-3427.479699
57,-3219.970535,-3426.030891
58,-3221.044298,-3417.59144
59,-3227.046295,-3412.871848
60,-3233.199265,-3411.014453
61,-3235.155354,-3414.090498
62,-3236.924273,-3406.783495
63,-3236.504422,-3403.995296
64,-3237.492839,-3401.057787
65,-3237.572006,-3395.672305
66,-3240.376285,-3389.901482
67,-3248.756037,-3358.231025
68,-3252.25258,-3333.733066
69,-3257.055551,-3322.035595
70,-3264.046986,-3290.538478
71,-3266.759176,-3287.910336
72,-3267.077587,-3286.186893
73,-3265.190542,-3287.155648
74,-3260.672063,-3281.762628
75,-3258.310031,-3275.663039
76,-3259.160976,-3269.968869
77,-3261.835043,-3265.226211
78,-3263.28039,-3263.661793
79,-3258.959214,-3257.042775
80,-3256.533139,-3253.916422
81,-3255.65384,-3248.406639
82,-3257.465851,-3245.274587
83,-3248.69672,-3232.98665
84,-3249.059482,-3230.07013
85,-3252.216456,-3226.570394
86,-3254.919059,-3221.995847
87,-3257.842665,-3217.530478
88,-3259.239681,-3213.672092
89,-3263.905906,-3213.107728
90,-3266.859646,-3211.624722
91,-3270.34779,-3209.736536
92,-3275.228461,-3202.600936
93,-3279.948047,-3201.737415
94,-3286.336567,-3198.665382
95,-3288.738449,-3188.703489
96,-3299.1275,-3182.599149
97,-3298.152032,-3179.257676
98,-3297.538629,-3173.000166
99,-3299.098682,-3166.062151
100,-3302.290686,-3162.236755
101,-3300.710933,-3159.577269
102,-3297.465035,-3154.089697
103,-3295.114206,-3149.561005
104,-3294.218841,-3143.610916
105,-3294.757956,-3140.234386
106,-3291.546287,-3139.791568
107,-3288.549561,-3138.149733
108,-3285.188224,-3134.846517
109,-3281.970567,-3130.954538
110,-3281.101199,-3127.01383
111,-3280.832156,-3123.183205
112,-3278.508284,-3121.337671
113,-3274.800538,-3120.976145
114,-3271.647479,-3118.354532
115,-3269.152149,-3114.750365
116,-3267.315814,-3110.165473
117,-3266.610118,-3105.285613
118,-3266.464959,-3100.879931
119,-3261.669565,-3098.569704
120,-3257.926888,-3093.163911
121,-3258.880852,-3088.748643
122,-3259.76275,-3083.895354
123,-3256.935019,-3079.433325
124,-3253.930505,-3075.093705
125,-3252.996472,-3069.88403
126,-3255.722159,-3063.453987
127,-3253.532289,-3058.024515
128,-3251.593782,-3052.158782
129,-3252.496219,-3046.201891
130,-3254.121595,-3041.623119
131,-3257.855501,-3037.572519
132,-3236.002233,-3016.963047
133,-3191.933412,-2985.04249
134,-3177.506483,-2978.813114
135,-3157.455833,-2979.818912
136,-3035.929687,-2973.861289
137,-3038.900904,-2975.970867
138,-3040.481938,-2978.63217
139,-3040.824944,-2981.058641
140,-3041.607963,-2984.49688
141,-3042.653411,-2988.315665
142,-3041.611718,-2993.317446
143,-3038.09972,-2997.100857
144,-3032.895186,-3000.704647
145,-3028.892456,-3003.738476
146,-3028.632506,-3006.847366
147,-3028.08364,-3012.559433
148,-3026.667954,-3017.818828
149,-3023.196994,-3020.484443
150,-3018.439016,-3022.427435
151,-3011.745679,-3021.993667
152,-3005.760063,-3026.401863
153,-2999.778412,-3030.017987
154,-2994.320494,-3029.816802
155,-2986.519034,-3028.536538
156,-2979.898744,-3037.401123
157,-2971.330764,-3037.701806
