,x [m],y [m]
0,-1920.288749,-384.9096899
1,-1827.8161,-452.9264587
2,-1832.33651,-459.4779958
3,-1832.014115,-468.1790079
4,-1829.178832,-472.0374277
5,-1823.407925,-472.9217073
6,-1822.960305,-477.7291946
7,-1819.574636,-481.3754823
8,-1814.53568,-482.6139732
9,-1809.514633,-483.8708806
10,-1808.338523,-487.9292451
11,-1804.202699,-490.8487596
12,-1798.983856,-493.3638604
13,-1793.127514,-493.761814
14,-1784.248646,-504.5980533
15,-1773.866883,-515.7951167
16,-1762.910797,-528.6139006
17,-1752.456662,-543.8965781
18,-1740.546631,-558.3914024
19,-1732.167552,-574.2156175
20,-1720.564982,-591.6820216
21,-1714.848791,-601.2550402
22,-1707.486502,-620.0725684
23,-1701.347834,-633.3281462
24,-1696.20418,-641.6330436
25,-1676.297099,-669.3771209
26,-1655.718766,-703.6034104
27,-1645.117952,-729.2277903
28,-1637.45737,-754.9094593
29,-1637.511562,-763.2454112
30,-1640.106939,-774.1929273
31,-1648.41984,-786.9029009
32,-1655.350591,-792.9237931
33,-1659.787667,-794.8295351
34,-1665.363187,-793.3904923
35,-1674.418982,-795.1764526
36,-1678.457847,-797.8250824
37,-1685.356732,-795.4883517
38,-1689.754531,-797.7521749
39,-1691.734283,-801.6926901
40,-1696.307353,-804.8890607
41,-1697.516763,-809.8958829
42,-1694.852743,-815.4366371
43,-1699.578564,-820.2963054
44,-1703.744037,-826.8382874
45,-1704.222433,-831.8457058
46,-1701.365735,-836.0805748
47,-1703.906127,-838.6929165
48,-1706.642228,-841.5065111
49,-1706.342362,-849.8322201
50,-1704.633089,-853.6961626
51,-1698.819873,-856.0431558
52,-1697.638139,-861.9557993
53,-1694.585088,-865.9887538
54,-1690.471252,-868.532409
55,-1684.256149,-869.3137538
56,-1685.666001,-874.1282252
57,-1684.54466,-885.0631373
58,-1682.441775,-888.9207919
59,-1678.679435,-892.2243686
60,-1680.286888,-896.4897237
61,-1679.614962,-902.9712435
62,-1677.508104,-907.5787188
63,-1675.248498,-910.5229006
64,-1669.125315,-910.64805
65,-1669.429866,-914.7227918
66,-1667.705402,-917.4665529
67,-1662.482301,-920.020309
68,-1659.982127,-924.9756418
69,-1655.401134,-927.4373791
70,-1655.529295,-931.6861719
71,-1651.191227,-935.903934
72,-1650.188107,-940.5386596
73,-1648.108972,-943.2715464
74,-1642.863699,-946.2025678
75,-1644.472285,-950.1136523
76,-1643.602394,-957.4977548
77,-1643.150716,-963.0549757
78,-1642.172784,-966.5648187
79,-1637.438221,-971.8794826
80,-1642.204602,-974.9223919
81,-1644.871557,-981.4280411
82,-1644.574052,-988.6484275
83,-1645.229286,-993.4838498
84,-1642.949362,-997.5148869
85,-1637.704375,-1000.800045
86,-1642.120058,-1003.082258
87,-1643.912152,-1005.677421
88,-1643.992294,-1011.427683
89,-1643.919985,-1015.868799
90,-1643.141224,-1019.184982
91,-1640.486858,-1022.477129
92,-1643.372203,-1027.348886
93,-1642.526421,-1032.897719
94,-1639.868875,-1036.938909
95,-1636.151524,-1038.385652
96,-1634.799278,-1041.512173
97,-1631.793925,-1043.689486
98,-1627.525133,-1044.213734
99,-1626.128523,-1049.197732
100,-1623.516137,-1051.38067
101,-1621.409257,-1055.988123
102,-1617.470846,-1058.359924
103,-1617.225986,-1061.869693
104,-1614.059885,-1064.590984
105,-1613.412187,-1069.592791
106,-1610.955134,-1071.981685
107,-1606.512655,-1071.928856
108,-1607.371667,-1075.821449
109,-1606.567254,-1079.909791
110,-1602.254018,-1083.356146
111,-1602.179157,-1088.54695
112,-1599.497047,-1093.713666
113,-1604.399671,-1098.401302
114,-1602.334611,-1101.900976
115,-1601.844414,-1107.815464
116,-1599.736596,-1112.06811
117,-1595.047019,-1115.525937
118,-1599.464254,-1118.163589
119,-1602.729253,-1122.273374
120,-1601.725656,-1126.55536
121,-1594.776742,-1133.311488
122,-1590.821085,-1135.308523
123,-1584.744654,-1133.9309
124,-1581.71076,-1137.983555
125,-1577.99611,-1138.679169
126,-1573.706079,-1139.935483
127,-1569.465965,-1138.939967
128,-1566.952295,-1133.742728
129,-1566.149733,-1138.540656
130,-1561.462567,-1140.893214
131,-1557.702754,-1143.447076
132,-1551.958164,-1143.559883
133,-1551.68281,-1149.300016
134,-1547.571378,-1150.738394
135,-1544.91128,-1155.529273
136,-1540.044704,-1158.803495
137,-1535.514952,-1157.554765
138,-1532.836149,-1162.328003
139,-1529.095041,-1164.899507
140,-1522.373321,-1167.418419
141,-1516.895499,-1163.290078
142,-1512.224126,-1167.120467
143,-1514.514974,-1173.99167
144,-1514.05142,-1177.678211
145,-1510.529302,-1179.324123
146,-1508.937606,-1184.107508
147,-1503.88289,-1189.446794
148,-1500.478675,-1192.366326
149,-1495.879507,-1191.400057
150,-1492.621874,-1196.77189
151,-1490.820125,-1198.948449
152,-1478.611558,-1202.11139
153,-1475.98049,-1201.221236
154,-1474.393634,-1203.618774
155,-1471.266359,-1205.804598
156,-1467.047552,-1206.424875
157,-1459.117385,-1204.999482
158,-1450.501627,-1206.410689
159,-1449.586303,-1207.727974
160,-1446.383059,-1214.751215
161,-1444.133854,-1216.510679
162,-1438.390348,-1217.333879
163,-1429.405917,-1213.452027
164,-1420.486416,-1216.89868
165,-1416.100411,-1215.97469
166,-1412.869679,-1211.721627
167,-1411.00287,-1203.515669
168,-1408.200513,-1198.420038
169,-1410.118198,-1189.588693
170,-1418.692218,-1178.658928
171,-1416.295394,-1177.080419
172,-1417.402669,-1173.780089
173,-1419.76187,-1166.743223
174,-1426.223697,-1162.629351
175,-1428.11376,-1156.028136
176,-1435.107516,-1147.059587
177,-1443.738499,-1146.060913
178,-1450.066119,-1136.852055
179,-1453.15638,-1136.443603
180,-1453.476129,-1131.369142
181,-1460.455028,-1124.157715
182,-1465.774024,-1122.896388
183,-1467.166198,-1118.484814
184,-1473.893199,-1113.757428
185,-1477.303473,-1108.985658
186,-1481.26724,-1104.384588
187,-1481.962574,-1095.711641
