,x [m],y [m],,,,,,
0,4486.919803,-245.4565846,,,,,,
1,4474.418544,-245.0997681,,,,,,
2,4417.105542,-241.5544337,,,,,,
3,4379.732389,-239.2874536,,,,,,
4,4257.830967,-225.5703967,,,,,,
5,4190.18176,-219.4249646,,,,,,
6,4160.069438,-214.2903674,,,,,,
7,4150.900245,-213.1157666,,,,,,
8,4056.92311,-201.0770181,,,,,,
9,4039.484905,-200.1202522,,,,,,
10,4007.89198,-196.6948608,,,,,,
11,3996.607171,-196.4938751,,,,,,
12,3972.527401,-193.4091854,,,,,,
13,3923.340991,-185.2418737,,,,,,
14,3867.935482,-176.8368969,,,,,,
15,3812.369047,-164.6774102,,,,,,
16,3717.403946,-151.2361007,,,,,,
17,3671.226158,-144.075958,,,,,,
18,3634.360284,-133.0360689,,,,,,
19,3539.86406,-120.9308234,,,,,,
20,3479.945143,-113.2550331,,,,,,
21,3411.539686,-98.20619805,,,,,,
22,3396.214454,-95.58986703,,,,,,
23,3315.336111,-75.14658795,,,,,,
24,3282.219753,-63.9641469,,,,,,
25,3260.869942,-53.69864754,,,,,,
26,3267.320713,14.93238055,,,,,,
27,3162.077588,24.30626717,,,,,,
28,2996.602997,36.23148944,,,,,,
29,2903.649708,42.8804837,,,,,,
30,2873.094076,45.64198183,,,,,,
31,2867.192083,46.39804466,,,,,,
32,2864.278258,43.84738206,,,,,,
33,2855.945242,-64.81100725,,,,,,
34,2849.815495,-149.1670865,,,,,,
35,2846.265719,-163.8047685,,,,,,
36,2832.386787,-174.007116,,,,,,
37,2806.081286,-183.2729473,,,,,,
38,2775.6611,-190.7020674,,,,,,
39,2745.665927,-194.4528583,,,,,,
40,2704.621134,-201.176299,,,,,,
41,2683.918043,-201.044803,,,,,,
42,2402.262568,-164.9325368,,,,,,
43,2372.489518,-157.3218904,,,,,,
44,2336.65169,-152.7309588,,,,,,
45,2310.825981,-158.2605019,,,,,,
46,2298.92716,-163.0221217,,,,,,
47,2271.437857,-176.5222027,,,,,,
48,2255.412728,-189.0027352,,,,,,
49,2249.55356,-192.7332805,,,,,,
50,2232.386549,-192.3389075,,,,,,
51,2211.672066,-188.0049003,,,,,,
52,2189.925025,-185.6548292,,,,,,
53,2156.463546,-172.530422,,,,,,
54,2130.419064,-155.3148918,,,,,,
55,2105.668692,-137.6422651,,,,,,
56,2091.322483,-132.0403308,,,,,,
57,2006.190311,-120.4804043,,,,,,
58,1983.275863,-113.1254892,,,,,,
59,1964.844561,-105.101367,,,,,,
60,1944.463999,-97.44929468,,,,,,
61,1928.035103,-93.44582906,,,,,,
62,1909.574272,-90.45918644,,,,,,
63,1883.937669,-89.69569297,,,,,,
64,1854.657259,-92.88380332,,,,,,
65,1816.736547,-89.89355567,,,,,,
66,1778.756152,-87.54878599,,,,,,
67,1713.356733,-78.51780363,,,,,,
68,1694.445688,-74.2277353,,,,,,
69,1652.066358,-66.90106273,,,,,,
70,1623.510291,-59.44631559,,,,,,
71,1571.160175,-51.49547949,,,,,,
72,1490.431774,-39.87793334,,,,,,
73,1457.54624,-31.89993649,,,,,,
74,1426.294444,-25.9976136,,,,,,
75,1401.271091,-20.27141704,,,,,,
76,1394.482816,-18.03283617,,,,,,
77,1385.611106,-15.09157209,,,,,,
78,1366.174175,-10.08101271,,,,,,
79,1356.284985,-8.814178172,,,,,,
80,1345.415771,-5.554292123,,,,,,
81,1301.065453,10.86276265,,,,,,
82,1268.257392,14.44381642,,,,,,
83,1248.795798,14.44652061,,,,,,
84,1171.735266,25.56395433,,,,,,
85,1119.863813,37.2501029,,,,,,
86,1091.647159,47.18088112,,,,,,
87,1037.081649,57.31439131,,,,,,
88,1022.498102,61.08034187,,,,,,
89,1007.811247,64.20752337,,,,,,
90,983.4443586,69.87987242,,,,,,
91,952.6970121,75.06332998,,,,,,
92,930.0166297,79.24475345,,,,,,
93,848.5746343,90.30058964,,,,,,
94,840.7123491,92.55240323,,,,,,
95,788.2873854,99.9213195,,,,,,
96,753.4766713,107.5241819,,,,,,
97,685.5203282,116.2609581,,,,,,
98,637.3877636,127.4681441,,,,,,
99,575.7012899,135.9921193,,,,,,
100,548.9904568,143.2104865,,,,,,
101,537.7302588,148.4182139,,,,,,
102,533.8834309,152.7076345,,,,,,
103,529.9030957,160.7794206,,,,,,
104,528.9730771,173.3459953,,,,,,
105,523.2193472,175.264961,,,,,,
106,294.9895373,233.1015148,,,,,,
107,-37.74866501,319.7902544,,,,,,
108,-299.0714466,387.5896287,,,,,,
109,-346.4013909,399.8770128,,,,,,
110,-604.8294883,466.8709007,,,,,,
111,-612.960152,470.2471273,,,,,,
112,-617.6639292,473.7433796,,,,,,
113,-634.713734,498.1157855,,,,,,
114,-643.5143865,513.2466813,,,,,,
115,-645.5677485,524.0269163,,,,,,
116,-608.4319767,740.3705139,,,,,,
117,-606.0720771,768.6353565,,,,,,
118,-606.4214656,967.0627456,,,,,,
119,-670.2414867,1041.739249,,,,,,
120,-685.9973098,1060.312002,,,,,,
121,-815.7001825,1213.259858,,,,,,
122,-971.4811842,1396.278293,,,,,,
123,-980.6883549,1388.932424,,,,,,
124,-882.0143797,1273.661979,,,,500,-1017.803214,1431.68238
125,-773.0317964,1145.929782,,,,501,-995.3994084,1405.473583
