x [m],y [m]
-1590.974174,595.9001681
-1590.974174,-2019.018138
3022.980623,-2019.018138
3124.897877,-1427.267902
3092.271961,-1411.897437
3106.460374,-1371.092982
2996.394913,-1328.236349
2978.319816,-1370.989767
2806.939398,-1309.395865
2862.222016,-1249.670241
2884.943931,-1257.867868
2888.376479,-1249.590389
2909.500199,-1257.131277
2909.569695,-1258.679531
2913.132004,-1259.700197
2914.609737,-1260.149161
2915.610323,-1258.850689
2915.216566,-1258.087331
2915.601042,-1256.314051
2916.921264,-1255.146932
2917.894049,-1252.792245
2917.55588,-1251.95675
2916.467264,-1251.002824
2917.027772,-1249.365203
2912.274939,-1247.886956
2911.705163,-1249.172506
2909.759565,-1249.512745
2909.073987,-1251.858817
2909.347315,-1254.598946
2898.178613,-1250.705762
2900.41602,-1245.071523
2895.477887,-1243.105547
2893.615702,-1248.799003
2888.510803,-1247.049441
2890.025565,-1242.352986
2861.045288,-1231.171928
2859.243313,-1235.877004
2856.144239,-1234.983388
2858.3168,-1229.069204
2852.980277,-1227.256125
2851.150512,-1233.089557
2840.676656,-1229.386958
2841.844011,-1227.872069
2843.261509,-1224.940274
2842.552744,-1223.129314
2836.201724,-1220.99432
2834.992675,-1222.01717
2834.158859,-1225.283807
2834.872273,-1230.54766
2839.43519,-1232.454412
2840.037395,-1231.308826
2857.390366,-1237.553398
2855.977509,-1241.753512
2857.024432,-1242.215396
2855.134442,-1246.852642
2856.510268,-1247.79795
2800.694896,-1305.8483
2624.259817,-1238.980717
2632.533259,-1216.957158
2625.598442,-1179.534104
2633.621793,-1176.404068
2624.94987,-1130.858495
2617.005267,-1131.519706
2610.881232,-1095.411126
2603.121927,-1094.375484
2614.415742,-1141.251867
2603.654622,-1144.111711
2607.624625,-1169.361943
2614.517672,-1169.155103
2622.128835,-1216.987481
2613.216105,-1236.563772
2521.577231,-1199.286662
2525.473089,-1167.105698
2515.480943,-1124.911832
2522.633426,-1123.640124
2515.796025,-1084.452214
2508.59258,-1087.064397
2506.785949,-1079.578246
2505.150699,-1079.697792
2501.528202,-1057.819622
2503.339493,-1055.65114
2502.746551,-1052.779631
2499.605764,-1051.394
2498.00294,-1051.653514
2496.488124,-1054.165453
2497.030112,-1056.192842
2498.920139,-1058.109304
2499.605741,-1057.947787
2503.5942,-1079.533091
2499.781703,-1079.92939
2498.656034,-1075.382573
2500.170842,-1075.055229
2499.318486,-1071.063975
2492.619977,-1072.110652
2493.416744,-1076.174045
2496.765999,-1075.650706
2497.988948,-1080.617428
2495.380884,-1080.907111
2498.07692,-1098.161998
2500.879544,-1098.712125
2501.384474,-1101.515799
2497.655358,-1102.896186
2498.827356,-1107.018783
2505.007031,-1105.917206
2517.014257,-1162.42662
2425.718073,-1127.253481
2417.880043,-1095.917853
2426.778984,-1094.382285
2423.425151,-1076.160541
2415.429536,-1078.162293
2412.955857,-1064.988021
2414.002798,-1063.265297
2413.868465,-1061.437087
2411.533715,-1060.097745
2409.754854,-1060.221607
2408.365111,-1062.025091
2408.79592,-1064.196758
2410.667425,-1065.409061
2413.363462,-1078.294776
2403.97811,-1079.915418
2402.625463,-1072.204226
2404.404325,-1072.080363
2403.950361,-1067.936209
2397.506616,-1068.834325
2398.470151,-1072.681301
2400.911454,-1072.608026
2402.199248,-1080.039281
2400.054421,-1080.456012
2403.167356,-1102.631347
2409.435068,-1101.597573
2408.781904,-1097.529874
2413.70157,-1096.607033
2419.186324,-1123.714582
2416.527298,-1123.160155
2418.065255,-1131.359063
2433.074389,-1135.911989
2428.326109,-1148.809687
2452.641829,-1156.395406
2443.293539,-1172.531855
2143.633333,-1058.767418
2165.267464,-1002.657063
2170.020381,-1004.135201
2176.844171,-987.0876998
2178.650831,-988.0200557
2181.43039,-980.0438225
2202.772156,-988.2119946
2200.803312,-993.1336189
2211.508939,-996.8995439
2215.74774,-986.483489
2204.875345,-982.9339801
2203.865439,-986.0650346
2191.570873,-981.9944575
2191.695975,-979.1013794
2186.438129,-977.0041531
2185.817353,-979.6302279
2180.536341,-977.7451122
2179.373602,-976.1591814
2180.707792,-972.2432036
2179.484822,-971.6456791
2178.451749,-974.9888463
2162.279807,-968.8500794
2162.400229,-971.2424889
2156.424344,-969.1668255
2157.443516,-966.3878439
2152.769356,-964.6254544
2151.907692,-966.8359367
2138.876554,-962.0827795
2140.085664,-958.8752648
2138.464298,-958.430646
2138.834909,-957.2215052
2131.117212,-954.4934285
2130.769765,-955.49046
2129.403187,-954.8972489
2127.012749,-962.368517
2137.023521,-965.9438695
2137.950038,-964.0133245
2151.323982,-968.6857169
2150.907043,-970.3190759
2155.780402,-972.0050122
2156.350209,-970.7194205
2161.529305,-973.1008916
2158.768285,-979.596677
2165.096238,-981.9436542
2135.016898,-1059.026131
1995.546706,-996.6188673
1937.917976,-1021.887018
1908.732158,-1140.591424
1814.584548,-1430.798809
1786.724397,-1446.92786
1790.713087,-1464.143694
1670.080955,-1441.553299
1654.311618,-1381.915872
1663.655581,-1327.372745
1702.995359,-1332.39212
1709.555136,-1299.848988
1667.648943,-1293.42681
1677.979873,-1220.672348
1688.213205,-1221.774297
1709.852923,-1081.732202
1724.579803,-1083.192486
1723.013904,-1093.598814
1730.717832,-1094.70632
1734.91057,-1065.05287
1727.382682,-1064.081013
1725.404452,-1077.389061
1708.69485,-1074.860802
1716.84878,-1015.490287
1724.895511,-1016.517031
1723.380539,-1027.767514
1730.662894,-1029.240051
1734.990041,-999.2301297
1727.971744,-997.9610691
1725.970321,-1011.481263
1717.803147,-1010.246722
1747.380455,-801.4662725
1509.774389,-690.9159552
1214.831565,-1156.862703
1299.946896,-1150.357483
1349.020008,-1170.235173
1383.157462,-1199.300293
1377.839161,-1206.930105
1390.114788,-1337.003015
1321.533466,-1341.531094
1324.36855,-1361.882415
1316.474518,-1372.126584
1279.487589,-1375.705014
1265.052346,-1364.581783
1250.927434,-1366.345394
1249.370897,-1359.626987
1252.900971,-1358.32285
