,x [m],y [m]
0,1172.721929,-2491.979326
1,1170.468181,-2479.831768
2,1181.190988,-2478.997038
3,1188.926454,-2473.916366
4,1191.666179,-2464.588504
5,1207.087841,-2464.566447
6,1217.169011,-2457.693203
7,1217.058262,-2450.632862
8,1230.73635,-2451.61875
9,1238.938207,-2448.21261
10,1245.627962,-2441.618527
11,1246.670136,-2431.677485
12,1249.725018,-2431.128805
13,1258.066216,-2426.767615
14,1261.994084,-2418.786878
15,1259.874642,-2408.796193
16,1271.022439,-2404.200975
17,1273.824186,-2397.092115
18,1274.817048,-2383.363568
19,1280.740558,-2384.799869
20,1287.83262,-2382.239068
21,1293.677195,-2376.111289
22,1295.171021,-2369.337539
23,1306.722482,-2368.775192
24,1313.088891,-2365.711924
25,1317.715515,-2359.830176
26,1320.112908,-2348.687969
27,1325.37021,-2346.470515
28,1330.319356,-2342.389394
29,1330.869242,-2333.159012
30,1327.472999,-2326.564707
31,1340.733367,-2325.046099
32,1344.592499,-2321.824013
33,1348.611468,-2316.609533
34,1351.69145,-2307.967355
35,1362.582025,-2313.480965
36,1367.8281,-2311.782856
37,1376.040164,-2307.144378
38,1381.738203,-2297.911905
39,1390.738408,-2298.849772
40,1397.651611,-2297.178814
41,1403.694894,-2292.315851
42,1406.632546,-2284.213068
43,1422.633813,-2280.837637
44,1427.778077,-2274.376318
45,1428.256704,-2268.061977
46,1441.3613,-2266.097611
47,1449.62276,-2259.541643
48,1452.287738,-2255.192633
49,1457.37357,-2253.68362
50,1464.978477,-2250.426394
51,1470.538738,-2244.665359
52,1476.688532,-2234.318418
53,1485.254964,-2238.862016
54,1493.593355,-2239.793052
55,1500.853225,-2234.683115
56,1506.543559,-2236.332347
57,1507.647804,-2236.459013
58,1513.564751,-2237.06495
59,1519.469732,-2243.856928
60,1529.762144,-2245.239484
61,1534.931476,-2252.046491
62,1538.022244,-2257.865662
63,1546.06108,-2258.851485
64,1544.376702,-2265.270278
65,1541.383809,-2271.269584
66,1539.549336,-2275.555713
67,1542.419216,-2284.000799
68,1539.782786,-2288.143861
69,1536.50054,-2292.966963
70,1540.046821,-2297.037672
71,1544.7715,-2298.694047
72,1551.077845,-2298.78164
73,1556.490819,-2297.723514
74,1558.091615,-2294.027062
75,1568.522659,-2294.454076
76,1577.276673,-2288.61491
77,1581.87405,-2289.657369
78,1586.18714,-2291.067942
79,1592.44299,-2298.027186
80,1599.58387,-2299.217054
81,1607.21773,-2299.696742
82,1617.414718,-2305.707288
83,1624.281068,-2308.846626
84,1633.877573,-2314.967146
85,1642.159353,-2313.75456
86,1648.022814,-2318.341732
87,1656.574005,-2317.917152
88,1662.59211,-2311.873038
89,1672.003993,-2315.197683
90,1677.020224,-2311.313042
91,1683.163559,-2305.843565
92,1687.26684,-2296.520519
93,1696.250527,-2294.631592
94,1701.428838,-2290.219878
95,1702.67842,-2281.32261
96,1706.896301,-2279.850548
97,1714.115719,-2270.771369
98,1722.824711,-2269.443717
99,1729.19379,-2259.285109
100,1737.984341,-2257.338137
101,1740.155268,-2251.895547
102,1740.292029,-2245.570202
103,1742.140073,-2242.231472
104,1744.724905,-2240.681521
105,1751.092106,-2237.61745
106,1751.859133,-2229.626802
107,1755.134701,-2226.074975
