,x [m],y [m]
296,49.73575883,-2335.894214
297,63.57641276,-2339.206743
298,86.26897842,-2265.230357
299,201.5106993,-2162.859578
300,231.1254772,-2136.061256
301,491.2326451,-1900.773342
302,770.9516068,-1650.462958
303,916.466169,-1518.388381
304,996.2552921,-1521.387282
305,998.8298922,-1507.761252
291,913.395399,-1505.08233
292,566.2987973,-1815.703098
293,546.5380465,-1833.476249
294,349.5280427,-2010.601791
295,77.26760689,-2251.680096
296,49.73575883,-2335.894214
0,-1037.857947,-2417.913275
1,-990.2062494,-2287.505833
2,-971.0806295,-2242.759764
3,-954.3117428,-2203.525992
4,-951.1908458,-2202.78803
5,-939.528772,-2198.241352
6,-934.3207372,-2194.54382
7,-929.354392,-2188.877227
8,-916.2181141,-2157.041643
9,-914.6233703,-2133.105787
10,-919.923044,-2119.806299
11,-928.0036377,-2112.520083
12,-942.5469413,-2106.061007
13,-978.6285074,-2100.245682
14,-981.5257715,-2088.830167
15,-979.105974,-2072.753431
16,-963.2854688,-2055.171874
17,-907.6476967,-2028.676554
18,-918.4630969,-2073.960386
19,-911.1597575,-2081.926992
20,-904.7143962,-2079.779063
21,-880.9955014,-2017.199913
22,-358.6577414,-1784.99683
23,-174.0656908,-1703.053454
24,-200.7726928,-1646.864318
25,-221.2932806,-1603.6897
26,-797.9060425,-1678.302561
27,-875.92384,-1502.672024
28,-698.0481827,-1462.560712
29,-477.1042453,-1412.710402
30,-140.6538228,-1332.682975
31,-133.4379513,-1330.74233
32,-81.28105817,-1190.709155
33,-79.53677349,-1181.334784
34,-83.79696503,-1171.557245
35,-331.5397519,-1211.170036
36,-333.8760202,-1211.471721
37,-411.9904494,-1221.385924
38,-905.5288702,-1287.028754
39,-893.3054371,-1375.519957
40,-1019.934827,-1396.458416
41,-1022.933248,-1379.019516
42,-1078.478038,-1385.166092
43,-1085.395031,-1375.196589
44,-1094.022717,-1375.803877
45,-1095.851167,-1353.738703
46,-1031.22085,-1344.314249
47,-1033.027883,-1317.252019
48,-1029.991124,-1305.109747
49,-1027.943308,-1294.380408
50,-1002.271441,-1041.121712
51,-1011.738919,-1040.611256
52,-1010.672041,-1009.404361
53,-1009.197072,-994.3887361
54,-1007.197883,-942.2854074
55,-1007.016536,-918.2921479
56,-922.687016,-910.458747
57,-904.0519292,-1009.979888
58,-900.9203607,-1021.539959
59,-901.2809991,-1023.751859
60,-891.2173262,-1030.479107
61,-832.4310926,-1019.273492
62,15.14025155,-857.6842397
63,65.62398296,-727.4032634
64,135.9276155,-545.8186234
65,140.0699238,-528.6058379
66,-495.6112959,-525.6263909
67,-551.2436671,-379.7732234
68,-533.7894224,-324.712914
69,-522.1777362,-242.0467864
70,-366.7231681,-258.9692204
71,-345.9200027,-257.5165849
72,-64.96500291,-255.8082326
73,13.25699628,-255.3201249
74,18.20210216,-254.650983
75,87.23209776,-14.36104698
76,88.06872254,-7.111781458
77,-169.0733069,-4.354701436
78,-173.537634,-12.56690229
79,-315.3806903,-19.23318542
80,-450.3863678,-0.823408002
81,-505.5868008,9.807779387
82,-492.4301387,70.89040078
83,-478.5842622,143.0905337
84,-455.9063088,143.3073218
85,-428.1401116,237.3930155
86,-448.6683621,253.853951
87,-395.2677694,364.920343
88,-378.1856328,398.8949053
89,-264.4172549,534.2132099
90,-202.5629653,607.5699047
91,-198.4842167,612.424836
