,x [m],y [m]
0,2982.207756,-1386.606882
1,2945.009081,-1372.377191
2,2852.733556,-1337.129613
3,2849.609746,-1337.087317
4,2798.822837,-1316.823062
5,2788.489353,-1312.7872
6,2760.966777,-1303.395493
7,2731.96931,-1292.833862
8,2699.484574,-1279.615873
9,2617.695281,-1247.246537
10,2560.417064,-1225.14221
11,2509.874678,-1206.63417
12,2500.543639,-1203.37096
13,2495.688467,-1202.440591
14,2484.587598,-1198.388381
15,2464.645562,-1191.196393
16,2450.406294,-1185.653506
17,2445.916709,-1184.044817
18,2435.686173,-1180.887548
19,2430.196718,-1179.819078
20,2400.685026,-1168.861598
21,2397.459586,-1167.940817
22,2396.457077,-1167.168248
23,2385.269051,-1160.143416
24,2381.657262,-1159.724004
25,2379.652244,-1158.178867
26,2375.05351,-1156.966689
27,2374.281371,-1157.968703
28,2211.98337,-1095.815401
29,2208.999599,-1093.516018
30,2163.561404,-1076.578229
31,2162.173652,-1076.305595
32,2125.681287,-1063.130907
33,2007.99254,-1021.974898
34,1874.578395,-912.0729771
35,1741.140782,-802.1505371
36,1696.480724,-781.1172245
37,1569.111623,-719.8548618
38,1509.07487,-690.9644587
39,1499.540532,-706.4229983
40,1491.17107,-717.2841379
41,1476.530234,-741.3901754
42,1467.633386,-755.0092455
43,1463.835303,-759.938059
44,1451.644437,-778.8421821
45,1447.088628,-784.7543049
46,1419.202291,-830.1470889
47,1405.112395,-851.5156034
48,1373.348526,-900.9790846
49,1373.940595,-902.2333114
50,1359.181546,-925.4823853
51,1352.726145,-933.8596285
52,1341.371169,-952.6420465
53,1339.085761,-955.6078441
54,1325.982851,-977.7690729
55,1312.263226,-998.657083
56,1306.935243,-1005.571264
57,1300.443199,-1017.079965
58,1288.897539,-1034.087273
59,1286.084994,-1039.808859
60,1275.652298,-1055.371862
61,1265.850457,-1072.187914
62,1265.464089,-1072.689307
63,1266.095499,-1073.941635
64,1233.5349,-1124.388068
65,1231.799838,-1124.617114
66,1219.326237,-1144.900337
67,1216.284775,-1148.847275
68,1213.220902,-1155.909022
69,1230.231819,-1153.303891
70,1270.683234,-1149.052584
71,1283.15963,-1149.246223
72,1295.676463,-1149.436538
73,1303.39875,-1150.691345
74,1304.927536,-1148.707423
75,1318.283018,-1151.909154
76,1324.245598,-1153.374015
77,1330.840795,-1156.09328
78,1365.47872,-1178.854499
79,1380.202934,-1192.564664
80,1378.384763,-1199.02022
81,1376.61341,-1202.38209
82,1376.566038,-1205.476497
83,1375.03726,-1207.460408
84,1378.229868,-1272.040743
