,x [m],y [m]
25,-1305.069212,-141.9722061
26,-1305.0807,-142.7722151
27,-1305.033675,-153.9770236
28,-1301.137018,-1087.518782
29,-1300.815382,-1391.975929
30,-1299.215048,-1397.391707
31,-947.8435116,-1398.430026
32,-900.4851775,-1398.565771
33,-554.9685206,-1398.941885
34,-270.4146706,-1400.270079
35,-152.4647976,-1400.594525
36,-98.58437822,-1400.614828
37,-24.82798271,-1400.622804
38,62.40559652,-1400.521098
64,301.4203865,-1401.987601
65,366.0793827,-1402.21327
66,1134.680294,-1404.77444
67,1376.295137,-1404.214104
1,2043.648484,-1405.515371
2,2140.654981,-1405.323835
3,2312.019259,-1404.985009
4,2467.423064,-1404.679216
5,2573.378933,-1405.064747
6,2578.637752,-1399.772459
7,2862.265898,-1114.332303
8,2982.578578,-993.1938592
9,3086.658015,-888.4165624
10,3083.69009,-418.9317495
11,3081.636029,-85.21584843
12,3055.778852,-56.27006703
13,3037.139631,-56.27034347
14,2967.759294,-55.29814921
15,2950.784241,-55.93829608
16,2929.382345,-94.28081488
17,2928.042042,-140.1275383
18,2917.407507,-154.0225004
19,2564.851945,-148.5009889
20,2562.869542,-148.4791414
21,2202.042689,-231.2769879
22,1685.271715,-228.5411853
23,1615.141899,-156.1287645
24,1594.548501,-157.0766499
68,1594.548501,-157.0766499
69,1580.616928,-157.7530383
70,1507.499052,-228.3628989
71,1090.293277,-228.0892104
72,285.028108,-221.458047
39,285.028108,-221.458047
40,-230.0486222,-220.2099669
41,-293.1646547,-218.4159748
42,-295.3761489,-96.12609479
43,-253.5140872,-93.72497021
44,-254.8853303,-45.62432892
45,-290.8017802,-46.54805538
46,-290.7513248,-34.5136388
47,-231.1038364,-33.27690653
48,-16.34837733,-28.76822569
49,-17.70264428,-15.68509446
50,-316.7333438,-23.06304435
51,-317.9234642,-28.75385979
52,-489.8179002,-28.54112456
53,-488.6797068,-41.59905006
54,-316.4628365,-40.87579526
55,-303.7566072,-58.54858611
56,-304.0755819,-156.5126375
57,-304.2608312,-218.1460802
58,-540.2269565,-217.5480806
59,-890.4882256,-139.870248
60,-1042.52832,-139.8643139
61,-1243.181979,-141.4525942
62,-1305.055068,-141.9721916
,-1305.069212,-141.9722061
