,x [m],y [m]
183,1649.784442,1243.206355
184,1469.049721,913.4477017
185,1460.917787,898.9695305
186,1390.392714,773.2712869
187,1261.096493,542.9155269
188,1287.542406,528.4255734
189,1171.109619,317.7178237
190,1141.583459,330.8025687
191,1069.238131,196.7393791
192,997.006955,78.3970791
193,1002.823277,-26.84155473
194,1067.034585,-118.3497202
195,1107.41762,-166.5141923
196,1153.286376,-232.9283138
197,1399.259113,-580.2632393
198,1438.914643,-635.3895247
199,1478.716427,-690.7273319
200,1552.609487,-795.5147096
201,1630.702668,-906.5964664
202,1651.061407,-910.4131946
203,1676.989058,-915.2522271
0,1791.225733,-1611.350204
1,1788.490774,-1607.748736
2,1784.164577,-1606.388678
3,1775.501761,-1608.597675
4,1765.992894,-1612.70727
5,1760.286388,-1610.716034
6,1745.588382,-1592.828059
7,1734.013553,-1579.790166
8,1727.687865,-1576.829767
9,1721.530909,-1577.9942
10,1712.646112,-1583.076943
11,1684.676554,-1605.712654
12,1671.197278,-1614.388001
13,1662.479174,-1616.081602
14,1654.231107,-1612.286435
15,1648.482786,-1604.858448
16,1643.48527,-1597.089954
17,1639.614622,-1595.163445
18,1634.261832,-1596.505701
19,1630.83643,-1601.271101
20,1632.291288,-1615.113149
21,1631.565151,-1620.631583
22,1628.450105,-1618.367687
23,1624.999918,-1610.438207
24,1622.540646,-1592.036182
25,1623.270099,-1586.517399
26,1627.049974,-1580.1601
27,1632.80152,-1575.149079
28,1634.418976,-1570.573889
29,1628.034464,-1531.622036
30,1624.939585,-1512.743046
31,1627.1227,-1508.627765
32,1635.882694,-1504.855796
33,1664.48668,-1498.217129
34,1674.138958,-1497.980822
35,1685.36756,-1502.760091
36,1698.46104,-1507.858955
37,1708.607834,-1507.310007
38,1715.45756,-1505.295419
39,1723.388978,-1501.092125
40,1735.946048,-1488.628317
41,1741.063817,-1480.053616
42,1742.842257,-1472.088108
43,1738.94257,-1462.39075
44,1733.058252,-1453.679467
45,1724.148483,-1446.065556
46,1710.715319,-1440.222381
47,1695.953507,-1439.182769
48,1678.41604,-1441.553395
49,1664.766628,-1446.101192
50,1637.507173,-1458.037643
51,1624.460931,-1458.373971
52,1615.684757,-1452.04176
