,x [m],y [m]
0,2249.55356,-192.7332805
1,2232.386549,-192.3389075
2,2211.672066,-188.0049003
3,2189.925025,-185.6548292
4,2156.463546,-172.530422
5,2130.419064,-155.3148918
6,2105.668692,-137.6422651
7,2091.322483,-132.0403308
8,2006.190311,-120.4804043
9,1983.275863,-113.1254892
10,1964.844561,-105.101367
11,1944.463999,-97.44929468
12,1928.035103,-93.44582906
13,1909.574272,-90.45918644
14,1883.937669,-89.69569297
15,1854.657259,-92.88380332
16,1816.736547,-89.89355567
17,1778.756152,-87.54878599
18,1713.356733,-78.51780363
19,1694.445688,-74.2277353
20,1652.066358,-66.90106273
21,1623.510291,-59.44631559
22,1571.160175,-51.49547949
23,1490.431774,-39.87793334
24,1457.54624,-31.89993649
25,1426.294444,-25.9976136
26,1401.271091,-20.27141704
27,1394.482816,-18.03283617
28,1385.611106,-15.09157209
29,1366.174175,-10.08101271
30,1356.284985,-8.814178172
31,1345.415771,-5.554292123
32,1301.065453,10.86276265
33,1268.257392,14.44381642
34,1248.795798,14.44652061
35,1171.735266,25.56395433
36,1119.863813,37.2501029
37,1091.647159,47.18088112
38,1037.081649,57.31439131
39,1022.498102,61.08034187
40,1007.811247,64.20752337
41,983.4443586,69.87987242
42,952.6970121,75.06332998
43,930.0166297,79.24475345
44,848.5746343,90.30058964
45,840.7123491,92.55240323
46,788.2873854,99.9213195
47,753.4766713,107.5241819
48,685.5203282,116.2609581
49,637.3877636,127.4681441
50,575.7012899,135.9921193
51,548.9904568,143.2104865
52,537.7302588,148.4182139
53,533.8834309,152.7076345
54,529.9030957,160.7794206
55,528.9730771,173.3459953
56,523.2193472,175.264961
57,294.9895373,233.1015148
58,-37.74866501,319.7902544
59,-299.0714466,387.5896287
60,-346.4013909,399.8770128
61,-604.8294883,466.8709007
62,-612.960152,470.2471273
63,-617.6639292,473.7433796
64,-634.713734,498.1157855
65,-643.5143865,513.2466813
66,-645.5677485,524.0269163
67,-608.4319767,740.3705139
68,-606.0720771,768.6353565
69,-606.4214656,967.0627456
70,-670.2414867,1041.739249
71,-685.9973098,1060.312002
72,-815.7001825,1213.259858
73,-971.4811842,1396.278293
74,-980.6883549,1388.932424
316,-995.3994084,1405.473583
317,-987.182367,1412.605725
318,-1008.180038,1439.786041
319,-1017.803214,1431.68238
320,-1258.829072,2008.850967
321,-1216.656507,1876.078245
322,-1215.428902,1871.719933
323,-1179.997875,1745.663168
324,-1129.403785,1581.035279
325,-1125.901762,1564.559927
326,-1122.791613,1555.416598
327,-1114.963893,1546.261563
328,-1033.339823,1450.010837
329,-1024.427805,1457.021462
330,-1112.499575,1560.509523
331,-1213.090169,1903.940957
332,-1244.357368,2012.972675
333,-1258.829072,2008.850967
334,-1348.045061,2213.839622
335,-1193.946583,2053.503949
336,-1163.762159,2021.878925
337,-1146.222727,2039.765753
338,-1190.125739,2083.355045
339,-1329.61642,2232.234296
340,-1348.045061,2213.839622
75,-882.0143797,1273.661979
76,-773.0317964,1145.929782
77,-670.4789864,1024.872483
78,-660.5905268,1013.398867
79,-615.9454906,961.5297505
80,-615.1215681,833.680859
81,-614.0687332,781.6400314
82,-615.0407028,757.2427238
83,-649.5540018,555.1279464
84,-665.5175754,557.7633152
85,-673.1010598,510.3453861
86,-635.6338311,460.8902225
87,-623.6108148,447.681197
88,-605.715338,446.5392616
89,-594.9780368,443.140555
90,-574.8157652,419.8325192
91,-478.6136563,309.4842013
92,-386.3743847,203.2541985
93,-369.7553138,184.1037046
94,-235.2135229,25.09028497
95,-147.3812581,26.9392725
96,-146.8869714,34.189144
97,-16.25007895,35.25430895
98,-16.54459724,19.54649521
99,12.22572062,19.65644282
100,13.3548424,35.25846166
101,74.41438856,36.14897483
102,91.56015782,-17.67333505
103,114.05394,-86.74438766
104,112.6041381,-118.0822367
105,108.6098165,-129.239394
106,42.41986201,-129.7852449
107,-72.97759061,-129.8462069
108,-80.34792705,-129.8352387
109,-83.66444978,-132.3051871
110,21.45495486,-256.616327
111,12.45705741,-263.056931
112,8.260323939,-259.0027565
113,-4.180337554,-269.079033
114,13.43382835,-288.8555264
115,24.18458511,-278.5627682
116,22.93790057,-274.8865037
117,30.94312434,-266.0165589
118,62.37597488,-302.1269131
119,149.4250666,-373.4002524
120,154.0539751,-377.4773016
121,155.2988505,-381.1544546
122,153.0718454,-411.7698656
123,193.5033853,-444.6448398
124,197.566966,-446.3472924
125,222.9713438,-439.0833547
126,312.7272503,-512.4466014
127,469.0935867,-642.1709763
128,461.7716621,-652.3125903
129,454.1932323,-647.8554581
130,447.5946123,-655.7550649
131,469.3081435,-673.7231549
132,476.1296834,-664.0775804
133,476.0374145,-663.9100415
134,473.6936788,-659.6888203
135,480.4186173,-650.6234993
136,550.1098023,-709.746434
137,542.3841577,-719.8352099
138,534.7813153,-715.3760707
139,530.1895799,-721.1981009
140,552.3342058,-739.1900474
141,557.5228053,-732.292829
142,554.0109194,-729.5082815
143,561.8855848,-718.2566996
144,632.9163912,-776.9283678
145,625.6699063,-786.4870174
146,619.9134515,-784.5990705
147,614.1484802,-792.6043499
148,634.9177906,-808.1168178
149,640.6640224,-800.0777699
150,637.7991439,-795.6340698
151,646.1727719,-783.885146
152,795.0598163,-881.720457
153,787.6253918,-895.9534874
154,779.6454058,-891.4157874
155,773.7530744,-900.5877678
156,789.8749114,-911.9883201
157,805.8451858,-887.7703035
158,888.3918271,-940.3552908
159,880.7982214,-952.7945256
160,871.1765213,-947.4852566
161,864.8568108,-956.6024886
