,date (JST),time (JST),latitude [deg],longitude [deg],GPS deg [deg],gyro deg [deg],GPS speed [knot],log speed [knot],wind dir [deg],wind sped [knot],t [s],p_x [m],p_y [m],GPS deg [rad],gyro deg [rad],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s]
0,2021/01/28,06:46:00,34.60155833333334,135.36448666666666,9.8,25.5,2.3,2.1,39.1,5.0,0.0,2782.2596000001417,-5757.229654916941,0.1710422666954443,0.44505895925855404,1.1832222222222222,0.27401669256310973,15.7,1.1390782675217304,-0.32018046102188574
1,2021/01/28,06:47:00,34.60235333333333,135.36495166666666,34.9,41.7,3.8,4.0,41.7,5.4,60.0,2870.599999999758,-5714.664583746665,0.609119908946021,0.7278022980816354,1.9548888888888887,0.11868238913561448,6.800000000000004,1.9411372388473789,-0.23146660204273095
2,2021/01/28,06:48:00,34.60313,135.36581,46.7,50.1,3.9,4.0,52.9,4.8,120.0,2956.9031999997806,-5636.119153077886,0.8150687606813519,0.8744099552491591,2.0063333333333335,0.05934119456780717,3.399999999999998,2.002801841424381,-0.11898835418457095
3,2021/01/28,06:49:00,34.60384,135.36684666666667,52.3,52.5,4.0,4.1,53.9,4.6,180.0,3035.798399999557,-5541.263158750406,0.9128071987930343,0.9162978572970231,2.057777777777778,0.003490658503988775,0.20000000000000664,2.0577652410913645,-0.007182984912216185
4,2021/01/28,06:50:00,34.604575,135.368055,54.7,55.4,5.0,5.3,47.5,4.6,240.0,3117.471599999426,-5430.703548479019,0.9546951008408983,0.9669124056048586,2.5722222222222224,0.012217304763960324,0.700000000000001,2.572030256404385,-0.031424841037330266
5,2021/01/28,06:51:00,34.605421666666665,135.369625,58.3,59.8,6.1,6.1,37.5,5.3,300.0,3211.5531999995487,-5287.057211131871,1.017526953912694,1.043706892692609,3.138111111111111,0.02617993877991487,1.4999999999999958,3.137035758809407,-0.0821461723399177
6,2021/01/28,06:52:00,34.60625,135.371595,68.9,76.4,6.7,7.1,42.0,5.3,360.0,3303.597600000078,-5106.822345883525,1.202531854624093,1.3334315485236679,3.4467777777777777,0.1308996938995748,7.500000000000004,3.417290116075219,-0.4498947787620247
7,2021/01/28,06:53:00,34.60655833333333,135.37388833333333,86.3,87.1,7.1,7.5,49.5,4.6,420.0,3337.8595999996364,-4897.027385290063,1.5062191444711064,1.520181778487061,3.6525555555555553,0.013962634015954656,0.8000000000000012,3.6521995190842063,-0.05099763936541368
8,2021/01/28,06:54:00,34.60664833333333,135.37629833333332,88.2,88.8,7.5,7.9,61.0,4.5,480.0,3347.860399999652,-4676.567143085527,1.5393804002589988,1.5498523757709646,3.8583333333333334,0.01047197551196577,0.5999999999999881,3.8581217784686013,-0.04040363371518089
9,2021/01/28,06:55:00,34.60668,135.37890666666667,89.7,90.1,7.7,7.7,41.0,4.4,540.0,3351.3791999994532,-4437.965932655273,1.5655603390389137,1.5725416560468908,3.961222222222222,0.006981317007977106,0.39999999999998787,3.961125690030892,-0.027654323431402193
10,2021/01/28,06:56:00,34.60666166666667,135.38148833333332,90.3,89.6,7.8,8.0,46.3,4.6,600.0,3349.3419999998596,-4201.805441699888,1.5760323145508794,1.5638150097869192,4.012666666666667,-0.012217304763960213,-0.6999999999999946,4.012367199990841,0.04902275201823477
11,2021/01/28,06:57:00,34.60666333333333,135.384205,90.6,90.8,8.3,8.1,45.2,4.3,660.0,3349.5271999993915,-3953.2951382495307,1.5812683023068625,1.5847589608108512,4.2698888888888895,0.003490658503988664,0.2000000000000003,4.2698628752645815,-0.014904693692848112
12,2021/01/28,06:58:00,34.60660166666667,135.38710833333334,92.4,92.8,8.6,9.4,40.5,3.8,720.0,3342.674800000112,-3687.7106941908273,1.6126842288427605,1.6196655458507379,4.424222222222222,0.006981317007977328,0.4000000000000006,4.42411440704749,-0.030886646949359275
13,2021/01/28,06:59:00,34.60641833333333,135.39004166666666,96.2,96.0,8.8,9.6,58.9,3.5,780.0,3322.3027999994356,-3419.384270166089,1.6790067404185451,1.6755160819145565,4.527111111111112,-0.003490658503988664,-0.2000000000000003,4.527083530401002,0.015802566806875105
14,2021/01/28,07:00:00,34.606095,135.39295166666668,101.1,103.1,8.9,9.5,25.5,2.6,840.0,3286.374000000138,-3153.1943606699824,1.764527873766267,1.7994344588061537,4.578555555555555,0.03490658503988664,2.0000000000000027,4.575766423219542,-0.1597892845133288
15,2021/01/28,07:01:00,34.60528333333333,135.39595666666668,114.8,117.4,9.5,10.3,49.5,3.4,900.0,3196.1815999996697,-2878.3215930617694,2.0036379812894904,2.049016541841343,4.887222222222222,0.04537856055185241,2.5999999999999908,4.882191168027177,-0.22169900365169118
16,2021/01/28,07:02:00,34.603991666666666,135.398875,117.9,118.1,10.0,10.6,39.1,4.4,960.0,3052.651599999641,-2611.381723401291,2.057743188101315,2.0612338466053033,5.144444444444445,0.003490658503988442,0.19999999999998755,5.144413102728411,-0.01795746228053875
17,2021/01/28,07:03:00,34.602603333333334,135.40187833333334,119.8,118.8,10.3,11.1,24.0,3.3,1020.0,2898.3799999998882,-2336.663401614083,2.090904443889207,2.0734511513692633,5.2987777777777785,-0.017453292519943542,-1.0000000000000142,5.297970748257017,0.09247642339862502
18,2021/01/28,07:04:00,34.601166666666664,135.40492666666665,120.0,118.8,10.4,11.3,31.6,3.8,1080.0,2738.7375999994865,-2057.8245235579134,2.0943951023931953,2.0734511513692633,5.350222222222222,-0.020943951023931984,-1.2000000000000017,5.34904883007564,0.11204660024704509
19,2021/01/28,07:05:00,34.59969,135.40799666666666,120.2,118.1,10.6,11.7,94.4,1.9,1140.0,2574.6504000000396,-1776.9991837574541,2.097885760897184,2.0612338466053033,5.453111111111111,-0.03665191429188086,-2.0999999999999965,5.449448767763211,0.19982221510004064
20,2021/01/28,07:06:00,34.598211666666664,135.41112833333332,119.5,117.5,10.7,11.6,63.9,1.7,1200.0,2410.3779999994817,-1490.5275490730896,2.0856684561332237,2.050761871093337,5.504555555555555,-0.03490658503988664,-2.0000000000000027,5.5012023290392245,0.19210621845984477
21,2021/01/28,07:07:00,34.59674833333333,135.41431833333334,119.8,123.2,10.8,11.4,75.4,2.7,1260.0,2247.7723999994514,-1198.7142791000783,2.090904443889207,2.150245638457014,5.556000000000001,0.059341194567807065,3.399999999999992,5.546220483944441,-0.3295062115880421
22,2021/01/28,07:08:00,34.59490666666667,135.41690833333334,141.5,146.8,10.0,10.6,98.7,2.4,1320.0,2043.126399999764,-961.7875194065647,2.4696408915719763,2.562143341927676,5.144444444444445,0.09250245035569948,5.300000000000001,5.122450391771795,-0.47519535541953356
23,2021/01/28,07:09:00,34.592525,135.41850833333334,154.4,154.2,9.4,9.7,88.0,2.1,1380.0,1778.4755999999797,-815.4269772900069,2.694788365079245,2.691297706575256,4.8357777777777775,-0.003490658503988886,-0.200000000000013,4.835748316564706,0.01688001454370857
24,2021/01/28,07:10:00,34.59036,135.41966333333335,157.7,156.9,8.1,8.4,97.3,2.6,1440.0,1537.9007999994153,-709.7722567228803,2.7523842303950574,2.738421596379103,4.167,-0.013962634015954212,-0.7999999999999757,4.1665938175467705,0.058180405473216575
25,2021/01/28,07:11:00,34.588433333333334,135.420605,158.4,159.1,7.0,7.4,115.7,2.0,1500.0,1323.8095999998893,-623.6309738207502,2.7646015351590183,2.7768188399229783,3.601111111111111,0.01221730476395999,0.6999999999999819,3.6008423589661387,-0.043994777452261165
26,2021/01/28,07:12:00,34.586715,135.421315,161.5,162.3,6.0,6.1,114.2,1.9,1560.0,1132.8683999995505,-558.6815431924477,2.8187067419708423,2.832669375986797,3.0866666666666664,0.013962634015954656,0.8000000000000012,3.0863657907753854,-0.04309659664682846
27,2021/01/28,07:13:00,34.5852,135.42181166666666,165.6,162.3,5.4,5.7,119.6,2.3,1620.0,964.5215999998048,-513.247602352304,2.8902652413026098,2.832669375986797,2.7780000000000005,-0.057595865315812844,-3.2999999999999985,2.773393566553771,0.15991286689367784
28,2021/01/28,07:14:00,34.583886666666665,135.422285,163.2,161.9,4.6,5.0,125.4,2.9,1680.0,818.5839999995397,-469.94700202774794,2.848377339254746,2.8256880589788196,2.3664444444444444,-0.022689280275926205,-1.2999999999999954,2.365835343706092,0.05368831449256618
29,2021/01/28,07:15:00,34.58275166666667,135.4227,164.3,162.4,4.0,4.3,118.2,3.2,1740.0,692.4627999997741,-431.98213738370737,2.8675759610266836,2.834414705238791,2.057777777777778,-0.03316125578789242,-1.900000000000009,2.0566464443601493,0.06822598930616773
30,2021/01/28,07:16:00,34.58181666666667,135.42302833333332,163.2,159.7,3.2,3.4,113.0,3.1,1800.0,588.5655999999569,-401.94540031194003,2.848377339254746,2.787290815434944,1.6462222222222225,-0.06108652381980173,-3.500000000000011,1.6431516859353759,0.1004994624164936
31,2021/01/28,07:17:00,34.58106333333333,135.42331333333334,157.8,151.6,2.6,2.6,104.6,3.1,1860.0,504.85519999970506,-375.87249690278566,2.754129559647052,2.6459191460234033,1.3375555555555556,-0.1082104136236488,-6.2000000000000215,1.3297321449220814,0.14445513822101194
32,2021/01/28,07:18:00,34.580436666666664,135.42366666666666,153.3,145.3,2.4,2.4,103.6,2.7,1920.0,435.2199999994462,-343.5472324097019,2.6755897433073073,2.535963403147761,1.2346666666666668,-0.13962634015954611,-7.999999999999986,1.2226509755395922,0.17183238865202716
33,2021/01/28,07:19:00,34.57994166666667,135.424055,142.6,141.8,2.0,2.0,97.8,2.7,1980.0,380.2156000001469,-308.0192968660971,2.4888395133439136,2.4748768793279594,1.028888888888889,-0.013962634015954212,-0.7999999999999757,1.0287885969251287,0.014365532215609033
34,2021/01/28,07:20:00,34.57951666666666,135.424455,140.0,140.8,1.8,2.0,94.5,2.8,2040.0,332.9895999993687,-271.42363866698173,2.443460952792061,2.4574235868080163,0.9259999999999999,0.0139626340159551,0.8000000000000266,0.9259097372326157,-0.01292897899404895
35,2021/01/28,07:21:00,34.57913666666666,135.42482833333332,142.0,140.3,1.7,1.5,89.9,2.9,2100.0,290.76399999938815,-237.26749839516808,2.478367537831948,2.4486969405480448,0.8745555555555555,-0.029670597283903092,-1.6999999999999709,0.8741706287777413,0.025944778577100303
36,2021/01/28,07:22:00,34.57881833333333,135.425145,139.1,137.9,1.4,1.5,79.1,2.3,2160.0,255.3907999994772,-208.29564487696928,2.4277529895241123,2.4068090385001804,0.7202222222222221,-0.020943951023931984,-1.2000000000000017,0.7200642655871052,0.01508319618710222
37,2021/01/28,07:23:00,34.578543333333336,135.42543833333335,137.8,136.6,1.3,1.0,80.7,2.2,2220.0,224.83280000004186,-181.45843881748638,2.405063709248186,2.384119758224254,0.6687777777777778,-0.020943951023931984,-1.2000000000000017,0.668631103759455,0.014005825030880636
38,2021/01/28,07:24:00,34.57830333333333,135.42571,139.3,135.2,1.1,1.4,67.1,2.1,2280.0,198.16399999947237,-156.60343335913322,2.4312436480281012,2.3596851486963333,0.565888888888889,-0.07155849933176794,-4.1000000000000245,0.5644406563852554,0.04045960933181908
39,2021/01/28,07:25:00,34.578136666666666,135.42585166666666,155.0,133.3,0.5,0.7,79.5,2.4,2340.0,179.64399999964712,-143.64224159518486,2.705260340591211,2.3265238929084413,0.25722222222222224,-0.3787364476827695,-21.7,0.23899354478903778,0.09510708256543499
