,date (JST),time (JST),latitude [deg],longitude [deg],GPS deg [deg],gyro deg [deg],GPS speed [knot],log speed [knot],wind dir [deg],wind sped [knot],t [s],p_x [m],p_y [m],GPS deg [rad],gyro deg [rad],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s]
0,2021/02/21,08:11:00,34.59085666666667,135.42036166666668,155.4,156.4,8.6,9.0,261.1,2.8,0.0,1644.390799999793,-639.7859849745897,2.712241657599188,2.7296949501191317,4.424222222222222,0.017453292519943542,1.0000000000000142,4.423548391748576,-0.07721332439108497
1,2021/02/21,08:12:00,34.58866833333333,135.42142166666667,160.2,161.3,8.5,8.3,263.2,1.9,60.0,1401.2231999994583,-542.8188981332778,2.7960174616949156,2.815216083466854,4.372777777777777,0.01919862177193821,1.1000000000000336,4.371971927838589,-0.08394614951553442
2,2021/02/21,08:13:00,34.586636666666664,135.42226333333332,160.0,158.9,7.0,7.3,268.9,2.7,120.0,1175.4643999993855,-465.82359682508564,2.792526803190927,2.77332818141899,3.601111111111111,-0.019198621771937322,-1.0999999999999828,3.600447469984721,0.06913212313043691
3,2021/02/21,08:14:00,34.58499,135.42303333333334,159.9,163.5,6.1,6.3,273.2,2.0,180.0,992.48679999947,-395.38217771558044,2.790781473938933,2.853613327010729,3.138111111111111,0.06283185307179595,3.600000000000005,3.1319187656666303,-0.19704362700737776
4,2021/02/21,08:15:00,34.58345166666667,135.423525,169.9,174.2,5.5,5.7,276.1,1.8,240.0,821.5471999999543,-350.40364563455205,2.965314399138366,3.040363556974122,2.8294444444444444,0.07504915783575594,4.299999999999987,2.8214799361352303,-0.2121481420702699
5,2021/02/21,08:16:00,34.582006666666665,135.423695,177.0,178.5,4.8,5.2,276.3,2.2,300.0,660.9787999995189,-334.85339202248764,3.0892327760299634,3.115412714809878,2.4693333333333336,0.026179938779914647,1.4999999999999831,2.4684871544729763,-0.06463961102157405
6,2021/02/21,08:17:00,34.58079,135.42373166666667,178.8,177.7,4.1,4.2,284.4,2.1,360.0,525.7827999997678,-331.50118500949566,3.1206487025658616,3.1014500807939234,2.109222222222222,-0.01919862177193821,-1.1000000000000336,2.1088335181339075,0.04049167211925778
7,2021/02/21,08:18:00,34.57979,135.42376666666667,178.4,178.1,3.2,3.1,272.5,1.9,420.0,414.6628000000271,-328.3009865116741,3.113667385557884,3.1084313978019007,1.6462222222222225,-0.005235987755983107,-0.30000000000000676,1.6461996562153196,0.008619560014034917
8,2021/02/21,08:19:00,34.57904833333333,135.42377833333333,180.6,177.0,2.2,2.2,357.0,1.1,480.0,332.2487999996599,-327.2350488689699,3.152064629101759,3.0892327760299634,1.131777777777778,-0.06283185307179551,-3.5999999999999797,1.1295444728633752,0.07106491465839805
9,2021/02/21,08:20:00,34.57855166666667,135.42371666666668,187.3,165.7,1.7,1.8,345.8,0.9,540.0,277.0592000000386,-332.8780269550952,3.2690016889853792,2.892010570554604,0.8745555555555555,-0.37699111843077526,-21.600000000000005,0.8131411911584918,0.32194537268678897
10,2021/02/21,08:21:00,34.57809833333334,135.42369833333333,177.0,141.9,1.5,1.8,275.7,1.7,600.0,226.68480000010334,-334.5562907213453,3.0892327760299634,2.4766222085799536,0.7716666666666666,-0.6126105674500097,-35.1,0.631338865279643,0.44371238616006325
11,2021/02/21,08:22:00,34.57779333333333,135.42378833333333,158.4,121.7,0.9,0.6,268.1,2.3,660.0,192.7931999996099,-326.3225959976462,2.7646015351590183,2.1240656996770992,0.46299999999999997,-0.6405358354819191,-36.70000000000001,0.37122212328485804,0.2767004430496663
12,2021/02/21,08:23:00,34.577598333333334,135.42395166666665,135.9,120.5,1.0,1.0,300.5,0.5,720.0,171.12479999983805,-311.3792161753327,2.371902453460294,2.1031217486531673,0.5144444444444445,-0.2687807048071269,-15.40000000000001,0.4959735246226589,0.13661386932932507
13,2021/02/21,08:24:00,34.57740166666667,135.42425666666668,124.8,120.4,1.2,1.3,300.4,0.6,780.0,149.27119999974423,-283.4743622014809,2.178170906488923,2.101376419401173,0.6173333333333334,-0.07679448708775016,-4.399999999999981,0.6155138990414188,0.0473612133636225
14,2021/02/21,08:25:00,34.57722666666667,135.42457666666667,122.2,120.9,1.2,1.2,300.9,0.6,840.0,129.82519999988824,-254.19701947827642,2.132792345937071,2.1101030656611446,0.6173333333333334,-0.022689280275926205,-1.2999999999999954,0.6171744374885458,0.01400564725893031
15,2021/02/21,08:26:00,34.57704,135.42493166666668,120.3,121.4,1.1,1.4,301.4,0.6,900.0,109.08279999935758,-221.7173853055297,2.0996310901491784,2.118829711921116,0.565888888888889,0.019198621771937766,1.100000000000008,0.5657846024261706,-0.010863619349068912
16,2021/02/21,08:27:00,34.5769,135.42522833333334,118.2,122.5,1.0,1.2,298.4,1.6,960.0,93.52599999994652,-194.57470556203864,2.0629791758572975,2.138028333693054,0.5144444444444445,0.07504915783575639,4.300000000000012,0.5129963520245874,-0.038572389467322034
17,2021/02/21,08:28:00,34.57680333333333,135.42553,107.8,124.4,1.1,1.1,304.4,0.6,1020.0,82.78439999943203,-166.97447215086237,1.8814649336498872,2.171189589480946,0.565888888888889,0.28972465583105866,16.599999999999998,0.5423040968612138,-0.16166787279928113
18,2021/02/21,08:29:00,34.576695,135.42583666666667,122.9,124.3,0.9,1.2,273.1,1.7,1080.0,70.74639999982196,-138.91675182968964,2.1450096507010312,2.1694442602289516,0.46299999999999997,0.02443460952792043,1.3999999999999895,0.46286178976868775,-0.011312098484678323
19,2021/02/21,08:30:00,34.57651666666667,135.426135,127.0,123.7,1.2,1.1,269.4,1.4,1140.0,50.93000000011159,-111.62148344356743,2.2165681500327987,2.158972284716986,0.6173333333333334,-0.057595865315812844,-3.2999999999999985,0.6163096814563935,0.03553619264303952
20,2021/02/21,08:31:00,34.57633833333333,135.42641166666667,127.6,122.8,1.0,1.4,265.0,1.5,1200.0,31.113599999611665,-86.30850737027842,2.2270401255447645,2.1432643214490366,0.5144444444444445,-0.08377580409572793,-4.800000000000007,0.5126402153694672,0.04304760162540237
21,2021/02/21,08:32:00,34.57618333333333,135.42664166666665,129.2,119.9,0.8,0.7,252.2,2.2,1260.0,13.889999999671545,-65.265151229951,2.2549653935766734,2.092649773141201,0.4115555555555556,-0.1623156204354723,-9.29999999999998,0.40614595261897946,0.06650895037409427
22,2021/02/21,08:33:00,34.57606666666667,135.42684333333332,125.6,117.9,0.7,0.7,273.2,1.6,1320.0,0.92600000003074,-46.81405500447922,2.192133540504878,2.057743188101315,0.36011111111111105,-0.134390352403563,-7.699999999999979,0.3568640611417538,0.04824991410452036
23,2021/02/21,08:34:00,34.57597,135.42700333333335,130.8,114.7,0.5,0.7,259.1,2.3,1380.0,-9.815600000483755,-32.175150880420404,2.282890661608583,2.0018926520374962,0.25722222222222224,-0.2809980095710869,-16.09999999999999,0.2471337490972034,0.0713314913772227
24,2021/02/21,08:35:00,34.57594,135.427105,59.3,119.4,0.2,0.1,265.6,2.5,1440.0,-13.149199999962775,-22.87333413865216,1.0349802464326374,2.0839231268812295,0.1028888888888889,1.048942880448592,60.1,0.051288849668005225,-0.08919404327937425
25,2021/02/21,08:36:00,34.57597,135.42713833333335,91.9,121.5,0.3,1.3,262.0,2.3,1500.0,-9.815600000483755,-19.82355267488171,1.603957582582789,2.1205750411731104,0.15433333333333335,0.5166174585903214,29.59999999999999,0.13419205078697216,-0.07623169474283296
26,2021/02/21,08:37:00,34.57598333333333,135.42722333333333,79.3,126.3,0.2,-0.1,254.0,1.7,1560.0,-8.33400000027666,-12.046619506283955,1.3840460968315034,2.2043508452688383,0.1028888888888889,0.8203047484373349,47.0,0.07017005349087485,-0.07524816974437244
27,2021/02/21,08:38:00,34.576,135.42728666666667,71.3,127.0,0.1,0.3,262.2,2.1,1620.0,-6.4820000002151765,-6.252042406869672,1.2444197566719568,2.2165681500327987,0.05144444444444445,0.9721483933608418,55.70000000000002,0.028990284517566172,-0.04249816781683764
28,2021/02/21,08:39:00,34.57604,135.427305,71.3,126.6,0.2,0.4,260.6,2.0,1680.0,-2.03720000038345,-4.57466407598287,1.2444197566719568,2.209586833024821,0.1028888888888889,0.9651670763528641,55.3,0.05857253763299577,-0.08458948688827365
29,2021/02/21,08:40:00,34.57606333333333,135.42734333333334,74.8,126.2,0.0,-0.2,265.4,2.3,1740.0,0.5555999993867999,-1.067421468522968,1.3055062804917585,2.202605516016844,0.0,0.8970992355250855,51.400000000000006,0.0,-0.0
30,2021/02/21,08:41:00,34.57606333333333,135.42734666666666,74.8,126.3,0.0,-0.4,262.3,2.1,1800.0,0.5555999993867999,-0.7624439068308057,1.3055062804917585,2.2043508452688383,0.0,0.8988445647770796,51.49999999999999,0.0,-0.0
31,2021/02/21,08:42:00,34.576065,135.42735,74.8,126.3,0.0,-0.7,276.3,2.0,1860.0,0.74079999970877,-0.457466340896018,1.3055062804917585,2.2043508452688383,0.0,0.8988445647770796,51.49999999999999,0.0,-0.0
