,date (JST),time (JST),latitude [deg],longitude [deg],GPS deg [deg],gyro deg [deg],GPS speed [knot],log speed [knot],wind dir [deg],wind sped [knot],t [s],p_x [m],p_y [m],GPS deg [rad],gyro deg [rad],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s]
0,2021/02/25,06:46:00,34.600361666666664,135.36421833333333,39.2,63.5,0.7,0.9,93.4,4.4,0.0,2699.6603999994522,-5774.363069724473,0.6841690667817772,1.1082840750163994,0.36011111111111105,0.4241150082346221,24.3,0.3282064466194975,-0.14819089291546195
1,2021/02/25,06:47:00,34.600496666666665,135.36437,48.9,74.3,0.6,0.8,90.4,4.2,60.0,2714.661599999471,-5760.483939351928,0.8534660042252271,1.2967796342317868,0.3086666666666667,0.44331363000655966,25.4,0.2788294937304722,-0.13239797784377103
2,2021/02/25,06:48:00,34.600535,135.36457666666666,95.4,67.0,0.8,0.9,105.0,4.5,120.0,2718.9211999997815,-5741.576786276249,1.6650441064025905,1.1693705988362009,0.4115555555555556,-0.4956735075663896,-28.400000000000002,0.362024257099772,0.19574578559958886
3,2021/02/25,06:49:00,34.60057,135.364915,63.7,40.8,1.3,1.2,93.6,4.3,180.0,2722.8103999994314,-5710.624919769791,1.111774733520388,0.7120943348136864,0.6687777777777778,-0.3996803987067016,-22.900000000000006,0.616068328455564,0.260237450654878
4,2021/02/25,06:50:00,34.60098166666667,135.36534666666665,33.0,32.6,2.4,2.2,108.1,3.7,240.0,2768.5548000000017,-5671.122099046765,0.5759586531581288,0.5689773361501514,1.2346666666666668,-0.006981317007977328,-0.4000000000000006,1.2346365787109275,0.008619529381216543
5,2021/02/25,06:51:00,34.60194166666667,135.366075,31.6,32.1,5.4,5.2,105.7,3.4,300.0,2875.2299999999113,-5604.462111903384,0.5515240436302081,0.5602506898901798,2.7780000000000005,0.00872664625997166,0.5000000000000007,2.7778942222722685,-0.02424231561448283
6,2021/02/25,06:52:00,34.603498333333334,135.36723833333335,31.8,35.2,7.2,7.0,57.5,2.5,360.0,3048.2067999998108,-5497.9900050793085,0.5550147021341968,0.6143558967020041,3.7039999999999997,0.05934119456780728,3.4000000000000044,3.6974803226296262,-0.2196708077253621
7,2021/02/25,06:53:00,34.60531666666667,135.36882833333334,38.5,47.6,8.6,9.0,53.0,2.4,420.0,3250.2599999997287,-5352.481143438858,0.6719517620178169,0.8307767239493009,4.424222222222222,0.158824961931484,9.1,4.3685381063564215,-0.6997264357710028
8,2021/02/25,06:54:00,34.60666333333333,135.371205,70.2,82.7,8.6,8.0,70.3,3.0,480.0,3399.9015999993308,-5135.028797908293,1.2252211349000195,1.4433872913993107,4.424222222222222,0.21816615649929116,12.499999999999998,4.319350490166834,-0.9575769497541533
9,2021/02/25,06:55:00,34.606836666666666,135.374185,90.6,90.6,9.2,9.0,80.5,3.1,540.0,3419.1623999996505,-4862.423994837514,1.5812683023068625,1.5812683023068625,4.732888888888889,0.0,0.0,4.732888888888889,-0.0
10,2021/02/25,06:56:00,34.60677833333333,135.37738166666668,91.2,90.8,9.6,9.5,75.8,3.3,600.0,3412.6803999994354,-4570.0062843196965,1.5917402778188285,1.5847589608108512,4.938666666666667,-0.006981317007977328,-0.4000000000000006,4.93854631484371,0.034478117524866174
11,2021/02/25,06:57:00,34.60675166666667,135.38065166666667,89.8,88.6,9.7,10.0,91.0,3.7,660.0,3409.7171999998104,-4270.879285839852,1.567305668290908,1.546361717266976,4.99011111111111,-0.020943951023931984,-1.2000000000000017,4.989016697282087,0.10450500215349395
12,2021/02/25,06:58:00,34.60680333333333,135.38398833333332,89.1,89.1,9.7,9.6,95.9,3.9,720.0,3415.458399999528,-3965.6518956560953,1.5550883635269475,1.5550883635269475,4.99011111111111,0.0,0.0,4.99011111111111,-0.0
13,2021/02/25,06:59:00,34.60680833333333,135.38721666666666,90.2,90.4,9.7,10.2,101.7,3.9,780.0,3416.013999999704,-3670.3356603956445,1.5742869852988852,1.577777643802874,4.99011111111111,0.003490658503988886,0.200000000000013,4.990080709646557,-0.0174187384121248
14,2021/02/25,07:00:00,34.60682833333333,135.39048,88.8,91.7,9.7,9.5,100.5,4.2,840.0,3418.23639999962,-3371.817466665719,1.5498523757709646,1.6004669240788003,4.99011111111111,0.05061454830783574,2.9000000000000106,4.983720561166553,-0.2524643924205866
15,2021/02/25,07:01:00,34.606585,135.39369833333333,104.2,115.4,9.3,9.9,100.4,4.3,900.0,3391.1971999999855,-3077.4206573821125,1.8186330805780915,2.014109956801456,4.7843333333333335,0.19547687622336474,11.19999999999999,4.693216448242316,-0.9292818810200852
16,2021/02/25,07:02:00,34.60539,135.39638166666666,121.1,119.6,9.3,10.0,105.6,4.8,960.0,3258.408799999683,-2831.9791879566396,2.113593724165133,2.087413785385218,4.7843333333333335,-0.02617993877991509,-1.5000000000000084,4.782693861791391,0.1252392463543018
17,2021/02/25,07:03:00,34.60404166666667,135.39910833333334,121.2,120.1,9.5,9.9,115.7,3.9,1020.0,3108.58199999976,-2582.5725331763615,2.1153390534171272,2.0961404316451895,4.887222222222222,-0.019198621771937766,-1.100000000000008,4.886321566407836,0.09382216710559513
18,2021/02/25,07:04:00,34.60271,135.40183833333333,120.8,119.7,9.6,10.1,103.1,3.6,1080.0,2960.6071999999035,-2332.8566663677534,2.10835773640915,2.0891591146372126,4.938666666666667,-0.019198621771937322,-1.0999999999999828,4.93775653026476,0.09480976886459921
19,2021/02/25,07:05:00,34.601321666666664,135.40468,121.0,119.5,9.7,10.4,111.2,4.7,1140.0,2806.33559999936,-2072.9223108059277,2.111848394913139,2.0856684561332237,4.99011111111111,-0.02617993877991509,-1.5000000000000084,4.988401124664138,0.13062588060609973
20,2021/02/25,07:06:00,34.59995333333333,135.40749,120.5,119.4,9.7,10.2,104.4,4.4,1200.0,2654.286399999525,-1815.8802623725765,2.1031217486531673,2.0839231268812295,4.99011111111111,-0.019198621771937766,-1.100000000000008,4.989191494121684,0.09579737062360764
21,2021/02/25,07:07:00,34.598595,135.41032,120.4,119.6,9.8,10.1,94.5,4.6,1260.0,2503.3484000000417,-1557.0042684603404,2.101376419401173,2.087413785385218,5.041555555555556,-0.0139626340159551,-0.8000000000000266,5.041064124933131,0.07039110785648874
22,2021/02/25,07:08:00,34.597228333333334,135.41316,120.6,120.9,9.8,10.2,95.1,4.4,1320.0,2351.4843999997374,-1297.2092903028802,2.1048670779051615,2.1101030656611446,5.041555555555556,0.005235987755983107,0.30000000000000676,5.041486447159416,-0.026397402542981934
23,2021/02/25,07:09:00,34.59584,135.41598166666665,120.5,127.9,9.6,10.2,94.4,5.2,1380.0,2197.2127999999852,-1039.0873503065966,2.1031217486531673,2.2322761133007476,4.938666666666667,0.12915436464758034,7.399999999999998,4.8975333139559565,-0.6360785196310565
24,2021/02/25,07:10:00,34.594095,135.41806333333332,146.9,151.0,8.5,10.0,99.1,4.4,1440.0,2003.308400000023,-848.660443954689,2.56388867117967,2.6354471705114375,4.372777777777777,0.0715584993317675,4.1,4.3615868902497,-0.31264243574587264
