,date (JST),time (JST),latitude [deg],longitude [deg],GPS deg [deg],gyro deg [deg],GPS speed [knot],log speed [knot],wind dir [deg],wind sped [knot],t [s],p_x [m],p_y [m],GPS deg [rad],gyro deg [rad],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s]
0,2020/11/17,06:37:00,35.552411666666664,140.036785,169.6,169.8,6.9,7.1,353.0,5.8,0.0,2130.9111999999946,-1663.056434280753,2.960078411382383,2.963569069886372,3.549666666666667,0.003490658503988886,0.200000000000013,3.5496450408826035,-0.012390648973573315
1,2020/11/17,06:38:00,35.550645,140.03717333333333,169.1,168.0,6.2,6.6,347.1,6.0,60.0,1934.5992000005838,-1627.962719272101,2.951351765122411,2.9321531433504737,3.1895555555555553,-0.019198621771937322,-1.0999999999999828,3.188967759129324,0.06123130905838698
2,2020/11/17,06:39:00,35.54904833333333,140.03756,168.7,167.8,5.6,5.5,334.6,5.9,120.0,1757.177600000063,-1593.0172386517831,2.9443704481144337,2.9286624848464853,2.8808888888888884,-0.015707963267948433,-0.8999999999999695,2.8805334807760548,0.04525103591787473
3,2020/11/17,06:40:00,35.54766333333333,140.03789666666665,168.9,168.6,4.9,4.7,343.0,6.5,180.0,1603.276400000165,-1562.5899521949339,2.9478611066184226,2.9426251188624395,2.520777777777778,-0.005235987755983107,-0.30000000000000676,2.520743223579708,0.013198701271490967
4,2020/11/17,06:41:00,35.546375,140.03819,170.4,169.5,4.4,4.9,344.8,6.9,240.0,1460.116799999992,-1536.0794017166195,2.9740410453983377,2.9583330821303884,2.263555555555556,-0.01570796326794932,-0.9000000000000203,2.2632763063240438,0.035554385364046454
5,2020/11/17,06:42:00,35.545455,140.038335,176.8,165.2,2.3,2.6,337.1,6.3,300.0,1357.8863999999146,-1522.9772855968913,3.085742117525975,2.8832839242946324,1.1832222222222222,-0.20245819323134248,-11.600000000000016,1.1590552036648238,0.23791986469815335
6,2020/11/17,06:43:00,35.544915,140.038395,171.2,157.2,1.9,2.1,337.3,7.4,360.0,1297.881600000607,-1517.557183472321,2.988003679414292,2.743657584135086,0.9774444444444443,-0.24434609527920603,-13.999999999999995,0.94841016711666,0.23646521284336397
7,2020/11/17,06:44:00,35.54443666666667,140.03854,163.1,156.9,1.6,1.7,337.7,7.0,420.0,1244.7292000005796,-1504.4506990735463,2.8466320100027516,2.738421596379103,0.8231111111111112,-0.10821041362364836,-6.199999999999996,0.8182967045674349,0.08889546967446854
8,2020/11/17,06:45:00,35.54403666666666,140.03869333333333,164.5,158.3,1.5,1.7,336.5,6.2,480.0,1200.2811999998937,-1490.5898999682336,2.871066619530672,2.762856205907024,0.7716666666666666,-0.10821041362364792,-6.199999999999971,0.76715316053197,0.08333950281981391
9,2020/11/17,06:46:00,35.543765,140.03872666666666,175.7,152.9,0.8,0.9,331.0,7.3,540.0,1170.0936000003114,-1487.5783865595681,3.0665434957540367,2.66860842629933,0.4115555555555556,-0.3979350694547068,-22.799999999999983,0.37939790149820074,0.15948419246873205
