,date (JST),time (JST),latitude [deg],longitude [deg],GPS deg [deg],gyro deg [deg],GPS speed [knot],log speed [knot],wind dir [deg],wind sped [knot],t [s],p_x [m],p_y [m],GPS deg [rad],gyro deg [rad],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s]
0,2021/11/02,08:20:00,35.54179,140.02067833333334,37.5,59.5,0.8,1.1,28.8,6.8,0.0,1006.7471999997855,-3218.5900878011275,0.6544984694978736,1.038470904936626,0.4115555555555556,0.3839724354387525,22.0,0.3815876663683757,-0.1541714246680598
1,2021/11/02,08:21:00,35.54198,140.02109666666666,71.3,74.6,2.0,2.1,23.0,6.3,60.0,1027.8600000001677,-3180.7595605531956,1.2444197566719568,1.3020156219877697,1.028888888888889,0.057595865315812844,3.2999999999999985,1.0271828024273226,-0.0592269877383992
2,2021/11/02,08:22:00,35.5421,140.02207166666668,84.0,78.9,3.8,3.6,25.3,5.9,120.0,1041.1943999996656,-3092.595381177704,1.4660765716752369,1.377064779823526,1.9548888888888887,-0.08901179185171082,-5.1000000000000005,1.947149611648564,0.1737784732297969
3,2021/11/02,08:23:00,35.542271666666664,140.0238,82.7,78.1,5.9,5.9,28.9,5.5,180.0,1060.2699999996673,-2936.3122618385196,1.4433872913993107,1.3631021458075714,3.0352222222222225,-0.08028514559173927,-4.600000000000007,3.025445402532145,0.24342155732127135
4,2021/11/02,08:24:00,35.542478333333335,140.025645,83.7,84.2,5.0,5.9,33.4,5.4,240.0,1083.2348000001139,-2769.479620080643,1.460840583919254,1.4695672301792255,2.5722222222222224,0.008726646259971549,0.49999999999999434,2.57212427988173,-0.02244658853192826
5,2021/11/02,08:25:00,35.542501666666666,140.02720833333333,92.2,91.4,4.2,4.4,25.9,5.4,300.0,1085.8275999998841,-2628.119283314731,1.6091935703387719,1.5952309363228172,2.1606666666666667,-0.013962634015954656,-0.8000000000000012,2.16045605354277,0.030167617652779928
6,2021/11/02,08:26:00,35.54237,140.02854666666667,99.0,93.1,3.8,3.6,23.6,5.9,360.0,1071.1967999997141,-2507.1063870050248,1.7278759594743862,1.6249015336067207,1.9548888888888887,-0.10297442586766548,-5.900000000000002,1.9445334849288403,0.20094798802609118
7,2021/11/02,08:27:00,35.5422,140.029725,99.7,91.0,3.4,3.1,15.5,4.6,420.0,1052.3064000000347,-2400.5614306405755,1.7400932642383466,1.5882496193148399,1.749111111111111,-0.15184364492350677,-8.700000000000006,1.7289856406824773,0.26457198137019183
8,2021/11/02,08:28:00,35.542065,140.03079166666666,97.1,88.3,3.0,3.0,17.0,5.3,480.0,1037.3052000000105,-2304.112913555861,1.6947147036864938,1.541125729510993,1.5433333333333332,-0.15358897417550077,-8.799999999999986,1.5251658020325132,0.23610814066503172
9,2021/11/02,08:29:00,35.54199333333333,140.03174333333334,97.5,97.6,2.8,2.7,17.3,5.7,540.0,1029.341599999588,-2218.0619407359513,1.7016960206944713,1.7034413499464656,1.4404444444444442,0.001745329251994221,0.09999999999999377,1.440442250522651,-0.0025140485483893626
10,2021/11/02,08:30:00,35.541803333333334,140.03263166666667,110.0,105.5,2.7,3.0,9.3,4.4,600.0,1008.2287999999945,-2137.7392237043423,1.9198621771937625,1.8413223608540177,1.3890000000000002,-0.07853981633974483,-4.5,1.384718176555315,0.10897968396597664
