,date (JST),time (JST),latitude [deg],longitude [deg],GPS deg [deg],gyro deg [deg],GPS speed [knot],log speed [knot],wind dir [deg],wind sped [knot],t [s],p_x [m],p_y [m],GPS deg [rad],gyro deg [rad],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s]
0,2021/06/14,10:03:00,34.92330833333333,136.69179833333334,344.9,345.3,9.0,9.3,26.2,3.0,0.0,-5361.725199999867,3749.8708634003883,6.019640590128442,6.02662190713642,4.63,0.006981317007977772,0.400000000000026,4.629887170165977,-0.032323235179564085
1,2021/06/14,10:04:00,34.925695,136.69103833333332,345.6,346.4,8.6,8.9,23.4,2.7,60.0,-5096.518799999906,3680.5945307499037,6.031857894892403,6.045820528908357,4.424222222222222,0.013962634015953768,0.7999999999999502,4.423790966778053,-0.06177178852711687
2,2021/06/14,10:05:00,34.92794,136.690365,345.9,346.2,8.4,8.6,25.7,3.0,120.0,-4847.054399999678,3619.216931953317,6.037093882648385,6.042329870404369,4.3213333333333335,0.005235987755983551,0.30000000000003224,4.3212740975652135,-0.022626345036843576
3,2021/06/14,10:06:00,34.93010833333334,136.68968166666667,345.3,346.2,7.8,7.7,32.2,2.9,180.0,-4606.109199999258,3556.9318845144235,6.02662190713642,6.042329870404369,4.012666666666667,0.015707963267948877,0.8999999999999949,4.0121716339380775,-0.06302822859989875
4,2021/06/14,10:07:00,34.93216,136.68902666666668,345.4,346.5,7.5,7.6,26.2,3.2,240.0,-4378.127999999271,3497.231501209863,6.028367236388414,6.047565858160352,3.8583333333333334,0.01919862177193821,1.1000000000000336,3.857622289269344,-0.07407013192547156
5,2021/06/14,10:08:00,34.93405333333333,136.68844833333333,346.3,345.9,6.6,6.8,28.8,3.0,300.0,-4167.740799999867,3444.518469878988,6.044075199656364,6.037093882648385,3.395333333333333,-0.00698131700797866,-0.4000000000000769,3.3952505914550497,0.02370370579835001
6,2021/06/14,10:09:00,34.935655,136.68789666666666,342.2,344.3,5.6,4.9,22.2,2.6,360.0,-3989.7635999999584,3394.2413726523046,5.972516700324595,6.009168614616477,2.8808888888888884,0.036651914291881305,2.100000000000022,2.8789540659881103,-0.1055664532604001
7,2021/06/14,10:10:00,34.93703333333333,136.687345,342.1,345.4,5.0,5.2,29.5,2.8,420.0,-3836.60319999977,3343.9698101879976,5.970771371072602,6.028367236388414,2.5722222222222224,0.057595865315811956,3.2999999999999474,2.5679570060683066,-0.1480674693459957
8,2021/06/14,10:11:00,34.938296666666666,136.686865,343.4,344.4,4.6,4.5,18.3,3.0,480.0,-3696.221599999688,3300.2283917545988,5.993460651348527,6.010913943868471,2.3664444444444444,0.017453292519943986,1.0000000000000395,2.3660840234934244,-0.04130015025569766
9,2021/06/14,10:12:00,34.93936166666667,136.68641666666667,337.2,336.9,3.9,3.7,13.1,2.2,540.0,-3577.8787999992346,3259.3755854720785,5.885250237724879,5.880014249968895,2.0063333333333335,-0.005235987755983551,-0.30000000000003224,2.006305831012421,0.010505088767105947
10,2021/06/14,10:13:00,34.94027333333333,136.68586666666667,331.6,331.9,3.4,3.6,27.9,3.3,600.0,-3476.5743999999772,3209.2672119567997,5.787511799613197,5.792747787369179,1.749111111111111,0.005235987755981775,0.29999999999993043,1.7490871347287769,-0.009158282514909768
11,2021/06/14,10:14:00,34.94101666666667,136.68527833333334,324.2,328.9,3.1,2.9,19.9,2.4,660.0,-3393.9751999992877,3155.6715156531936,5.658357434965616,5.74038790980935,1.5947777777777776,0.08203047484373371,4.700000000000013,1.5894151569999198,-0.13067371270744227
12,2021/06/14,10:15:00,34.94189166666666,136.68452333333335,323.5,320.8,5.0,5.1,19.2,2.7,720.0,-3296.745200000007,3086.895099661122,5.6461401302016565,5.599016240397809,2.5722222222222224,-0.047123889803847525,-2.700000000000036,2.569366733929956,0.12116825932536025
13,2021/06/14,10:16:00,34.94321166666667,136.682985,312.9,313.0,7.7,7.8,13.2,3.1,780.0,-3150.0667999992443,2946.7718432753736,5.461135229490257,5.462880558742252,3.961222222222222,0.0017453292519951091,0.10000000000004466,3.961216188937291,-0.0069136335080742664
14,2021/06/14,10:17:00,34.94477,136.68059,305.0,301.8,9.9,9.8,20.8,3.4,840.0,-2976.904799999813,2728.629540900562,5.323254218582705,5.267403682518887,5.093,-0.055850536063818616,-3.200000000000004,5.085058811978829,0.2842989249301836
15,2021/06/14,10:18:00,34.94609,136.67746666666667,293.1,291.9,10.8,11.4,20.3,3.3,900.0,-2830.2263999998386,2444.165751576312,5.1155600375953805,5.094616086571447,5.556000000000001,-0.020943951023933316,-1.2000000000000781,5.554781477386243,0.11635608487193885
16,2021/06/14,10:19:00,34.94705666666667,136.67392833333332,283.6,280.5,11.2,11.3,30.6,2.9,960.0,-2722.810399999431,2121.917389577782,4.949753758655919,4.895648551844094,5.761777777777777,-0.0541052068118244,-3.1000000000000107,5.75334639738178,0.31159010290427963
17,2021/06/14,10:20:00,34.947541666666666,136.670145,277.8,277.7,11.4,11.9,38.0,2.6,1020.0,-2668.9171999996943,1777.366174519038,4.848524662040248,4.846779332788253,5.8646666666666665,-0.0017453292519951091,-0.10000000000004466,5.864657734270795,0.010235769089876187
18,2021/06/14,10:21:00,34.947966666666666,136.66651,278.3,277.9,10.5,11.3,21.3,3.1,1080.0,-2621.6911999997064,1446.3260775639822,4.857251308300219,4.850269991292241,5.401666666666666,-0.006981317007977772,-0.400000000000026,5.401535031860307,0.03771044104282477
19,2021/06/14,10:22:00,34.948365,136.66310166666668,278.6,280.0,10.0,10.4,34.6,2.4,1140.0,-2577.4283999993427,1135.930114647735,4.8624872960562024,4.886921905584122,5.144444444444445,0.024434609527919985,1.399999999999964,5.142908775207642,-0.1256899831630902
20,2021/06/14,10:23:00,34.948953333333336,136.659855,285.7,289.0,9.8,9.8,19.2,2.9,1200.0,-2512.052799999383,840.2574218788396,4.986405672947799,5.044001538263612,5.041555555555556,0.057595865315812844,3.2999999999999985,5.033195731893881,-0.2902122399181561
21,2021/06/14,10:24:00,34.949983333333336,136.656885,301.3,312.9,9.4,9.8,355.8,1.4,1260.0,-2397.599199999373,569.7808059735718,5.2586770362589155,5.461135229490257,4.8357777777777775,0.20245819323134118,11.59999999999994,4.737008223673628,-0.9723681426794032
22,2021/06/14,10:25:00,34.951905,136.65494833333332,330.9,334.0,9.1,7.9,33.5,2.7,1320.0,-2184.0636000000222,393.40824060577285,5.775294494849236,5.82939970166106,4.681444444444445,0.0541052068118244,3.1000000000000107,4.674593947872698,-0.25316695860972727
23,2021/06/14,10:26:00,34.95424166666667,136.65359333333333,335.4,335.9,9.5,10.1,33.3,2.5,1380.0,-1924.4131999994559,270.0089825376792,5.853834311188981,5.862560957448952,4.887222222222222,0.008726646259971105,0.4999999999999689,4.887036131775286,-0.04264851821066152
24,2021/06/14,10:27:00,34.95668666666667,136.65230666666668,337.1,336.6,9.7,9.9,44.3,3.1,1440.0,-1652.7247999992803,152.8358568254951,5.883504908472886,5.874778262212914,4.99011111111111,-0.008726646259971993,-0.5000000000000198,4.989921102970555,0.043546381751943024
25,2021/06/14,10:28:00,34.959158333333335,136.65103166666665,338.0,343.2,9.7,9.8,41.9,2.2,1500.0,-1378.0731999994794,36.72861920852279,5.899212871740834,5.9899699928445385,4.99011111111111,0.09075712110370482,5.1999999999999815,4.96957380291576,-0.45226664547360995
26,2021/06/14,10:29:00,34.961636666666664,136.65053,4.2,9.6,8.7,9.8,58.9,2.6,1560.0,-1102.6807999999698,-8.95436265265627,0.07330382858376185,0.16755160819145562,4.475666666666666,0.09424777960769377,5.399999999999999,4.455803499575184,-0.4211974409758971
27,2021/06/14,10:30:00,34.96371333333333,136.65095166666666,10.1,10.1,6.8,7.2,64.5,3.5,1620.0,-871.9215999998892,29.44278541862689,0.17627825445142728,0.17627825445142728,3.498222222222222,0.0,0.0,3.498222222222222,-0.0
28,2021/06/14,10:31:00,34.965335,136.65130333333335,11.3,12.9,5.3,5.5,73.7,3.6,1680.0,-691.7219999992761,61.465000428826656,0.19722220547535926,0.22514747350726852,2.7265555555555556,0.027925268031909256,1.599999999999999,2.7254925125528064,-0.07612989918196182
29,2021/06/14,10:32:00,34.966575,136.651635,13.5,14.2,4.1,4.3,75.0,3.2,1740.0,-553.9331999997553,91.66562791287178,0.23561944901923448,0.24783675378319478,2.109222222222222,0.012217304763960296,0.6999999999999994,2.109064810251595,-0.025768369650610752
30,2021/06/14,10:33:00,34.967546666666664,136.65192333333334,13.8,13.3,3.3,3.2,86.2,2.7,1800.0,-445.96159999996075,117.92014984420292,0.24085543677521748,0.23212879051524585,1.6976666666666664,-0.008726646259971632,-0.4999999999999991,1.6976020247219412,0.014814748431072788
31,2021/06/14,10:34:00,34.968318333333336,136.65215666666666,13.0,11.0,2.5,3.0,122.0,1.8,1860.0,-360.213999999325,139.1663682411006,0.22689280275926285,0.19198621771937624,1.2861111111111112,-0.03490658503988661,-2.0000000000000013,1.2853276469717816,0.04488463048127211
32,2021/06/14,10:35:00,34.96892166666667,136.65229666666667,9.8,8.8,2.1,2.6,109.0,1.8,1920.0,-293.1715999996259,151.9138730906317,0.1710422666954443,0.15358897417550102,1.0803333333333334,-0.017453292519943292,-0.9999999999999998,1.0801687933339548,0.01885441642107862
33,2021/06/14,10:36:00,34.96949166666667,136.65243166666667,11.4,3.2,2.0,2.2,124.2,1.7,1980.0,-229.83319999926042,164.20603279439922,0.19896753472735357,0.05585053606381855,1.028888888888889,-0.14311699866353503,-8.200000000000001,1.0183697664673474,0.1467493251236709
34,2021/06/14,10:37:00,34.969998333333336,136.652485,3.0,358.9,1.7,1.9,121.0,1.8,2040.0,-173.5323999992863,169.0618806180896,0.05235987755982989,6.263986685407648,0.8745555555555555,-0.07155849933176864,-4.1000000000000645,0.8723173780499399,0.06252848714917551
35,2021/06/14,10:38:00,34.970445,136.65252333333333,358.1,346.7,1.4,1.4,108.0,2.4,2100.0,-123.89879999984942,172.55191579163503,6.250024051391694,6.051056516664341,0.7202222222222221,-0.19896753472735362,-11.400000000000004,0.7060130837664444,0.14235720892638842
36,2021/06/14,10:39:00,34.97080166666667,136.65246,343.1,325.7,1.2,1.1,103.9,2.6,2160.0,-84.26599999963912,166.78464609351232,5.988224663592545,5.684537373745531,0.6173333333333334,-0.303687289847014,-17.400000000000038,0.5890843628040482,0.18460784908609124
37,2021/06/14,10:40:00,34.971065,136.65227333333334,323.0,318.5,1.1,1.1,104.0,3.2,2220.0,-55.00439999929937,149.78724395245624,5.6374134839416845,5.558873667601939,0.565888888888889,-0.07853981633974527,-4.500000000000026,0.5641444423003136,0.0443991305046574
