,date (JST),time (JST),latitude [deg],longitude [deg],GPS deg [deg],gyro deg [deg],GPS speed [knot],log speed [knot],wind dir [deg],wind sped [knot],t [s],p_x [m],p_y [m],GPS deg [rad],gyro deg [rad],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s]
0,2020/10/10,16:04:00,34.948881666666665,136.66091833333334,275.9,275.0,8.6,8.8,321.8,4.3,0.0,508.55919999982837,1733.016244920867,4.815363406252355,4.799655442984406,4.424222222222222,-0.015707963267948877,-0.8999999999999949,4.423676416906084,0.06949266230245245
1,2020/10/10,16:05:00,34.949101666666664,136.65811333333335,275.9,276.3,7.9,8.1,310.8,3.6,60.0,533.0055999996921,1477.5249194918583,4.815363406252355,4.822344723260333,4.064111111111111,0.006981317007977772,0.400000000000026,4.0640120715901356,-0.028372617546506256
2,2020/10/10,16:06:00,34.94929833333333,136.65577333333334,275.5,277.7,6.3,6.6,306.7,4.0,120.0,554.8591999997858,1264.3881942170258,4.808382089244378,4.846779332788253,3.241,0.03839724354387464,2.199999999999965,3.2386111120868235,-0.12441488925265014
3,2020/10/10,16:07:00,34.94949,136.65396833333332,278.7,278.2,5.0,5.3,314.4,3.5,180.0,576.1571999997034,1099.9815279142485,4.864232625308197,4.855505979048225,2.5722222222222224,-0.008726646259971993,-0.5000000000000198,2.57212427988173,0.0224465885319294
4,2020/10/10,16:08:00,34.949648333333336,136.65247166666666,274.7,270.5,4.1,4.1,293.1,3.4,240.0,593.7512000002874,963.6593978167532,4.794419455228423,4.721115626644662,2.109222222222222,-0.07330382858376172,-4.199999999999993,2.103557857905765,0.15447563289709218
5,2020/10/10,16:09:00,34.94966333333333,136.65124,271.2,268.1,3.2,3.4,310.2,3.5,300.0,595.4180000000271,851.475278493427,4.733332931408621,4.679227724596798,1.6462222222222225,-0.05410520681182352,-3.09999999999996,1.6438132563947951,0.08902574368693562
6,2020/10/10,16:10:00,34.949693333333336,136.65045833333335,271.6,260.3,2.2,2.3,302.7,3.0,360.0,598.7516000002956,780.2785043189921,4.7403142484166,4.54309204294124,1.131777777777778,-0.1972222054753603,-11.300000000000061,1.1098378791062,0.22176749169492177
7,2020/10/10,16:11:00,34.949648333333336,136.64976333333334,256.1,248.0,2.0,2.0,292.6,2.2,420.0,593.7512000002874,716.9759508340616,4.469788214357479,4.328416544945937,1.028888888888889,-0.14137166941154167,-8.100000000000056,1.0186243411617024,0.14497171197133604
8,2020/10/10,16:12:00,34.94945166666667,136.64913833333333,247.8,245.2,2.2,2.1,296.6,2.7,480.0,571.8976000001937,660.0497931935778,4.324925886441949,4.279547325890096,1.131777777777778,-0.04537856055185241,-2.5999999999999908,1.1306126915431358,0.051340821898286385
9,2020/10/10,16:13:00,34.949173333333334,136.64840666666666,242.7,238.9,2.4,2.4,291.5,2.5,540.0,540.9692000001143,593.4082385637748,4.235914094590238,4.169591583014453,1.2346666666666668,-0.06632251157578485,-3.800000000000019,1.2319522128512512,0.08182617569386726
