,date (JST),time (JST),latitude [deg],longitude [deg],GPS deg [deg],gyro deg [deg],GPS speed [knot],log speed [knot],wind dir [deg],wind sped [knot],t [s],p_x [m],p_y [m],GPS deg [rad],gyro deg [rad],U [m/s],beta [rad],beta [deg],u [m/s],vm [m/s]
0,2021/12/20,19:14:00,34.951888333333336,136.68233833333332,217.5,227.7,1.5,1.5,356.0,1.4,0.0,841.7340000003084,3685.931473076853,3.796091123087667,3.974114706791088,0.7716666666666666,0.1780235837034212,10.199999999999976,0.7594709441495984,-0.13665039127994477
1,2021/12/20,19:15:00,34.95146166666667,136.68194833333334,219.2,227.5,2.4,2.5,358.4,2.3,60.0,794.3227999999976,3650.4190431060374,3.8257617203715704,3.9706240482870996,1.2346666666666668,0.14486232791552922,8.299999999999992,1.2217345075704877,-0.1782317895025348
2,2021/12/20,19:16:00,34.95066166666667,136.68100833333332,226.0,230.4,5.2,5.5,349.7,2.4,120.0,705.4268000002048,3564.81925581758,3.944444109507185,4.0212385965949355,2.675111111111111,0.07679448708775061,4.400000000000007,2.6672268958461482,-0.2052319245756987
3,2021/12/20,19:17:00,34.949421666666666,136.679175,233.2,239.2,7.9,8.1,315.9,3.0,180.0,567.6379999998943,3397.8602744542877,4.070107815650776,4.174827570770436,4.064111111111111,0.10471975511965947,5.999999999999983,4.041847485209482,-0.4248152889934389
4,2021/12/20,19:18:00,34.94835166666667,136.67656166666666,250.2,253.8,9.1,9.4,342.2,2.8,240.0,448.7396000000523,3159.8500262920243,4.366813788489813,4.429645641561609,4.681444444444445,0.0628318530717964,3.6000000000000307,4.672206683207596,-0.29395032881428695
5,2021/12/20,19:19:00,34.947765,136.67344333333332,263.8,269.6,9.7,9.5,339.4,2.5,300.0,383.5491999996265,2875.8305579238718,4.604178566761042,4.705407663376713,4.99011111111111,0.10122909661567102,5.7999999999999945,4.964565279356633,-0.5042821514203665
6,2021/12/20,19:20:00,34.94781166666667,136.67010833333333,274.3,276.0,10.0,9.5,320.2,3.0,360.0,388.7347999999566,2572.064150986758,4.7874381382204465,4.817108735504349,5.144444444444445,0.029670597283902644,1.699999999999945,5.142180169280832,-0.15261634457117598
7,2021/12/20,19:21:00,34.94811,136.66671166666666,276.4,276.8,10.1,9.5,322.4,4.1,420.0,421.8855999999516,2262.6775908799,4.824090052512326,4.831071369520305,5.195888888888889,0.00698131700797866,0.4000000000000769,5.195762268741819,-0.03627385281262654
8,2021/12/20,19:22:00,34.948395,136.66336166666667,275.0,274.9,10.1,10.3,341.7,3.3,480.0,453.55479999973954,1957.5428931524982,4.799655442984406,4.797910113732412,5.195888888888889,-0.001745329251994221,-0.09999999999999377,5.195880975099564,0.009068532263833059
9,2021/12/20,19:23:00,34.948613333333334,136.65996166666667,274.0,274.8,9.8,10.0,339.8,2.5,540.0,477.81600000007074,1647.8557434541276,4.782202150464463,4.796164784480418,5.041555555555556,0.013962634015954656,0.8000000000000012,5.041064124933131,-0.0703911078564865
